// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
04506	9.710155	0.658252	-0.017850	-0.004813	0.002471	0.012668	91.511201	-85.340883	-94.295805
04507	9.778565	0.703959	-0.056084	-0.014960	-0.000387	0.012319	91.514589	-85.347623	-94.307679
04508	9.743188	0.652619	-0.087380	-0.016276	-0.000146	0.009835	91.515933	-85.353160	-94.318244
04509	9.797749	0.715230	-0.098842	-0.008771	0.000131	0.011500	91.519097	-85.359438	-94.326334
04510	9.765403	0.652159	-0.076156	-0.024745	0.014604	0.012176	91.411856	-85.366537	-94.232824
04511	9.801387	0.636187	-0.091232	-0.018032	0.012287	0.007749	91.322950	-85.370835	-94.153866
04512	9.729609	0.665802	-0.056165	-0.026347	0.026011	0.001065	91.131902	-85.371684	-93.977196
04513	9.674630	0.667619	0.005738	-0.027343	0.021220	-0.005365	90.972451	-85.368528	-93.832815
04514	9.728252	0.678012	0.005203	0.007696	-0.017261	-0.000615	91.106757	-85.367922	-93.962996
04515	9.752519	0.721391	-0.055025	-0.012066	-0.009133	0.003976	91.171999	-85.369789	-94.035261
04516	9.755984	0.644271	-0.050939	-0.011960	-0.016367	-0.000308	91.288783	-85.369339	-94.159162
04517	9.761166	0.674416	-0.068945	-0.005297	-0.024894	0.000008	91.468779	-85.368692	-94.342667
04518	9.806568	0.666185	-0.109121	-0.012376	-0.020766	-0.000981	91.616251	-85.367738	-94.497595
04519	9.825572	0.679715	-0.153444	-0.016952	-0.009970	-0.000541	91.683867	-85.366952	-94.575051
04520	9.809563	0.654901	-0.056872	-0.025714	0.015946	-0.006808	91.563108	-85.363244	-94.468533
04521	9.719984	0.660363	-0.038263	-0.025615	0.005646	-0.004810	91.514631	-85.360266	-94.434495
04522	9.778793	0.700935	-0.054294	-0.022213	0.007671	-0.001571	91.455473	-85.359419	-94.387768
04523	9.765391	0.652497	-0.074808	-0.019439	0.003095	0.000653	91.429585	-85.359528	-94.372843
04524	9.764087	0.664135	-0.015496	-0.030263	0.007089	-0.001165	91.370040	-85.358904	-94.330356
04525	9.742033	0.662344	-0.025718	-0.019724	-0.008462	0.003511	91.426036	-85.360488	-94.397748
04526	9.814728	0.685614	-0.070436	-0.014729	-0.014858	0.003741	91.531186	-85.362360	-94.511568
04527	9.833780	0.698745	-0.113862	-0.026553	0.001012	0.004411	91.516629	-85.364591	-94.512100
04528	9.787527	0.653091	-0.064251	-0.035767	0.016321	0.002226	91.389283	-85.366056	-94.404753
04529	9.792753	0.682933	-0.078570	-0.026990	0.013202	0.004831	91.288284	-85.368692	-94.318811
04530	9.778943	0.699146	-0.050068	-0.032395	0.015202	0.003924	91.170894	-85.371086	-94.219514
04531	9.751725	0.666825	-0.043243	-0.030425	0.004967	0.006325	91.126217	-85.374460	-94.192054
04532	9.783361	0.674584	-0.053609	-0.028723	0.005978	0.007947	91.076627	-85.379044	-94.158669
04533	9.770882	0.679090	-0.084573	-0.030034	0.006227	0.005463	91.023012	-85.381934	-94.122017
04534	9.773917	0.666645	-0.030576	-0.031902	0.006162	0.005047	90.969811	-85.384858	-94.086836
04535	9.742361	0.657731	-0.018785	-0.032108	0.003964	0.004706	90.930877	-85.387287	-94.066105
04536	9.751925	0.664096	-0.040094	-0.031456	-0.006024	0.004615	90.964374	-85.389851	-94.117648
04537	9.757175	0.693743	-0.056328	-0.026012	-0.004884	0.007070	90.992094	-85.393548	-94.160284
04538	9.752009	0.662824	-0.040634	-0.033841	-0.003262	0.007817	91.005101	-85.397974	-94.192641
04539	9.665493	0.655012	0.029916	-0.036810	-0.000876	0.005261	90.997962	-85.400674	-94.206511
04540	9.715250	0.623416	-0.015080	-0.023317	-0.032390	-0.002773	91.223042	-85.398710	-94.445579
04541	9.697064	0.663859	0.014259	-0.024486	-0.036217	-0.008012	91.472319	-85.393325	-94.709611
04542	9.724651	0.631753	-0.043836	-0.025768	-0.052546	-0.011627	91.836562	-85.385780	-95.089707
04543	9.715911	0.679843	-0.038323	-0.010757	-0.065519	-0.015715	92.297631	-85.375113	-95.558336
04544	9.751648	0.666519	-0.061482	-0.026846	-0.069808	-0.016439	92.778622	-85.363910	-96.056192
04545	9.738860	0.673546	-0.099848	-0.026095	-0.070422	-0.019710	93.259355	-85.350183	-96.553382
04546	9.765058	0.653779	-0.102079	-0.026485	-0.074811	-0.020396	93.768748	-85.335864	-97.079545
04547	9.765639	0.709563	-0.119206	-0.023072	-0.069705	-0.023427	94.238280	-85.319352	-97.563779
04548	9.796122	0.666934	-0.126549	-0.035350	-0.064501	-0.026476	94.660954	-85.301327	-98.008051
04549	9.805245	0.676739	-0.153935	-0.031599	-0.061273	-0.031923	95.055306	-85.279787	-98.421780
04550	9.855212	0.702374	-0.213212	-0.037284	-0.048026	-0.033558	95.352082	-85.258105	-98.740860
04551	9.836114	0.692461	-0.173325	-0.058422	-0.020036	-0.044283	95.433867	-85.231420	-98.856389
