// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
04506	9.219261	0.608552	1.958046	-0.381042	-0.161330	-0.426200	35.016476	-75.263165	-126.242132
04507	9.167398	0.663234	2.075833	-0.369407	-0.159292	-0.404844	35.734208	-75.204664	-127.201882
04508	9.050407	0.719328	2.080225	-0.352269	-0.156666	-0.368091	36.382698	-75.155256	-128.080399
04509	8.998849	0.804881	2.133474	-0.341721	-0.144958	-0.308471	36.919314	-75.117691	-128.836789
04510	8.915086	0.710286	2.246147	-0.384329	-0.126157	-0.254815	37.307097	-75.089377	-129.464852
04511	8.853528	0.221870	1.722072	-0.293625	-0.171173	-0.200896	37.717480	-75.098336	-130.062247
04512	8.941829	0.547234	1.974702	-0.293439	-0.144694	-0.115505	37.943683	-75.125348	-130.469209
04513	8.919519	-0.081968	1.900048	-0.370450	-0.168822	-0.043454	38.041380	-75.187492	-130.788498
04514	9.132758	0.103066	1.983415	-0.346366	-0.165902	0.040773	38.001770	-75.278881	-130.951699
04515	9.068771	-0.212892	2.138682	-0.413860	-0.117042	0.138664	37.693371	-75.381839	-130.876675
04516	8.973874	-0.896270	1.974797	-0.358062	-0.142661	0.225820	37.290850	-75.527575	-130.671708
04517	8.955455	-1.266286	2.007522	-0.295005	-0.168899	0.332991	36.766042	-75.721042	-130.303090
04518	9.372831	-2.233444	1.836353	-0.198609	-0.172810	0.410784	36.141940	-75.942687	-129.775709
04519	9.308300	-1.708352	1.873949	0.198527	-0.307663	0.411578	35.915460	-76.225361	-129.423884
04520	9.147685	0.353503	1.669578	0.204593	-0.314506	0.384478	35.737896	-76.502581	-129.119485
04521	9.820913	0.799361	0.987008	0.362450	-0.318280	0.267783	35.882230	-76.741696	-129.053095
04522	9.620802	0.941147	1.455973	0.667998	-0.316332	0.170398	36.391859	-76.947810	-129.182349
04523	9.284075	1.292050	1.420189	0.629606	-0.338936	0.195387	36.877656	-77.171901	-129.309404
04524	9.125204	2.043330	0.779253	0.647662	-0.391646	0.225301	37.400630	-77.430861	-129.464045
04525	9.850294	2.492436	1.058695	0.391352	-0.292494	0.294161	37.492730	-77.667826	-129.327491
04526	9.869937	2.639265	1.805893	0.363088	-0.325581	0.298778	37.606565	-77.922183	-129.230059
04527	10.011936	2.918950	2.160855	0.157777	-0.320004	0.292451	37.611657	-78.171102	-129.141626
04528	9.897225	2.121671	1.724903	0.063510	-0.321387	0.286418	37.570554	-78.419250	-129.061435
04529	9.900561	1.612708	2.070692	0.066381	-0.323010	0.292548	37.523240	-78.669511	-128.973116
04530	9.748343	1.105274	2.143512	0.091854	-0.344191	0.317944	37.460301	-78.938991	-128.854255
04531	9.674829	0.636192	2.046512	0.219007	-0.373139	0.331346	37.493625	-79.225526	-128.759160
04532	9.570350	0.201590	1.763215	0.402445	-0.391536	0.354391	37.603486	-79.529262	-128.635282
04533	9.659411	0.228923	1.536913	0.580070	-0.427885	0.369624	37.855037	-79.854108	-128.551920
04534	9.792434	0.496772	1.175868	0.719913	-0.451092	0.370205	38.232649	-80.190487	-128.515468
04535	9.862208	0.954131	1.220145	0.768319	-0.471481	0.372139	38.695615	-80.535977	-128.537332
04536	9.670604	0.844656	1.198052	0.773777	-0.509368	0.363085	39.283225	-80.895801	-128.682467
04537	9.776743	0.589797	1.193927	0.801661	-0.596210	0.359324	40.142674	-81.291429	-129.086283
04538	10.047306	0.258066	0.745977	0.785119	-0.571034	0.343128	41.028122	-81.669857	-129.525704
04539	10.072557	0.500005	0.853639	0.802613	-0.552622	0.322588	42.007039	-82.030701	-130.048880
04540	10.068150	0.901075	0.936270	0.786207	-0.527731	0.302717	43.028962	-82.372785	-130.624629
04541	10.141229	1.254659	0.837984	0.730155	-0.511240	0.294421	44.076875	-82.702486	-131.258420
04542	10.003902	1.339779	0.901642	0.642314	-0.504715	0.290098	45.136319	-83.027032	-131.954198
04543	10.020295	1.478634	0.860981	0.596946	-0.514047	0.290862	46.294283	-83.353058	-132.774798
04544	9.860269	1.540126	0.966049	0.519054	-0.520976	0.299190	47.495435	-83.684069	-133.683325
04545	9.732349	1.319616	0.851857	0.436353	-0.488697	0.304899	48.621716	-84.002101	-134.563552
04546	9.660642	1.122213	0.835523	0.384554	-0.491649	0.306876	49.824140	-84.321035	-135.549722
04547	9.545649	0.925086	0.654941	0.342844	-0.479453	0.307602	51.082355	-84.632654	-136.615338
04548	9.524696	0.751058	0.505927	0.330875	-0.485119	0.311550	52.477600	-84.946589	-137.824967
04549	9.389492	0.862752	0.440403	0.320114	-0.476274	0.307673	54.016903	-85.251783	-139.184732
04550	9.209031	1.051302	0.602903	0.268312	-0.463552	0.300841	55.661476	-85.547284	-140.679352
04551	9.207988	1.173711	0.720143	0.198047	-0.451720	0.294723	57.446913	-85.831317	-142.354969
04552	9.197441	0.721601	0.434931	0.157591	-0.428845	0.294464	59.280594	-86.105356	-144.101643
04553	9.449949	0.481995	0.127992	0.227682	-0.443319	0.301878	61.521854	-86.381479	-146.215913
04554	9.634676	0.662491	-0.239509	0.280306	-0.448429	0.317241	64.114134	-86.661919	-148.651036
04555	9.765267	0.826612	-0.108607	0.304323	-0.436588	0.318987	67.066267	-86.931748	-151.432089
04556	10.140289	1.051083	0.017140	0.357015	-0.485024	0.266150	71.311697	-87.174238	-155.477269
04557	10.359863	1.589330	0.649679	0.243201	-0.429514	0.272963	75.550903	-87.393958	-159.580698
04558	9.645445	0.715256	0.298857	0.118868	-0.402729	0.274796	80.074716	-87.597421	-164.039622
04559	9.677145	0.859219	0.752067	0.122058	-0.428643	0.251916	85.809111	-87.770002	-169.707673
04560	9.890475	0.058837	0.136441	0.032367	-0.377646	0.252146	91.559345	-87.919809	-175.442376
04561	9.927710	-0.564950	-0.462927	0.150459	-0.373882	0.255484	98.138570	-88.046105	178.061616
04562	10.136458	-0.335920	-0.880868	0.183169	-0.363301	0.235512	105.261582	-88.135834	171.040698
