// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
56798	9.696925	0.523322	0.827485	0.018070	0.005147	-0.029990	36.602560	-83.689978	-104.192920
56799	9.724088	0.582782	0.873254	0.018137	0.005544	-0.034841	36.742300	-83.674903	-104.318297
56800	9.710245	0.602539	0.861943	0.025214	0.012253	-0.031747	36.855100	-83.657447	-104.412422
56801	9.752604	0.639914	0.861229	0.018439	0.018930	-0.034795	36.952199	-83.636199	-104.494729
56802	9.695713	0.680126	0.877416	0.015727	0.014800	-0.031200	37.048327	-83.617730	-104.577554
56803	9.724013	0.699463	0.868271	0.005217	0.019527	-0.036970	37.143742	-83.595425	-104.665796
56804	9.723624	0.702603	0.870090	0.002653	0.018459	-0.026920	37.202706	-83.576739	-104.718768
56805	9.679893	0.691268	0.902081	-0.007526	0.019968	-0.025489	37.242056	-83.558188	-104.757943
56806	9.710085	0.703507	0.833806	-0.010674	0.018460	-0.021825	37.272287	-83.541260	-104.789688
56807	9.708666	0.691054	0.867223	-0.013608	0.020408	-0.016557	37.270559	-83.525602	-104.791031
56808	9.723079	0.690319	0.850160	-0.026657	0.024256	-0.014714	37.245239	-83.508498	-104.776086
56809	9.736714	0.709288	0.861752	-0.020736	0.032364	-0.008216	37.169839	-83.490272	-104.707391
56810	9.680129	0.692038	0.855466	-0.032202	0.041733	-0.006553	37.056326	-83.468000	-104.606874
56811	9.666158	0.708319	0.847841	-0.031403	0.045626	0.001446	36.897515	-83.447001	-104.460367
56812	9.677384	0.697127	0.924215	-0.035441	0.049158	0.007696	36.704890	-83.426151	-104.282077
56813	9.649913	0.639632	0.883907	-0.032166	0.053527	0.012940	36.478641	-83.405329	-104.068112
56814	9.663463	0.656155	0.897965	-0.037666	0.052133	0.012094	36.260975	-83.384449	-103.865881
56815	9.676189	0.692519	0.940061	-0.037725	0.051732	0.016960	36.023491	-83.365623	-103.643795
56816	9.663607	0.632086	0.880322	-0.038467	0.050295	0.022719	35.770955	-83.348974	-103.406906
56817	9.648068	0.597631	0.908159	-0.039400	0.052687	0.014008	35.544146	-83.328500	-103.196517
56818	9.687796	0.601246	0.974319	-0.035452	0.048554	0.015055	35.331322	-83.309898	-102.997853
56819	9.646525	0.614012	0.945664	-0.030278	0.036355	0.018270	35.141104	-83.298297	-102.819031
56820	9.645893	0.577723	0.952265	-0.019256	0.029605	0.016688	34.985889	-83.288969	-102.669018
56821	9.659685	0.594127	0.963471	-0.016410	0.017734	0.012947	34.877740	-83.284257	-102.564824
56822	9.631271	0.611212	0.972426	-0.010429	0.016703	0.011306	34.785500	-83.279164	-102.473127
56823	9.588523	0.576145	0.975261	-0.015317	0.006620	0.008644	34.726202	-83.278240	-102.417489
56824	9.602049	0.647719	1.009072	-0.010728	-0.006007	0.005453	34.720189	-83.281911	-102.412788
56825	9.646219	0.606650	0.953499	-0.010145	-0.014906	0.006085	34.733702	-83.290282	-102.427480
56826	9.632520	0.587863	0.942730	-0.006744	-0.026352	0.008724	34.773420	-83.304599	-102.466526
56827	9.659840	0.643209	0.985821	-0.007565	-0.030432	0.003144	34.843665	-83.319309	-102.536850
56828	9.660596	0.588612	0.957704	-0.008002	-0.037337	-0.000094	34.949347	-83.335887	-102.643033
56829	9.660563	0.642780	0.978991	-0.006285	-0.038297	0.002894	35.044241	-83.354176	-102.737429
56830	9.674850	0.571955	0.962375	-0.003343	-0.040234	-0.002375	35.171070	-83.371315	-102.862206
56831	9.648210	0.604897	0.934284	-0.005346	-0.043134	-0.002119	35.301649	-83.390162	-102.991978
56832	9.690821	0.605149	0.931710	-0.002752	-0.042040	-0.012154	35.474840	-83.404829	-103.163077
56833	9.704696	0.589842	0.939421	0.000503	-0.047209	-0.010228	35.654850	-83.422786	-103.339227
56834	9.736228	0.635762	0.861689	-0.004706	-0.044737	-0.014312	35.845133	-83.437860	-103.528646
56835	9.692233	0.643323	0.915612	0.000461	-0.040320	-0.018216	36.039034	-83.449802	-103.718790
56836	9.678988	0.661073	0.899393	-0.003652	-0.046733	-0.010422	36.221786	-83.466970	-103.900011
56837	9.677759	0.613284	0.929410	0.002297	-0.047967	-0.009645	36.406452	-83.485208	-104.079789
56838	9.692118	0.632210	0.933516	-0.000126	-0.048247	-0.009297	36.593168	-83.503323	-104.262954
56839	9.609154	0.648281	0.894388	0.001851	-0.055077	-0.010432	36.804287	-83.524418	-104.469596
56840	9.693726	0.614311	0.894760	0.000326	-0.060397	-0.012671	37.044166	-83.546782	-104.705988
56841	9.681669	0.646626	0.845638	0.005952	-0.058395	-0.019089	37.305714	-83.566199	-104.960998
56842	9.709263	0.615548	0.863805	-0.002040	-0.060474	-0.014726	37.556053	-83.587647	-105.209262
56843	9.667128	0.671758	0.881342	0.006139	-0.064879	-0.015906	37.828357	-83.610860	-105.474966
56844	9.695917	0.654771	0.867225	-0.000979	-0.072203	-0.011696	38.107710	-83.638412	-105.751789
56845	9.738738	0.655326	0.861553	-0.001453	-0.069990	-0.006746	38.359107	-83.666890	-106.000804
56846	9.698021	0.670539	0.822227	0.004047	-0.068804	-0.003468	38.601765	-83.695575	-106.237780
56847	9.697003	0.676316	0.874938	0.002689	-0.071079	0.000770	38.833099	-83.726998	-106.464195
56848	9.698824	0.636269	0.811654	-0.001042	-0.073228	0.000506	39.075723	-83.758869	-106.704041
56849	9.741692	0.635847	0.805659	0.006247	-0.072592	0.001903	39.314222	-83.791165	-106.935584
56850	9.742236	0.635728	0.799148	0.000999	-0.060595	0.001133	39.517862	-83.817461	-107.135013
56851	9.743039	0.670008	0.790392	0.002128	-0.052450	0.001027	39.693701	-83.840365	-107.305880
56852	9.714874	0.653822	0.796167	0.002787	-0.051619	0.002562	39.865060	-83.863095	-107.471793
56853	9.700755	0.655697	0.810560	-0.000927	-0.053563	-0.000127	40.050286	-83.885949	-107.653847
56854	9.687644	0.617668	0.768563	0.000844	-0.054319	0.000431	40.241194	-83.908960	-107.840526
56855	9.673090	0.639582	0.810655	0.001069	-0.060599	0.001191	40.449549	-83.935244	-108.044673
56856	9.659080	0.641556	0.824195	-0.000883	-0.063299	-0.000944	40.679828	-83.961506	-108.271920
56857	9.660045	0.621794	0.789705	0.002470	-0.068060	-0.003861	40.940024	-83.988955	-108.527367
56858	9.703193	0.656046	0.780546	-0.000185	-0.072203	-0.000234	41.204015	-84.019117	-108.788089
56859	9.760520	0.653660	0.754624	-0.005246	-0.076423	0.001327	41.473718	-84.051877	-109.057510
56860	9.776223	0.665861	0.696850	-0.003255	-0.063787	0.001902	41.701658	-84.078999	-109.283724
56861	9.775607	0.616800	0.726077	-0.005261	-0.047222	0.003877	41.858067	-84.100040	-109.439228
56862	9.776610	0.685072	0.715319	-0.003065	-0.040866	0.005193	41.990696	-84.118512	-109.569498
56863	9.776600	0.649891	0.714946	-0.006856	-0.033687	0.010631	42.069679	-84.136314	-109.648075
56864	9.749361	0.681475	0.688524	-0.000919	-0.025183	0.012199	42.117072	-84.150770	-109.691419
56865	9.691891	0.633920	0.740034	-0.013050	-0.016440	0.009987	42.131119	-84.160983	-109.708283
56866	9.677676	0.634903	0.757882	-0.007299	-0.021126	0.009121	42.172699	-84.172527	-109.749456
56867	9.734958	0.665971	0.733322	-0.006623	-0.030030	0.009810	42.242704	-84.188435	-109.818866
