// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
63401	6.950809	1.120939	6.579167	0.005307	-0.008841	-0.022929	10.440212	-45.532727	116.024833
63402	7.103400	1.342532	6.805576	0.020108	0.003979	-0.020170	10.456714	-45.524500	116.010823
63403	6.925286	1.362670	6.794301	0.010707	-0.008015	0.001138	10.456792	-45.525212	116.012268
63404	6.806521	1.257376	6.597844	0.010785	-0.012195	-0.001837	10.459024	-45.527977	116.011012
63405	6.999187	1.346954	6.721314	0.009206	-0.001612	-0.010062	10.463991	-45.523917	116.004401
63406	7.099334	1.359638	6.745109	0.010427	-0.003739	-0.007677	10.468593	-45.521311	115.999085
63407	6.908687	1.347146	6.728176	0.005238	-0.010113	0.003863	10.464196	-45.523489	116.002409
63408	6.936581	1.287733	6.569216	-0.000471	-0.017577	0.001658	10.458579	-45.529645	116.002772
63409	7.128094	1.307469	6.657541	0.000666	-0.008676	-0.004502	10.456211	-45.530143	115.999584
63410	7.027888	1.302500	6.706097	0.000359	-0.000204	0.006618	10.446356	-45.527052	116.006735
63411	6.862555	1.249289	6.750601	0.008741	-0.001284	0.005448	10.442122	-45.524419	116.012644
63412	6.868673	1.231008	6.735403	0.009604	-0.011458	0.000437	10.442499	-45.527012	116.012973
63413	7.057107	1.216546	6.704176	0.012790	-0.012065	-0.000712	10.445261	-45.529814	116.012330
63414	6.988955	1.250650	6.675749	0.015543	-0.000035	-0.004728	10.450637	-45.525427	116.010317
63415	6.905312	1.300594	6.703325	0.017943	-0.002900	-0.004619	10.457623	-45.522658	116.007892
63416	6.974278	1.268774	6.730489	0.011098	-0.011013	0.000118	10.458817	-45.524982	116.008134
63417	7.023385	1.257569	6.682062	0.009330	-0.005779	0.003920	10.456273	-45.524723	116.012148
63418	6.965944	1.260200	6.697611	0.011689	0.000995	0.000142	10.456592	-45.520208	116.014220
63419	6.913357	1.257260	6.844440	0.008817	-0.005465	0.002473	10.454551	-45.519623	116.017117
63420	6.929224	1.241896	6.787947	0.007167	-0.014052	0.007189	10.449778	-45.524390	116.022541
63421	6.966059	1.192055	6.660919	0.003424	-0.011745	0.002230	10.445451	-45.527317	116.024312
63422	6.970095	1.220656	6.706794	0.006612	-0.004100	0.001854	10.442299	-45.525946	116.027019
63423	6.938538	1.183135	6.783132	0.007834	-0.006225	0.004239	10.438762	-45.525972	116.031224
63424	6.920781	1.164002	6.718866	0.005509	-0.007543	0.001158	10.435819	-45.526476	116.032649
63425	6.945499	1.158851	6.694384	0.011837	-0.007373	-0.005806	10.440461	-45.526105	116.028605
63426	7.001308	1.205054	6.739060	0.011445	-0.004376	-0.004789	10.444062	-45.524085	116.025916
63427	6.899352	1.241897	6.775688	0.014162	-0.006056	-0.002725	10.448128	-45.523292	116.024545
63428	6.890704	1.233287	6.743142	0.011050	-0.009632	-0.004546	10.451952	-45.524313	116.021168
63429	6.982239	1.236051	6.734478	0.010854	-0.008133	-0.004038	10.455097	-45.524553	116.018434
63430	6.986424	1.258815	6.707457	0.010266	-0.003636	-0.002514	10.456520	-45.522432	116.017652
63431	6.971723	1.275079	6.762642	0.005191	-0.008730	-0.000797	10.454624	-45.523346	116.017436
63432	6.929845	1.261874	6.722106	0.001884	-0.010807	-0.002109	10.451786	-45.525264	116.015994
63433	6.997471	1.263137	6.664467	0.005313	-0.006044	0.001666	10.448262	-45.524921	116.018156
63434	6.973592	1.269472	6.687894	0.007276	-0.004528	-0.001872	10.447788	-45.523344	116.017624
63435	6.951584	1.235408	6.723108	0.006686	-0.008285	-0.001119	10.446885	-45.523974	116.017215
63436	6.937412	1.244922	6.705159	0.007395	-0.010097	-0.000180	10.446076	-45.525738	116.017257
63437	7.001216	1.224714	6.673914	0.007666	-0.007527	-0.002888	10.446670	-45.525757	116.015537
63438	6.958700	1.218692	6.706587	0.011245	-0.002880	-0.004286	10.449743	-45.523009	116.013247
63439	6.946009	1.297693	6.723342	0.009552	-0.010081	-0.004226	10.452456	-45.524328	116.010072
