// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58060	9.640647	0.740864	-0.481023	-0.079520	-0.004029	0.031892	128.497287	-84.664518	-137.619957
58061	9.712706	0.663879	-0.507984	-0.073054	-0.004113	0.043584	128.677517	-84.684341	-137.841807
58062	9.713994	0.643113	-0.525592	-0.054610	-0.001601	0.046214	128.866237	-84.706118	-138.061747
58063	9.677291	0.738542	-0.520958	-0.049526	-0.008032	0.046834	129.094696	-84.725835	-138.318499
58064	9.727049	0.848280	-0.525495	-0.058104	-0.011342	0.050649	129.349332	-84.745891	-138.606632
58065	9.726434	0.860308	-0.508547	-0.062016	-0.016244	0.051924	129.634198	-84.764654	-138.927178
58066	9.724300	0.838462	-0.426945	-0.079525	-0.021039	0.055089	129.945287	-84.782846	-139.284306
58067	9.692086	0.799368	-0.464903	-0.097535	-0.017989	0.056400	130.240679	-84.802616	-139.635854
58068	9.677248	0.772887	-0.514221	-0.106667	-0.025578	0.065767	130.606631	-84.823418	-140.063663
58069	9.643759	0.816780	-0.564247	-0.103251	-0.027994	0.068735	131.003325	-84.844393	-140.520173
58070	9.713167	0.811749	-0.564085	-0.105316	-0.034275	0.074035	131.453013	-84.864929	-141.031252
58071	9.730662	0.792748	-0.554189	-0.118962	-0.034201	0.075912	131.907977	-84.885974	-141.555289
58072	9.715037	0.714506	-0.557731	-0.122113	-0.033690	0.077367	132.367402	-84.907421	-142.085773
58073	9.681860	0.623452	-0.550220	-0.115069	-0.032403	0.073293	132.812656	-84.927310	-142.597801
58074	9.699567	0.629683	-0.564210	-0.121739	-0.041641	0.079143	133.325729	-84.945619	-143.181894
58075	9.702278	0.573017	-0.621077	-0.121908	-0.035669	0.081759	133.827967	-84.966955	-143.754954
