// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
04304	NaN	9.284663	-1.091958	-2.668695	-0.001948	-0.006178	-0.107733	-161.789594	-73.730890	-30.933410
04305	NaN	9.311039	-1.148836	-2.594780	-0.007385	-0.002349	-0.119201	-162.009028	-73.748734	-30.709130
04306	NaN	9.451464	-1.084962	-2.682319	0.010887	0.002218	-0.117975	-162.213047	-73.768126	-30.489847
04307	NaN	9.355491	-1.105772	-2.732488	0.028463	0.016040	-0.116554	-162.396977	-73.795102	-30.281199
04308	NaN	9.289131	-1.011646	-2.583835	0.086330	-0.001819	-0.134162	-162.591652	-73.814660	-30.026679
04309	NaN	9.409714	-0.711034	-2.442722	0.053459	-0.007097	-0.138846	-162.818080	-73.832369	-29.758914
04310	NaN	9.481627	-0.612060	-2.597115	-0.011524	-0.000568	-0.130345	-163.061971	-73.851424	-29.511573
04311	NaN	9.360971	-0.590553	-2.674971	-0.028875	0.000017	-0.116740	-163.290710	-73.868754	-29.290560
04312	NaN	9.342903	-0.649355	-2.700767	-0.027363	-0.008945	-0.118208	-163.526451	-73.880665	-29.061195
04313	NaN	9.494384	-0.581195	-2.638855	-0.022201	0.002271	-0.121283	-163.759654	-73.899466	-28.831589
04314	NaN	9.577627	-0.491572	-2.772973	-0.064784	0.021613	-0.110504	-163.986187	-73.926457	-28.634169
04315	NaN	9.395028	-0.560370	-3.044572	-0.100002	0.037922	-0.112632	-164.229280	-73.963029	-28.440720
04316	NaN	9.194858	-0.642006	-2.937191	-0.068085	0.023696	-0.122957	-164.482174	-73.992622	-28.217907
04317	NaN	9.293366	-0.568337	-2.681983	-0.060988	0.018698	-0.114497	-164.718548	-74.018397	-28.008255
04318	NaN	9.516865	-0.641930	-2.859077	-0.077051	0.044070	-0.091545	-164.906851	-74.054040	-27.858029
04319	NaN	9.529224	-0.824104	-2.959868	-0.033617	0.068792	-0.088077	-165.051781	-74.103230	-27.727237
