// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
14201	NaN	8.746622	1.809565	3.418391	-0.079189	-0.003947	-0.025238	26.802641	-67.066195	-109.607470
14202	NaN	8.838778	1.782412	3.498254	-0.081975	-0.018735	-0.020303	26.795981	-67.069331	-109.646842
14203	NaN	8.909327	1.721349	3.456710	-0.084930	-0.024595	-0.009287	26.778063	-67.077648	-109.675743
14204	NaN	8.814345	1.754241	3.473784	-0.075171	-0.024655	-0.000434	26.754894	-67.088949	-109.692955
14205	NaN	8.627550	1.813338	3.410789	-0.081909	-0.044903	-0.000763	26.740796	-67.109857	-109.724119
14206	NaN	8.797859	1.799222	3.463299	-0.088984	-0.071517	0.001334	26.736228	-67.145596	-109.770102
14207	NaN	8.938658	1.681092	3.424532	-0.087652	-0.066703	0.014132	26.714152	-67.181496	-109.796163
14208	NaN	8.950718	1.832112	3.530027	-0.084089	-0.054394	0.027737	26.669833	-67.215279	-109.795960
14209	NaN	8.994523	1.689810	3.416943	-0.087498	-0.058862	0.046245	26.603805	-67.255424	-109.774246
14210	NaN	8.923470	1.690530	3.435372	-0.086237	-0.038590	0.067052	26.500287	-67.291176	-109.711195
14211	NaN	8.886719	1.782287	3.423862	-0.089174	-0.033512	0.081929	26.373635	-67.327387	-109.624824
14212	NaN	8.894914	1.817323	3.394572	-0.098713	-0.028990	0.102120	26.213369	-67.366997	-109.508061
14213	NaN	8.641802	1.922395	3.327068	-0.114207	-0.029893	0.114861	26.028730	-67.409464	-109.374456
14214	NaN	8.753836	2.021580	3.344757	-0.138403	-0.049981	0.123890	25.830301	-67.465058	-109.241070
14215	NaN	8.705890	1.989946	3.391158	-0.166398	-0.071251	0.125327	25.626213	-67.531114	-109.118876
14216	NaN	8.887090	1.755718	3.360757	-0.192815	-0.087931	0.135264	25.403270	-67.608767	-108.992824
14217	NaN	8.960967	1.740547	3.505364	-0.189222	-0.078024	0.144699	25.163681	-67.682699	-108.846506
14218	NaN	9.117303	1.505723	3.472583	-0.190285	-0.079730	0.155574	24.909140	-67.760614	-108.684878
14219	NaN	8.901300	1.451648	3.367237	-0.174498	-0.063684	0.173646	24.630009	-67.833529	-108.486897
14220	NaN	8.795451	1.570770	3.448622	-0.181899	-0.079378	0.177340	24.349185	-67.915842	-108.291885
14221	NaN	8.805364	1.601028	3.489024	-0.180450	-0.101342	0.169474	24.090653	-68.006728	-108.120037
14222	NaN	9.038986	1.406306	3.474415	-0.179718	-0.124022	0.171334	23.841142	-68.110342	-107.957690
14223	NaN	8.967488	1.344895	3.466206	-0.162977	-0.129534	0.163104	23.613606	-68.213983	-107.808689
14224	NaN	9.192576	1.110711	3.572141	-0.146063	-0.141749	0.148582	23.419900	-68.321230	-107.685896
14225	NaN	9.268586	1.029056	3.443760	-0.096864	-0.135235	0.134924	23.267636	-68.421097	-107.577343
14226	NaN	9.362293	0.931620	3.464077	-0.066470	-0.115496	0.130352	23.126178	-68.510148	-107.461861
