// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58977		-0.870104	-9.816075	0.865397	0.103723	-0.059023	-0.120490	-84.944619	4.949584	-4.046017
58978		-0.797890	-9.913547	0.770927	0.122741	-0.059043	-0.104663	-84.867899	4.888188	-4.018744
58979		-0.603556	-9.891146	0.993017	0.124225	-0.055469	-0.068274	-84.790242	4.845456	-3.991767
58980		-0.640130	-9.809147	0.857363	0.135810	-0.055421	-0.012604	-84.705851	4.836649	-3.961903
58981		-0.851200	-9.756470	0.934877	0.167362	-0.042631	0.012298	-84.603758	4.840484	-3.938092
58982		-0.806620	-9.635055	1.130020	0.134599	-0.037778	0.016927	-84.520778	4.849345	-3.916755
58983		-0.846116	-9.590809	1.159094	0.098674	-0.033236	0.023586	-84.458435	4.860067	-3.897686
58984		-0.839104	-9.655334	1.109521	0.068431	-0.028141	0.028400	-84.413723	4.875940	-3.881207
58985		-0.846449	-9.648304	1.055813	0.042856	-0.023484	0.031994	-84.383785	4.891971	-3.867229
58986		-0.853855	-9.723568	1.032339	0.038788	-0.026547	0.038595	-84.356045	4.913711	-3.851069
58987		-0.892294	-9.688729	1.012231	0.033422	-0.018157	0.030792	-84.331769	4.929344	-3.840191
58988		-0.919161	-9.717210	1.034393	0.027186	-0.022316	0.030561	-84.310899	4.946717	-3.826892
58989		-0.933287	-9.777923	0.991532	0.023980	-0.021734	0.024615	-84.291880	4.958618	-3.814308
58990		-0.925397	-9.800876	0.971694	0.042748	-0.020827	0.020118	-84.262202	4.970108	-3.802447
58991		-0.874741	-9.790629	0.963317	0.053133	-0.021616	0.012979	-84.226538	4.975369	-3.790589
58992		-0.844723	-9.775660	0.968243	0.065821	-0.024845	0.020464	-84.183437	4.986798	-3.776396
58993		-0.897894	-9.741875	1.023558	0.086855	-0.024604	0.026720	-84.128228	4.999699	-3.762016
58994		-0.917183	-9.702489	1.037189	0.081587	-0.023329	0.022280	-84.076150	5.012211	-3.748566
58995		-0.931217	-9.669073	1.109249	0.070024	-0.020876	0.018117	-84.030808	5.020404	-3.736807
58996		-0.932508	-9.668222	1.115563	0.056861	-0.017690	0.013037	-83.993208	5.027958	-3.727120
58997		-0.944104	-9.686454	1.109792	0.048388	-0.014952	0.006759	-83.960616	5.030021	-3.719424
58998		-0.948014	-9.637662	1.088767	0.033106	-0.017323	-0.001535	-83.936702	5.029281	-3.710823
58999		-0.929149	-9.633194	1.120568	0.020424	-0.016775	-0.009282	-83.920127	5.022087	-3.703059
59000		-0.891215	-9.718692	1.070789	0.012018	-0.018475	-0.011933	-83.908278	5.015345	-3.694434
59001		-0.840249	-9.794180	0.990937	0.023694	-0.022675	-0.003824	-83.889507	5.010897	-3.682965
