// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20176		-1.046417	-10.230280	0.779417	-0.099970	-0.100475	-0.459623	-84.612422	9.064399	-16.815186
20177		-1.274108	-10.053754	0.711364	-0.056976	-0.075012	-0.380657	-84.637668	8.842276	-16.793887
20178		-1.265511	-10.036792	0.704746	-0.053060	-0.074735	-0.312296	-84.661180	8.659482	-16.768993
20179		-1.326314	-10.046241	0.658486	0.000828	-0.071026	-0.260941	-84.652807	8.505878	-16.743430
20180		-1.447927	-9.719762	0.835825	0.034584	-0.077850	-0.244949	-84.625479	8.361294	-16.713147
20181		-1.194006	-9.696943	0.999452	0.017078	-0.082773	-0.228436	-84.606710	8.225582	-16.679177
20182		-1.234245	-9.729661	0.916606	0.001414	-0.060880	-0.206619	-84.599626	8.103741	-16.656695
20183		-1.313423	-9.809292	0.834645	0.000634	-0.055630	-0.193859	-84.592359	7.989205	-16.636546
20184		-1.287447	-9.829337	0.851580	0.017667	-0.053055	-0.183508	-84.576505	7.880943	-16.617360
20185		-1.307807	-9.829066	0.796721	0.023777	-0.052245	-0.167515	-84.556131	7.781607	-16.597788
20186		-1.341601	-9.658603	0.944613	0.041260	-0.054320	-0.171296	-84.526660	7.680216	-16.577291
20187		-1.303276	-9.573394	1.000205	0.021315	-0.056502	-0.185766	-84.507587	7.570220	-16.556373
20188		-1.300096	-9.628919	0.948548	0.006691	-0.054419	-0.196466	-84.498168	7.454457	-16.537288
20189		-1.400348	-9.563851	0.928870	0.002705	-0.063532	-0.223196	-84.489598	7.322720	-16.514459
20190		-1.310679	-9.683432	0.881587	-0.005208	-0.078018	-0.247567	-84.485723	7.176521	-16.484680
20191		-1.450355	-9.556210	0.956678	0.016754	-0.090087	-0.284224	-84.467762	7.008509	-16.450035
20192		-1.278250	-9.542164	0.989139	0.002017	-0.111825	-0.321661	-84.458083	6.818197	-16.405040
20193		-1.320435	-9.408523	1.106895	-0.025502	-0.114234	-0.375311	-84.463546	6.596894	-16.361678
20194		-0.912912	-9.663384	1.181928	-0.069113	-0.108544	-0.398778	-84.495625	6.362819	-16.322820
20195		-0.786057	-9.398236	1.202417	-0.110266	-0.019892	-0.334287	-84.555624	6.170120	-16.331119
20196		-0.949815	-9.470862	1.128270	-0.272297	-0.031080	-0.362612	-84.708776	5.960896	-16.334148
20197		-0.616043	-10.822474	0.258185	-0.332486	-0.016725	-0.246749	-84.895665	5.818273	-16.338754
20198		-0.816628	-9.538232	1.168739	-0.091369	0.033675	-0.219503	-84.948051	5.693951	-16.370564
20199		-0.893164	-10.094147	0.641155	-0.245007	-0.003912	-0.188183	-85.085180	5.585379	-16.379052
20200		-0.866853	-9.647581	0.980544	-0.169255	0.024408	-0.182341	-85.181322	5.481685	-16.403256
20201		-0.834525	-9.854007	0.716583	-0.225902	0.014093	-0.173992	-85.308345	5.382038	-16.420956
20202		-0.829874	-9.746064	0.831514	-0.202189	0.027658	-0.171615	-85.423347	5.284508	-16.446092
20203		-0.735424	-9.795267	0.715098	-0.224614	0.030366	-0.172739	-85.550380	5.186236	-16.472641
