// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07932		-0.614080	-9.755387	0.709114	-0.009750	-0.003266	0.000843	-85.774805	3.544911	83.014382
07933		-0.593597	-9.758128	0.721112	-0.010714	-0.004287	0.000234	-85.776658	3.543954	83.015606
07934		-0.618374	-9.789788	0.707046	-0.014005	-0.004997	-0.004579	-85.779919	3.539964	83.017054
07935		-0.613326	-9.755685	0.705663	-0.013531	-0.009508	-0.005330	-85.783215	3.535607	83.021033
07936		-0.598919	-9.792509	0.675278	-0.012495	-0.010645	-0.008458	-85.785428	3.529166	83.025550
07937		-0.584445	-9.776933	0.702168	-0.002342	-0.009732	-0.006318	-85.782309	3.524236	83.029616
07938		-0.608938	-9.808542	0.689022	-0.004399	-0.014874	-0.002714	-85.779729	3.520898	83.036797
07939		-0.556059	-9.798043	0.700057	-0.001351	-0.006082	-0.006249	-85.776171	3.516161	83.038775
07940		-0.605405	-9.808877	0.730653	-0.007205	-0.010051	-0.006162	-85.775385	3.511054	83.043048
07941		-0.588895	-9.758832	0.715419	-0.003754	-0.003613	-0.006713	-85.773292	3.506156	83.043593
07942		-0.578995	-9.777484	0.742416	-0.009580	-0.004954	-0.007167	-85.774053	3.500692	83.044906
07943		-0.580540	-9.777387	0.699075	-0.013911	-0.004528	-0.008847	-85.777753	3.494535	83.045884
07944		-0.579649	-9.777550	0.697536	-0.017754	0.001431	-0.009164	-85.783428	3.488198	83.043457
07945		-0.562847	-9.814614	0.708938	-0.014892	0.001865	-0.006797	-85.787908	3.483483	83.040863
07946		-0.564426	-9.762213	0.721888	-0.017757	0.001431	-0.009161	-85.793591	3.477145	83.038438
07947		-0.581932	-9.812264	0.692657	-0.016866	0.004608	-0.004813	-85.799291	3.473678	83.034359
07948		-0.576966	-9.778153	0.691282	-0.009517	0.010347	-0.006126	-85.800559	3.469447	83.026957
07949		-0.583428	-9.759949	0.704579	-0.016408	0.007510	-0.002908	-85.806092	3.467190	83.021297
07950		-0.555639	-9.781068	0.701486	-0.012492	-0.000603	-0.006331	-85.808691	3.462383	83.020156
07951		-0.550866	-9.746936	0.700262	-0.012160	-0.000804	0.000391	-85.811493	3.461661	83.019394
07952		-0.573578	-9.778866	0.728290	-0.013629	0.000056	0.001078	-85.814753	3.461112	83.018187
07953		-0.555712	-9.781345	0.697564	-0.016134	0.002049	0.004897	-85.819920	3.463085	83.015980
07954		-0.569859	-9.797045	0.668590	-0.012262	-0.001279	0.004671	-85.822345	3.464530	83.015687
07955		-0.570350	-9.797076	0.667716	-0.005442	0.003713	0.005193	-85.821443	3.466741	83.012540
07956		-0.555201	-9.833990	0.680024	-0.007570	0.000720	0.012531	-85.821240	3.472760	83.011431
07957		-0.572513	-9.796990	0.667121	0.008952	0.003725	0.013278	-85.812071	3.479592	83.008616
07958		-0.562538	-9.728693	0.710110	0.007483	0.004585	0.013966	-85.803384	3.486591	83.005356
07959		-0.557317	-9.746904	0.695592	-0.004782	0.003309	0.018639	-85.802056	3.496469	83.003005
07960		-0.570341	-9.762765	0.709676	-0.006178	0.002016	0.015587	-85.801107	3.504284	83.001286
07961		-0.571914	-9.762723	0.708987	-0.007648	0.002876	0.016276	-85.801413	3.512794	82.999084
07962		-0.571439	-9.815214	0.693594	-0.007780	-0.000229	0.021096	-85.801294	3.523660	82.998881
07963		-0.571387	-9.780578	0.650940	-0.000987	0.002130	0.022159	-85.797743	3.535501	82.997354
07964		-0.630351	-9.772945	0.696307	-0.002918	0.000089	0.020943	-85.794859	3.546291	82.996963
07965		-0.618642	-9.809459	0.666973	0.001516	0.000135	0.018342	-85.789814	3.555867	82.996419
07966		-0.590558	-9.743606	0.680355	0.006988	-0.000953	0.012608	-85.781248	3.561855	82.996275
07967		-0.582798	-9.762100	0.708702	0.008352	-0.002290	0.016202	-85.772206	3.570106	82.997032
07968		-0.609287	-9.741221	0.753222	0.003958	-0.007118	0.015602	-85.765154	3.577543	83.000546
07969		-0.540421	-9.785324	0.678718	0.001986	-0.004375	0.017589	-85.759680	3.586498	83.002557
07970		-0.626502	-9.756562	0.726016	-0.000994	0.002132	0.022171	-85.755784	3.598077	83.001056
07971		-0.594316	-9.795866	0.709250	-0.008713	-0.006025	0.017298	-85.756380	3.606795	83.004001
07972		-0.586875	-9.779607	0.651760	-0.004750	-0.001471	0.015454	-85.754528	3.614384	83.004278
07973		-0.583774	-9.780163	0.735876	-0.001856	0.001587	0.017284	-85.751470	3.623417	83.002864
07974		-0.608302	-9.724776	0.737266	-0.003861	0.001701	0.019811	-85.749219	3.633628	83.001511
07975		-0.582895	-9.745805	0.734760	-0.013091	-0.000808	0.018830	-85.752507	3.643443	83.001534
07976		-0.618787	-9.758637	0.692480	-0.022752	-0.003587	0.015404	-85.760901	3.650910	83.003021
