// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
02305		9.616229	-0.813704	0.268691	-0.098118	0.067501	0.089292	-92.537235	-81.263122	40.009745
02306		9.623775	-1.084437	0.299397	-0.217069	0.072535	0.068170	-92.398620	-81.225537	39.743597
02307		9.700091	-1.386059	0.291982	-0.321359	0.078461	0.036026	-92.331461	-81.211772	39.488988
02308		9.708686	-1.647728	0.217410	-0.395709	0.072693	0.011845	-92.304763	-81.206331	39.232491
02309		9.662800	-1.962429	0.118367	-0.448169	0.073085	-0.008150	-92.336241	-81.217734	39.004178
02310		9.679763	-2.179433	0.081381	-0.446041	0.075143	-0.014679	-92.332899	-81.227545	38.742144
02311		9.611040	-2.380806	0.031014	-0.403338	0.074321	-0.023981	-92.335229	-81.247935	38.510347
02312		9.597416	-2.399939	-0.043717	-0.332706	0.066336	-0.030086	-92.300999	-81.266351	38.282786
02313		9.642891	-2.250805	-0.087856	-0.251563	0.062154	-0.042779	-92.262896	-81.296980	38.098088
02314		9.674009	-2.013920	-0.070548	-0.182238	0.062914	-0.035138	-92.154444	-81.318147	37.882687
02315		9.650723	-1.775072	-0.058007	-0.131910	0.055563	-0.036639	-92.069891	-81.344876	37.720374
02316		9.617681	-1.514687	-0.048523	-0.102373	0.065960	-0.026487	-91.901405	-81.361023	37.490559
02317		9.548716	-1.354534	-0.051888	-0.106101	0.055876	-0.019111	-91.797141	-81.377569	37.323285
02318		9.604070	-1.240295	-0.009318	-0.108399	0.054147	-0.008251	-91.673457	-81.382916	37.135309
02319		9.661055	-1.245919	-0.022522	-0.109792	0.059069	0.000621	-91.556254	-81.388155	36.952819
02320		9.593581	-1.333522	-0.037865	-0.093700	0.054386	0.009898	-91.421195	-81.382989	36.761859
02321		9.526933	-1.307038	-0.020966	-0.059568	0.052670	0.022819	-91.297293	-81.375355	36.601699
02322		9.438261	-1.360470	0.054695	-0.028026	0.041712	0.037620	-91.170774	-81.354025	36.457426
02323		9.450492	-1.332662	0.054919	0.003692	0.035985	0.048583	-91.072265	-81.331372	36.359599
02324		9.487215	-1.357455	0.015543	0.007551	0.024851	0.064077	-90.988157	-81.294636	36.278830
02325		9.668321	-1.231873	0.019374	0.015299	0.016607	0.078062	-90.954485	-81.254891	36.253306
02326		9.685133	-1.108066	0.102922	0.030918	0.017947	0.094400	-90.882066	-81.200696	36.197893
02327		9.672223	-0.966206	0.079995	0.056106	0.004015	0.116022	-90.869895	-81.139168	36.217777
02328		9.671484	-0.715585	-0.084180	0.093114	-0.011610	0.153724	-90.867750	-81.050722	36.269546
02329		9.611342	-0.528181	-0.149762	0.126377	-0.049904	0.206660	-91.004074	-80.936934	36.480542
02330		9.650590	-0.221473	-0.077525	0.147146	-0.081687	0.261842	-91.209466	-80.785744	36.773906
02331		9.799248	0.193986	0.061488	0.170309	-0.082754	0.296038	-91.417474	-80.620422	37.083193
02332		9.795364	0.516612	0.345643	0.165753	-0.055216	0.353784	-91.497201	-80.416674	37.260248
02333		9.741867	0.646171	0.605584	0.122689	-0.040331	0.417197	-91.562696	-80.182958	37.397626
02334		9.880350	0.736753	0.469780	0.023514	-0.046064	0.495849	-91.669242	-79.897914	37.519419
02335		10.073513	0.684559	0.362391	-0.039725	-0.035424	0.565181	-91.785333	-79.580127	37.613878
02336		10.270303	0.486754	0.228290	-0.085524	-0.046682	0.609993	-91.931116	-79.229619	37.712276
02337		10.478050	0.102432	0.224743	-0.099130	-0.029155	0.623913	-92.042775	-78.878951	37.767746
02338		10.305152	-0.562483	0.476066	-0.074805	-0.003690	0.647309	-92.043591	-78.507898	37.724808
02339		9.668358	-1.539601	0.680192	-0.026944	-0.011546	0.706638	-92.051050	-78.110725	37.716233
02340		9.143228	-2.374723	0.423798	-0.049406	-0.066471	0.751480	-92.195045	-77.678707	37.834488
02341		9.055769	-2.938830	0.165299	-0.030933	-0.117243	0.737146	-92.464754	-77.261618	38.092163
02342		9.088863	-3.046622	-0.158062	-0.114302	-0.114382	0.694249	-92.748234	-76.860914	38.315767
02343		8.879723	-3.830517	-0.197000	-0.201116	-0.088608	0.640340	-93.025230	-76.499240	38.481482
02344		8.867624	-4.404537	0.045860	-0.223905	-0.091059	0.554635	-93.306744	-76.178676	38.639105
02345		8.861397	-4.792696	-0.712704	-0.409138	-0.044566	0.460805	-93.604104	-75.920261	38.703382
02346		8.525313	-5.528931	-1.179340	-0.484039	-0.026677	0.359023	-93.899196	-75.713584	38.721636
02347		8.041809	-6.376816	-0.803905	-0.426767	-0.035042	0.201349	-94.214589	-75.602821	38.794121
02348		7.535848	-7.062597	-0.855468	-0.442425	-0.030282	0.031598	-94.540520	-75.583003	38.868851
02349		7.189522	-7.668687	-1.254978	-0.404828	-0.058290	-0.135546	-94.952195	-75.661911	39.053656
02350		7.805739	-7.761944	-1.235353	-0.153007	-0.068007	-0.305743	-95.264621	-75.832448	39.285492
02351		9.034870	-7.891660	-0.456941	0.320459	-0.010038	-0.441993	-95.222632	-76.086588	39.430680
02352		9.842801	-6.925175	0.166909	0.641093	0.085571	-0.481102	-94.764908	-76.364989	39.337537
