// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
45786		-0.373374	9.728401	1.429744	-0.045316	0.008529	-0.010396	81.095047	1.900164	113.682792
45787		-0.369550	9.567163	1.536539	-0.039909	0.009401	0.000447	81.073166	1.902181	113.687690
45788		-0.396744	9.775370	1.506850	-0.016047	0.005280	-0.005663	81.064956	1.907774	113.692904
45789		-0.328579	9.597524	1.525791	-0.052305	0.012404	0.005092	81.036042	1.907433	113.699916
45790		-0.279474	9.666909	1.497311	-0.021560	0.001814	-0.006249	81.024699	1.912948	113.699088
45791		-0.399011	9.682508	1.519154	-0.042840	0.004608	0.007446	81.001069	1.910581	113.701897
45792		-0.356849	9.623075	1.550309	-0.024917	0.004232	0.011472	80.987868	1.906214	113.703807
45793		-0.337960	9.718646	1.494070	-0.042727	0.007236	-0.002832	80.964322	1.909902	113.707181
45794		-0.340933	9.608783	1.571840	-0.051916	0.007372	0.009969	80.935711	1.906708	113.711176
45795		-0.336171	9.644974	1.475479	-0.019791	0.004122	0.002372	80.925263	1.907172	113.713254
45796		-0.424172	9.707924	1.593154	-0.033131	0.009848	0.002124	80.907455	1.908645	113.717179
45797		-0.317635	9.559657	1.509672	-0.015775	0.007119	0.006176	80.899376	1.907230	113.721299
45798		-0.287611	9.696142	1.520729	-0.009397	0.003947	-0.001791	80.895219	1.910465	113.717040
45799		-0.404284	9.640513	1.556233	-0.016402	0.008650	0.005613	80.886808	1.909508	113.721975
45800		-0.333941	9.644658	1.525869	-0.002197	0.005785	-0.006013	80.886644	1.915147	113.720571
45801		-0.356293	9.692297	1.597176	-0.016084	0.007456	0.009940	80.878407	1.911634	113.725222
45802		-0.365232	9.652639	1.570891	0.001447	0.003480	0.004306	80.880267	1.911406	113.729096
45803		-0.390850	9.698448	1.557799	-0.021412	0.011393	0.004432	80.869034	1.911368	113.735476
45804		-0.326411	9.681815	1.472505	-0.013084	-0.001099	0.006819	80.862487	1.909130	113.733909
