// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20176		11.036331	1.136724	-2.925061	-0.356236	-0.322549	-0.913450	-134.516894	-73.173300	48.174542
20177		10.694067	0.919387	-3.013650	-0.494161	-0.239596	-0.875363	-136.301811	-73.429535	49.740039
20178		10.264575	1.036355	-2.844787	-0.707817	-0.155061	-0.855308	-138.114240	-73.696327	51.205521
20179		9.771161	1.155973	-2.820684	-1.016958	-0.085767	-0.846614	-140.062731	-73.978987	52.625142
20180		9.460085	0.945271	-3.108277	-1.201761	-0.025463	-0.832312	-142.071843	-74.266936	53.996582
20181		9.137702	0.204797	-3.147680	-1.269197	0.002779	-0.793548	-144.087937	-74.543697	55.332350
20182		8.979038	-1.034768	-3.228105	-1.153843	-0.041518	-0.732871	-146.037898	-74.764677	56.667263
20183		9.135144	-1.898112	-3.456405	-0.739342	-0.139891	-0.664248	-147.789757	-74.907870	58.041045
20184		9.473696	-2.294496	-3.377440	-0.352402	-0.176878	-0.571757	-149.212456	-74.992754	59.303606
20185		9.591824	-2.451439	-3.397632	-0.104497	-0.148275	-0.474933	-150.301754	-75.059157	60.366843
20186		9.618813	-2.356293	-3.282930	0.090378	-0.127127	-0.397034	-151.113224	-75.107051	61.258677
20187		9.359540	-2.060392	-3.096040	0.252229	-0.100858	-0.367304	-151.759815	-75.159749	62.074813
20188		8.991255	-1.627134	-2.864646	0.362290	-0.093834	-0.367469	-152.335082	-75.211030	62.883103
20189		8.811820	-1.104981	-2.700221	0.447179	-0.109074	-0.385455	-152.922926	-75.259960	63.753612
20190		8.803763	-0.701658	-2.550562	0.476880	-0.117061	-0.382660	-153.493936	-75.299029	64.625055
20191		8.779415	-0.335313	-2.503339	0.465131	-0.111417	-0.366802	-154.045682	-75.337604	65.468551
20192		8.731424	-0.111986	-2.485355	0.410008	-0.088413	-0.341674	-154.554447	-75.377070	66.235729
20193		8.664905	-0.120151	-2.605512	0.348329	-0.071003	-0.323309	-155.055998	-75.422121	66.957886
20194		8.620603	-0.300717	-2.679970	0.318509	-0.089006	-0.295634	-155.532640	-75.446907	67.637399
20195		8.861893	-0.597370	-2.578037	0.252363	-0.090331	-0.256717	-155.978180	-75.463166	68.244704
20196		9.263442	-1.071390	-2.736623	0.281104	-0.091791	-0.211835	-156.312470	-75.464526	68.754904
20197		9.712100	-1.245463	-2.771579	0.485586	-0.082716	-0.171207	-156.445541	-75.463491	69.177429
20198		9.861903	-1.321058	-2.540784	0.613551	-0.045049	-0.140204	-156.403047	-75.472327	69.495164
20199		10.077524	-1.268871	-2.761306	0.765860	-0.050085	-0.116792	-156.236655	-75.476002	69.774206
20200		10.279416	-0.791500	-2.986931	0.877796	-0.034662	-0.085952	-155.923566	-75.478150	69.968811
20201		10.020117	-0.220317	-2.692171	0.840755	0.019314	-0.045766	-155.507891	-75.502070	70.034662
20202		9.599965	0.144514	-2.293920	0.734661	0.033126	-0.007518	-155.056572	-75.521412	70.001723
20203		9.486721	0.353787	-2.324170	0.622112	0.012357	0.029827	-154.619629	-75.523559	69.916217
20204		9.418661	0.529264	-2.411489	0.536432	0.007938	0.060760	-154.168847	-75.512950	69.766453
20205		9.487583	0.731519	-2.402082	0.458264	0.005057	0.082319	-153.728351	-75.497799	69.580307
20206		9.624921	0.881898	-2.303424	0.336508	0.010806	0.101077	-153.311200	-75.477895	69.346839
20207		9.719863	0.916335	-2.277756	0.196443	0.047700	0.109771	-152.925140	-75.476751	69.061938
20208		9.533736	0.812756	-2.196465	0.058121	0.085167	0.108175	-152.580287	-75.492219	68.738268
20209		9.365735	0.518439	-2.164249	-0.088258	0.114316	0.098529	-152.310554	-75.527054	68.405077
20210		9.183956	0.042647	-2.227101	-0.185577	0.135256	0.081259	-152.105199	-75.574455	68.081264
20211		9.057146	-0.390969	-2.335329	-0.191651	0.144435	0.061048	-151.933835	-75.633985	67.788613
20212		8.953507	-0.692425	-2.597155	-0.098071	0.134685	0.023065	-151.790830	-75.696383	67.581009
20213		9.004171	-0.798606	-2.873565	0.041967	0.112191	0.003388	-151.630597	-75.754909	67.438118
20214		8.978082	-0.659052	-2.990292	0.158727	0.073245	-0.003704	-151.457196	-75.793335	67.351014
20215		9.076997	-0.504204	-2.912125	0.174058	0.012217	0.009933	-151.314630	-75.799580	67.304461
20216		9.217155	-0.435303	-2.871706	0.151824	0.002783	0.030342	-151.153902	-75.793055	67.226315
20217		9.271660	-0.132176	-2.615109	0.162978	-0.013654	0.050372	-150.965859	-75.775051	67.126298
20218		9.299193	0.211827	-2.252157	0.122467	-0.031270	0.068452	-150.785160	-75.740729	67.010124
20219		9.287004	0.361396	-2.241047	-0.001211	-0.020608	0.066132	-150.668697	-75.714692	66.886872
20220		9.322098	0.328144	-2.410055	-0.063233	-0.034852	0.054932	-150.626590	-75.682355	66.803810
20221		9.311036	0.346582	-2.741422	-0.123308	-0.051296	0.038554	-150.668389	-75.648695	66.771668
20222		9.345684	0.381962	-2.804854	-0.180030	-0.056059	0.031293	-150.763622	-75.612467	66.761191
20223		9.422277	0.400414	-2.752089	-0.207437	-0.045408	0.025022	-150.873341	-75.585557	66.749395
20224		9.410319	0.401474	-2.570612	-0.248994	-0.026941	0.023799	-150.991617	-75.566050	66.721819
20225		9.452495	0.384635	-2.498472	-0.355438	-0.025965	0.010402	-151.193231	-75.552955	66.717349
20226		9.596803	0.226639	-2.652383	-0.463258	-0.006023	0.003925	-151.451144	-75.549549	66.707107
20227		9.713018	0.281241	-2.779402	-0.563795	0.001850	-0.002866	-151.768228	-75.554099	66.698600
20228		9.822834	0.174646	-3.021309	-0.674969	0.005435	-0.004837	-152.153397	-75.558931	66.694426
20229		9.810779	0.009977	-3.204565	-0.772565	0.041418	-0.019469	-152.582207	-75.588007	66.677772
20230		9.702478	-0.246114	-3.355581	-0.852330	0.078442	-0.038392	-153.062372	-75.638855	66.666687
20231		9.425689	-0.502059	-3.526074	-0.908619	0.097335	-0.054240	-153.584301	-75.705568	66.665693
20232		9.331674	-0.704585	-3.544338	-0.947967	0.086616	-0.061468	-154.162187	-75.766421	66.698856
20233		9.414744	-0.853486	-3.198912	-1.047277	0.079310	-0.049625	-154.776982	-75.822666	66.711707
20234		9.478890	-1.010598	-2.914544	-1.176094	0.090026	-0.033156	-155.429946	-75.878190	66.687461
20235		9.511175	-1.352019	-2.803855	-1.265532	0.112131	-0.010046	-156.061735	-75.942180	66.588898
20236		9.405376	-1.474206	-2.433198	-1.258743	0.132426	-0.000634	-156.659602	-76.012568	66.459074
20237		9.241286	-1.196886	-2.014566	-1.314144	0.127224	0.008134	-157.271576	-76.080937	66.311451
20238		9.420005	-1.423857	-2.053342	-1.385086	0.102391	0.005279	-157.960708	-76.134821	66.201169
20239		9.658936	-1.865616	-2.109766	-1.414713	0.111466	-0.016939	-158.703423	-76.200933	66.128927
20240		9.780174	-2.275488	-2.063255	-1.296548	0.157420	-0.042618	-159.404719	-76.294754	66.083503
20241		9.573500	-2.307587	-1.871931	-1.134351	0.216608	-0.051995	-159.983745	-76.424726	66.008177
20242		9.378745	-2.179819	-1.788628	-0.948864	0.192854	-0.022310	-160.418086	-76.533919	65.893200
20243		9.352915	-2.052005	-1.921512	-0.766953	0.176364	0.041070	-160.614751	-76.624611	65.641262
20244		9.383720	-1.792739	-1.975957	-0.561115	0.170998	0.140319	-160.474598	-76.691130	65.164334
20245		9.566675	-1.585714	-1.781095	-0.382931	0.173718	0.242829	-159.988098	-76.741005	64.436671
20246		9.990268	-1.576939	-1.520417	-0.292142	0.194662	0.332226	-159.226895	-76.780126	63.480293
20247		10.093484	-1.712025	-1.708835	-0.257534	0.248486	0.382477	-158.273746	-76.836592	62.347404
20248		9.683933	-1.819983	-1.651817	-0.278706	0.117046	0.378754	-157.460864	-76.817861	61.346142
20249		10.231107	-2.488378	-2.701404	-0.089772	0.138420	0.405247	-156.458514	-76.803079	60.261453
20250		9.850620	-2.616097	-2.795907	0.248793	0.212407	0.399915	-155.204668	-76.821093	59.117685
20251		9.532398	-2.517873	-2.698208	0.514795	0.112362	0.402285	-153.894098	-76.783163	58.072166
20252		9.177914	-1.387444	-2.367596	0.747396	0.000145	0.427078	-152.532235	-76.673492	57.110593
20253		9.558041	0.017850	-1.917677	0.849744	0.020373	0.457629	-151.040402	-76.562661	56.075228
20254		9.586853	1.547566	-1.314445	0.801679	0.023149	0.437768	-149.638148	-76.450491	55.103176
20255		9.906551	2.861725	-0.992748	0.584654	0.003270	0.365473	-148.545729	-76.347235	54.321529
20256		10.128612	3.507479	-0.753954	0.278035	0.008301	0.234133	-147.901895	-76.281311	53.820304
20257		10.187366	3.644310	-0.870111	0.059699	0.036103	0.046673	-147.718808	-76.287199	53.664694
20258		9.690514	3.209411	-1.436647	-0.129338	0.055027	-0.128589	-147.976194	-76.354248	53.850570
20259		9.180699	2.772212	-1.990369	-0.215641	-0.015355	-0.260559	-148.632515	-76.427857	54.396370
20260		8.856669	2.291038	-2.742929	-0.279921	-0.096490	-0.304035	-149.528738	-76.471439	55.150338
20261		8.567977	1.500884	-2.790468	-0.418039	-0.157632	-0.280909	-150.524642	-76.476362	55.925945
20262		8.381323	0.606905	-2.343503	-0.673147	-0.285881	-0.189576	-151.632284	-76.387163	56.665547
20263		8.547443	-0.322436	-1.998900	-0.948548	-0.341834	-0.044680	-152.634243	-76.228848	57.135080
20264		8.811063	-1.052821	-1.958145	-1.143913	-0.293241	0.141079	-153.307989	-76.044194	57.150815
20265		9.116410	-1.493760	-1.792070	-1.347952	-0.181449	0.295910	-153.649680	-75.878400	56.704566
20266		9.280449	-1.883425	-1.571659	-1.508591	-0.071717	0.384421	-153.805496	-75.745882	55.970582
20267		9.439576	-2.033395	-1.503581	-1.554323	0.007681	0.369045	-153.934263	-75.659664	55.182074
20268		9.428558	-1.999581	-1.682165	-1.519519	0.061269	0.299073	-154.143412	-75.618142	54.496156
20269		9.232357	-1.866990	-1.847929	-1.429019	0.065828	0.211269	-154.464174	-75.602620	53.979656
20270		9.048963	-1.787605	-1.951107	-1.333130	0.004340	0.149303	-154.922874	-75.570309	53.661548
20271		9.053946	-2.047001	-1.933143	-1.257876	-0.053584	0.094674	-155.493593	-75.522715	53.504289
20272		9.193771	-2.479752	-1.798456	-1.119397	-0.098802	0.035903	-156.151668	-75.464700	53.518529
20273		9.454595	-2.949092	-1.629778	-0.905700	-0.079217	-0.004460	-156.740931	-75.427200	53.588830
20274		9.609915	-3.158884	-1.484941	-0.584356	-0.000063	-0.020671	-157.116592	-75.433892	53.628110
20275		9.648411	-2.922715	-1.392732	-0.132087	0.040163	-0.034471	-157.219602	-75.465885	53.653979
