// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
17673		-0.741975	9.835079	1.300703	0.107407	-0.008802	-0.021180	80.652603	3.754097	111.049503
17674		-0.687772	9.598762	1.365106	0.086625	-0.006755	-0.017463	80.703895	3.766429	111.043717
17675		-0.731400	9.680719	1.347347	0.129225	-0.009183	-0.011121	80.778287	3.773365	111.036997
17676		-0.676467	9.918328	1.253080	0.117918	-0.007158	-0.003366	80.847612	3.777714	111.032302
17677		-0.724635	9.828328	1.256028	0.038924	-0.001551	0.005543	80.870650	3.775931	111.031443
17678		-0.673521	9.690982	1.310310	0.050399	-0.007311	0.001888	80.901369	3.777309	111.027144
17679		-0.712173	9.901856	1.244862	0.041748	-0.010556	0.010165	80.925717	3.772098	111.021598
17680		-0.688260	9.718744	1.291122	-0.019960	-0.004483	0.013794	80.916344	3.767008	111.019983
17681		-0.707021	9.673301	1.313451	0.018512	-0.005495	0.016743	80.927608	3.758534	111.017901
17682		-0.681553	9.791515	1.254222	0.002832	-0.006381	0.013261	80.931260	3.753586	111.015162
17683		-0.704045	9.673594	1.312889	-0.010941	-0.003963	0.015242	80.925697	3.746099	111.013812
17684		-0.691226	9.745914	1.311252	-0.003195	-0.005652	0.013048	80.925965	3.741347	111.011470
17685		-0.697150	9.688805	1.295770	-0.012212	-0.006163	0.011601	80.919571	3.735721	111.008543
17686		-0.679645	9.719010	1.293681	-0.017947	-0.007590	0.014740	80.911367	3.729848	111.005257
17687		-0.710363	9.658222	1.302992	-0.024830	-0.006376	0.015731	80.897760	3.721865	111.002587
17688		-0.680367	9.646271	1.333304	-0.006009	-0.005262	0.011045	80.896502	3.718304	111.000290
17689		-0.683901	9.688319	1.334858	0.000828	-0.003263	0.012312	80.897691	3.712536	110.999074
