// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
41280		9.689702	0.994467	0.381324	-0.006820	-0.000810	0.006643	71.460599	-83.902979	-7.278974
41281		9.714179	0.992809	0.332655	0.003491	0.003291	0.003364	71.443324	-83.907156	-7.262341
41282		9.714204	0.992530	0.332763	0.002674	-0.000435	0.002585	71.447118	-83.911910	-7.263770
41283		9.714257	0.992007	0.332773	0.000772	0.000983	0.008303	71.433913	-83.919603	-7.244138
41284		9.714322	0.991390	0.332728	0.002311	-0.001588	0.004506	71.440084	-83.925611	-7.248166
41285		9.697231	1.020858	0.335513	-0.002357	-0.001156	0.003018	71.441795	-83.930576	-7.251217
41286		9.694563	0.980262	0.322902	-0.005981	-0.000011	0.003292	71.437249	-83.935637	-7.249245
41287		9.714447	0.990200	0.332603	-0.006820	-0.000808	0.006642	71.428982	-83.942519	-7.244010
41288		9.666958	0.999861	0.357601	-0.010193	0.002996	0.004504	71.404518	-83.947688	-7.224435
41289		9.697977	0.959273	0.337541	-0.015454	-0.003312	0.003220	71.411546	-83.953019	-7.240965
41290		9.721112	0.949936	0.361564	-0.018827	0.000493	0.001081	71.400831	-83.956787	-7.240192
41291		9.718401	0.909636	0.349130	-0.017876	-0.000215	-0.001778	71.399779	-83.958993	-7.248336
41292		9.695295	0.918621	0.325276	-0.014159	0.000061	0.002569	71.391382	-83.963648	-7.247204
41293		9.695302	0.918509	0.325375	-0.009697	-0.000286	-0.001055	71.392900	-83.966091	-7.257027
41294		9.680881	0.988615	0.341009	0.003036	0.000716	0.000665	71.394281	-83.969591	-7.255820
41295		9.711300	1.008211	0.319067	-0.002924	-0.002223	-0.000174	71.412051	-83.972695	-7.280824
41296		9.714015	1.048488	0.331452	0.002218	-0.003011	-0.000116	71.433503	-83.976452	-7.300272
41297		9.697471	1.018492	0.335745	-0.006323	-0.004091	0.001082	71.449818	-83.981010	-7.317366
41298		9.704786	1.047152	0.289592	-0.012508	-0.004015	-0.000738	71.469134	-83.984610	-7.343150
41299		9.700773	0.998958	0.349362	-0.023498	-0.007672	-0.001145	71.501165	-83.988581	-7.386165
41300		9.684247	0.968749	0.353785	-0.024691	-0.001023	0.004864	71.488430	-83.994679	-7.386740
41301		9.698144	0.957961	0.336486	-0.021998	-0.004386	0.003317	71.498168	-84.000159	-7.413115
41302		9.718018	0.968078	0.346018	-0.021634	-0.003232	0.001397	71.504617	-84.004775	-7.431219
41303		9.708774	0.966665	0.304682	-0.020116	-0.002874	0.001729	71.511224	-84.009344	-7.448893
41304		9.748486	0.987231	0.323860	-0.013343	-0.004813	0.002609	71.528560	-84.014905	-7.473165
41305		9.728680	0.976509	0.314078	-0.012637	0.000420	0.002902	71.516369	-84.019065	-7.477237
41306		9.717591	1.026714	0.344012	-0.002243	-0.002666	0.003506	71.527407	-84.024724	-7.488782
41307		9.697247	1.075709	0.332408	-0.010195	-0.005605	0.003763	71.549589	-84.030487	-7.525607
41308		9.680747	1.045242	0.336724	-0.016397	-0.002601	0.006076	71.547774	-84.037529	-7.532384
41309		9.680829	1.044449	0.336840	-0.019563	0.001116	0.009054	71.517809	-84.045035	-7.520310
41310		9.674924	1.022782	0.310016	-0.020856	-0.002255	0.009699	71.505288	-84.053984	-7.518892
41311		9.692143	0.991883	0.307087	-0.019924	-0.000037	0.010972	71.477646	-84.063080	-7.502664
41312		9.692252	0.990777	0.307207	-0.016301	-0.001184	0.010696	71.460319	-84.072375	-7.493790
41313		9.698904	0.950539	0.335636	-0.008013	-0.002770	0.011907	71.457276	-84.082297	-7.501532
41314		9.721623	0.999966	0.357985	-0.005089	-0.000550	0.012084	71.440546	-84.092230	-7.486800
41315		9.705166	0.968815	0.362358	-0.007901	-0.004277	0.012395	71.434868	-84.103135	-7.474868
41316		9.713092	0.936773	0.317843	-0.010685	-0.002326	0.009323	71.429077	-84.111892	-7.474357
