// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
17673		10.225034	-1.253896	0.229586	0.937264	0.009526	0.932754	-97.264342	-76.585725	135.317834
17674		10.215950	-1.056539	0.192487	1.018239	-0.026400	1.002741	-96.475925	-76.014912	135.106669
17675		10.380361	-0.631374	-0.085088	0.979456	-0.060470	1.028624	-95.812815	-75.424619	135.001434
17676		10.608988	-0.365271	-0.335760	0.884033	-0.081887	0.984075	-95.290736	-74.860669	134.985154
17677		10.779533	-0.333066	-0.159588	0.846598	-0.066187	0.883124	-94.791213	-74.352739	134.970091
17678		10.550150	-0.691261	-0.013126	0.752757	-0.064442	0.752379	-94.381449	-73.922362	134.992271
17679		10.191489	-1.237419	0.137276	0.582383	-0.072809	0.613617	-94.110485	-73.568137	135.057530
17680		10.162154	-2.465264	0.996997	0.551132	-0.099844	0.517931	-93.929201	-73.270775	135.197632
17681		10.422658	-3.398048	1.750884	0.549927	-0.084539	0.512108	-93.717882	-72.974276	135.305997
17682		10.458849	-5.362873	1.433545	0.427054	-0.026310	0.562182	-93.467889	-72.654609	135.300243
17683		9.952682	-6.114394	0.656311	0.431288	0.000122	0.641041	-93.161940	-72.287456	135.238469
17684		8.941905	-6.070678	-0.649087	0.241976	-0.088750	0.692896	-93.123065	-71.890606	135.343153
17685		8.359236	-5.645368	-0.387136	0.440875	-0.171558	0.620925	-93.117078	-71.529546	135.602819
17686		7.938728	-3.991097	0.582509	0.647930	-0.149311	0.425346	-92.971118	-71.283445	135.840320
17687		7.570059	-2.219075	0.698792	0.425037	-0.138787	0.174934	-92.954064	-71.178773	136.079442
17688		7.590972	-1.197136	0.180237	0.012236	-0.138568	-0.075086	-93.195979	-71.219198	136.342236
17689		7.934444	-0.951333	-0.025131	-0.338746	-0.125560	-0.273299	-93.637778	-71.370734	136.603689
17690		8.301260	-1.505871	-0.206344	-0.644052	-0.101800	-0.425499	-94.240042	-71.611921	136.849496
17691		8.609225	-2.825882	-0.850395	-0.914102	-0.020831	-0.542688	-94.883202	-71.920382	136.975154
17692		8.499115	-4.213598	-1.061036	-0.983163	0.089120	-0.640575	-95.400857	-72.292542	136.927001
17693		8.194393	-5.296518	-0.742089	-0.844555	0.139173	-0.728036	-95.770365	-72.714866	136.806994
17694		7.935520	-5.627514	-0.561624	-0.659358	0.153453	-0.830772	-96.033266	-73.198988	136.686657
17695		7.732613	-5.330404	-0.600613	-0.487529	0.155175	-0.931672	-96.215723	-73.738621	136.585532
17696		7.600994	-4.739234	-0.443163	-0.325372	0.138447	-1.030193	-96.364056	-74.335012	136.545754
17697		7.708823	-4.093918	-0.266622	-0.235596	0.103889	-1.121329	-96.556752	-74.979474	136.605523
17698		7.897802	-3.570807	-0.042845	-0.162656	0.106087	-1.184378	-96.731597	-75.661089	136.689786
17699		8.122509	-3.311340	0.296473	-0.133624	0.119483	-1.218786	-96.878212	-76.361948	136.761909
17700		8.319848	-3.221115	0.257981	-0.182022	0.114582	-1.225948	-97.081299	-77.067395	136.863303
17701		8.572116	-3.202807	0.100048	-0.246374	0.088590	-1.230546	-97.407227	-77.772553	137.052539
17702		8.806826	-3.127603	-0.010886	-0.277073	0.066490	-1.241562	-97.849869	-78.482661	137.342533
17703		8.912876	-2.969283	0.024014	-0.263719	0.045072	-1.257791	-98.401256	-79.199034	137.750454
17704		8.933469	-2.880682	0.001541	-0.237436	0.022633	-1.274253	-99.085902	-79.922304	138.308197
17705		8.939483	-2.790872	-0.074390	-0.190654	0.001677	-1.285188	-99.915004	-80.647965	139.038449
17706		8.848957	-2.678405	-0.295885	-0.151916	-0.042757	-1.281035	-101.014272	-81.364662	140.063180
17707		8.938303	-2.832340	-0.214740	-0.004071	-0.079720	-1.262338	-102.347167	-82.062880	141.407684
17708		8.974739	-2.892747	-0.117119	0.166947	-0.094521	-1.214303	-103.847678	-82.727248	143.017920
17709		9.169776	-3.045908	-0.249789	0.276707	-0.107922	-1.156019	-105.577934	-83.351255	144.920644
