// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
27607		-0.385277	9.595178	1.766175	-0.004536	0.000798	0.003226	79.331869	2.208889	-68.140819
27608		-0.388090	9.619378	1.766381	0.000000	0.000000	0.000000	79.333598	2.210182	-68.142220
27609		-0.384824	9.595087	1.766767	-0.007868	0.000531	0.006452	79.329940	2.207960	-68.141742
27610		-0.392136	9.618644	1.733062	-0.001911	-0.000232	0.005803	79.330633	2.205990	-68.140677
27611		-0.367437	9.621608	1.782032	-0.002346	-0.002434	0.000651	79.330051	2.206721	-68.142485
27612		-0.401130	9.617426	1.787300	-0.003681	0.001976	0.003868	79.329710	2.206013	-68.141383
27613		-0.371735	9.620901	1.748522	-0.003969	-0.000345	0.005161	79.328262	2.204426	-68.141535
27614		-0.366229	9.621438	1.783201	-0.006664	-0.000534	0.006453	79.326170	2.202012	-68.141575
27615		-0.385282	9.618928	1.769442	-0.010710	0.000462	0.001301	79.320861	2.202684	-68.141682
27616		-0.382203	9.594519	1.770415	-0.009506	-0.000603	0.001301	79.317109	2.203168	-68.143319
27617		-0.380113	9.619218	1.805337	-0.006306	0.003008	0.001293	79.314378	2.204114	-68.141993
27618		-0.384960	9.618486	1.771914	-0.009157	-0.002847	0.000660	79.310798	2.204731	-68.143016
27619		-0.381749	9.594105	1.772756	-0.008435	0.001675	0.004521	79.306832	2.203719	-68.142098
27620		-0.364943	9.620592	1.788021	-0.005391	-0.000379	0.002586	79.305489	2.203552	-68.141823
27621		-0.398592	9.616372	1.793527	-0.005740	0.001864	0.003228	79.303066	2.203288	-68.140936
27622		-0.395347	9.592068	1.793950	-0.003333	-0.000267	0.003228	79.302855	2.202748	-68.142757
27623		-0.359061	9.620936	1.823674	-0.007581	0.002853	0.005164	79.299406	2.201499	-68.141107
27624		-0.368527	9.619706	1.755762	-0.001275	-0.000156	0.003870	79.300353	2.200576	-68.142279
27625		-0.365229	9.595370	1.756367	-0.011697	0.002630	0.003882	79.294536	2.200025	-68.140891
27626		-0.379463	9.593499	1.776523	-0.000637	-0.000078	0.001935	79.295885	2.200251	-68.141850
27627		-0.399627	9.640067	1.796867	-0.014960	0.003585	0.003242	79.288217	2.200162	-68.139991
27628		-0.364380	9.594994	1.758598	-0.003971	-0.000346	0.005163	79.287673	2.198547	-68.139701
27629		-0.384220	9.641585	1.778888	-0.010277	0.002664	0.006460	79.282681	2.196549	-68.138018
27630		-0.397317	9.590666	1.764894	-0.003333	-0.000267	0.003229	79.282439	2.195995	-68.139856
27631		-0.380577	9.617160	1.780036	-0.007450	-0.000489	0.001946	79.278980	2.196202	-68.140432
27632		-0.360905	9.619418	1.795144	-0.002985	-0.002511	0.002585	79.278876	2.195764	-68.143587
27633		-0.368475	9.643034	1.761380	-0.004886	0.003043	0.003874	79.276970	2.195263	-68.141967
27634		-0.376520	9.592696	1.781475	-0.007305	-0.000613	0.008394	79.274474	2.191742	-68.140778
27635		-0.364419	9.618619	1.762561	-0.005741	0.001866	0.003232	79.272051	2.191476	-68.139890
27636		-0.409440	9.588395	1.787657	-0.006668	-0.000534	0.006459	79.269884	2.189029	-68.139462
27637		-0.343929	9.620804	1.778183	-0.002262	0.002009	0.006450	79.269469	2.186967	-68.138149
27638		-0.374377	9.592481	1.783085	0.002841	0.000064	0.005153	79.272790	2.185420	-68.141089
27639		-0.357416	9.619087	1.797613	-0.000769	0.003264	0.005158	79.273253	2.184219	-68.139207
