// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58977		-2.855060	9.104837	1.943246	-0.075954	0.010015	-0.005490	77.505484	16.665736	-62.433165
58978		-2.804534	9.178978	1.948677	-0.061769	0.007803	-0.005752	77.471750	16.670849	-62.429849
58979		-2.780596	9.176048	1.912641	-0.072718	0.007627	-0.011506	77.435246	16.680696	-62.426728
58980		-2.837245	9.250613	1.884684	-0.088928	0.009402	-0.017120	77.385792	16.692370	-62.423967
58981		-2.852248	9.194354	1.915703	-0.108899	0.012427	-0.015672	77.329201	16.705135	-62.418602
58982		-2.795616	9.105265	2.020313	-0.131777	0.012205	-0.015534	77.255722	16.716281	-62.414022
58983		-2.851214	9.036814	1.971449	-0.089276	0.003295	-0.010173	77.209029	16.724815	-62.413284
58984		-2.769023	9.175325	1.967786	-0.080098	0.004762	-0.013924	77.163966	16.734125	-62.412853
58985		-2.843569	9.119999	1.989814	-0.076313	0.013143	-0.023379	77.125832	16.751278	-62.408139
58986		-2.807913	9.170783	1.932320	-0.071232	0.009159	-0.026520	77.086100	16.768185	-62.406839
58987		-2.838977	9.148294	2.007491	-0.073268	0.016051	-0.028612	77.049987	16.788627	-62.401150
58988		-2.838850	9.167321	1.986677	-0.069469	0.014812	-0.035638	77.011859	16.811353	-62.397801
58989		-2.861358	9.154105	1.981568	-0.067208	0.012261	-0.036711	76.978248	16.835821	-62.395435
58990		-2.861659	9.173157	1.960295	-0.062908	0.012445	-0.038094	76.943377	16.859616	-62.393826
58991		-2.846277	9.181556	1.977501	-0.076882	0.002327	-0.035717	76.902571	16.882235	-62.397146
58992		-2.860069	9.059599	2.068150	-0.133362	0.011236	-0.027658	76.827530	16.900052	-62.394863
58993		-2.862606	9.002258	2.078247	-0.075283	-0.012730	-0.013923	76.785925	16.908526	-62.404028
58994		-2.812649	9.075980	2.086498	-0.094234	0.005022	-0.009715	76.732956	16.915525	-62.402940
58995		-2.883639	8.987573	2.081032	-0.042799	0.000091	-0.014589	76.712078	16.926033	-62.404738
58996		-2.839243	9.160150	2.052166	-0.038620	0.002925	-0.015590	76.690380	16.936032	-62.405689
58997		-2.882561	9.061223	2.060484	-0.032887	0.004744	-0.016323	76.675880	16.948112	-62.405023
58998		-2.842497	9.157922	2.057599	-0.019090	0.003218	-0.019313	76.665269	16.960225	-62.406323
58999		-2.891318	9.157205	2.031565	-0.023656	0.003629	-0.020517	76.655685	16.974485	-62.406891
59000		-2.873898	9.221479	2.044235	-0.023950	0.004244	-0.023133	76.642307	16.988863	-62.408127
59001		-2.901711	9.198281	2.003355	-0.027552	0.004872	-0.029307	76.630339	17.008175	-62.409191
59002		-2.813287	9.206457	2.005044	-0.074123	-0.005586	-0.021587	76.586597	17.020385	-62.415953
59003		-2.930127	8.965811	2.118228	-0.098198	0.004137	-0.021389	76.534346	17.035167	-62.416364
59004		-2.801342	9.191047	2.058607	-0.070368	-0.008871	-0.015774	76.492423	17.043689	-62.424250
59005		-2.908817	8.928502	2.176085	-0.082744	0.015887	-0.022998	76.450943	17.060929	-62.418063
59006		-2.859111	9.089835	2.095278	-0.007764	-0.007130	-0.015215	76.445204	17.069365	-62.424867
59007		-2.873042	9.089198	2.117978	-0.030898	0.010094	-0.016132	76.432693	17.082001	-62.421103
59008		-2.887064	9.120755	2.055624	-0.019045	0.003223	-0.019258	76.422092	17.094079	-62.422447
59009		-2.891898	9.152548	2.084051	-0.026905	0.003644	-0.024005	76.410427	17.110220	-62.423553
59010		-2.947375	9.108294	2.111797	-0.026991	0.003913	-0.017387	76.395467	17.121348	-62.424237
59011		-2.879586	9.171838	2.041457	-0.032302	-0.001180	-0.014434	76.380264	17.131502	-62.426812
59012		-2.890816	9.105387	2.125134	-0.051025	0.003965	-0.014803	76.351648	17.141198	-62.427108
59013		-2.882624	9.081986	2.135820	-0.060978	-0.000461	-0.006426	76.320462	17.146974	-62.428137
59014		-2.883593	9.025971	2.141307	-0.058748	0.004286	-0.003681	76.287938	17.150522	-62.426678
59015		-2.921493	9.003490	2.122703	-0.022561	-0.005611	-0.000596	76.278101	17.152341	-62.429886
59016		-2.851802	9.089847	2.137061	-0.018790	-0.001873	0.002397	76.267668	17.151669	-62.431152
59017		-2.917733	9.079088	2.099318	-0.008621	-0.002709	-0.006798	76.266036	17.157324	-62.433554
59018		-2.870868	9.132828	2.128522	-0.019568	-0.002633	-0.005857	76.254680	17.161142	-62.436439
59019		-2.915475	9.067193	2.161188	-0.017717	-0.004272	-0.002983	76.247716	17.164449	-62.439210
59020		-2.909285	9.110284	2.109600	-0.013646	-0.006060	-0.007433	76.239097	17.168677	-62.444316
59021		-2.900927	9.087662	2.117096	-0.026262	0.000032	-0.012528	76.227558	17.177874	-62.445945
59022		-2.905063	9.065041	2.145988	-0.024116	-0.002232	-0.007040	76.213612	17.182403	-62.448768
59023		-2.887178	9.020619	2.158957	-0.014429	-0.001918	-0.005628	76.208792	17.187486	-62.450552
59024		-2.896360	9.096776	2.154262	-0.004849	0.001030	-0.003802	76.206583	17.190658	-62.451013
59025		-2.906606	9.063850	2.148924	-0.000097	-0.002265	-0.009641	76.209724	17.197915	-62.453576
59026		-2.894816	9.063508	2.128039	-0.002143	0.002264	-0.005483	76.209207	17.202192	-62.453558
59027		-2.901047	9.107219	2.095564	0.008814	-0.000181	-0.000234	76.218193	17.204490	-62.453564
59028		-2.904138	9.140005	2.121738	-0.000590	0.001252	-0.005226	76.218403	17.208485	-62.454098
59029		-2.914322	9.107057	2.116566	-0.008721	-0.000077	-0.006377	76.217093	17.214203	-62.454921
59030		-2.883560	9.117331	2.107692	-0.012403	0.000823	-0.005922	76.210430	17.218527	-62.455805
59031		-2.896721	9.116891	2.130033	-0.017827	0.000729	-0.008753	76.203931	17.225665	-62.456498
59032		-2.907057	9.083679	2.125763	-0.010059	-0.004331	-0.007466	76.197657	17.230143	-62.460608
59033		-2.898990	9.006606	2.132728	-0.020931	0.002751	-0.009264	76.189693	17.237829	-62.460198
59034		-2.911644	9.060994	2.154144	0.014756	-0.010872	-0.005683	76.196582	17.240421	-62.467863
59035		-2.887280	9.060809	2.111476	0.003375	0.002102	-0.009260	76.202415	17.248009	-62.467833
59036		-2.922088	9.082878	2.147022	0.016674	-0.005494	-0.005560	76.211335	17.251269	-62.472346
59037		-2.925400	9.148457	2.087428	0.006697	-0.005188	-0.009578	76.217784	17.258028	-62.476609
59038		-2.932253	9.159117	2.140748	-0.007245	-0.005732	-0.009560	76.212788	17.263482	-62.481833
59039		-2.877544	9.114383	2.090273	-0.020048	-0.001655	-0.017672	76.204172	17.275218	-62.485195
59040		-2.907329	9.091662	2.161067	-0.028173	-0.002990	-0.018817	76.187264	17.286195	-62.490149
59041		-2.930932	9.090821	2.093465	-0.020042	-0.001657	-0.017666	76.178636	17.297911	-62.493516
59042		-2.910695	9.089648	2.165002	-0.018529	0.006980	-0.019736	76.168939	17.310763	-62.492797
59043		-2.927739	9.099893	2.128827	-0.017134	-0.000792	-0.010125	76.162435	17.318390	-62.494582
59044		-2.941488	9.099126	2.151532	-0.021805	0.004617	-0.017080	76.150564	17.329441	-62.494863
59045		-2.908829	9.076248	2.116785	-0.017826	0.003092	-0.014924	76.144117	17.340262	-62.495077
59046		-2.929068	9.031794	2.192215	-0.015511	0.005211	-0.012607	76.136145	17.348906	-62.494371
