// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
27607		9.709818	0.908085	0.165548	0.001625	0.005771	-0.008222	76.576066	-84.588485	-101.547476
27608		9.720627	0.967279	0.171558	-0.002476	0.008159	-0.004808	76.548950	-84.587981	-101.522390
27609		9.723992	0.948130	0.158493	-0.011243	0.009205	-0.007211	76.505897	-84.585916	-101.484749
27610		9.709608	0.909835	0.168237	-0.017681	0.010833	-0.004538	76.454420	-84.585242	-101.439953
27611		9.683783	0.897475	0.138570	-0.018120	0.013592	-0.003849	76.376939	-84.584452	-101.371687
27612		9.742131	0.884044	0.173894	-0.022203	0.008457	-0.007694	76.340878	-84.582321	-101.347031
27613		9.704261	0.839791	0.186323	-0.019864	0.009218	-0.006949	76.292556	-84.580388	-101.309058
27614		9.698462	0.853459	0.167706	-0.020303	0.011976	-0.006258	76.235286	-84.578520	-101.262606
27615		9.707566	0.821293	0.174614	-0.017085	0.007223	-0.006892	76.200234	-84.576884	-101.236363
27616		9.718340	0.880512	0.180945	-0.011237	0.009213	-0.007200	76.165071	-84.574900	-101.209149
27617		9.747471	0.874159	0.198781	-0.008169	0.005317	-0.006163	76.145271	-84.573928	-101.193096
27618		9.714734	0.901495	0.196489	-0.002612	0.009206	-0.007455	76.115757	-84.571843	-101.163260
27619		9.746109	0.901810	0.248282	-0.005099	0.009305	-0.006524	76.074922	-84.570120	-101.124309
27620		9.734582	0.928655	0.209624	-0.008748	0.009115	-0.008129	76.043640	-84.567682	-101.094583
27621		9.711016	0.923237	0.213380	-0.013722	0.009313	-0.006266	75.997494	-84.566096	-101.055260
27622		9.729920	0.916764	0.143992	-0.013570	0.008456	-0.007939	75.966739	-84.563781	-101.033024
27623		9.717793	0.885209	0.187315	-0.016056	0.008555	-0.007007	75.924817	-84.561884	-100.999287
27624		9.690778	0.899238	0.205037	-0.016069	0.008372	-0.002675	75.885582	-84.562475	-100.970113
27625		9.705001	0.938549	0.197580	-0.018831	0.010555	-0.007055	75.830509	-84.560266	-100.924763
27626		9.711866	0.899952	0.170738	-0.019991	0.010269	-0.009590	75.788048	-84.556827	-100.891648
27627		9.707060	0.946409	0.233623	-0.019576	0.007143	-0.001620	75.744472	-84.558110	-100.858275
27628		9.710507	0.926849	0.220757	-0.024105	0.012470	-0.001838	75.675779	-84.558627	-100.800289
