// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
41280		-0.676635	-9.767408	0.814287	-0.010123	-0.004968	0.001777	-85.427776	3.932457	60.958703
41281		-0.670737	-9.748007	0.762725	-0.009081	-0.004017	-0.000586	-85.428655	3.930953	60.959529
41282		-0.669027	-9.768980	0.789257	-0.009809	0.002215	-0.002872	-85.430428	3.928354	60.955479
41283		-0.668990	-9.769049	0.788430	-0.007286	-0.004489	0.002312	-85.430251	3.928483	60.956708
41284		-0.676587	-9.767695	0.810879	-0.008580	-0.000833	0.001045	-85.430987	3.928002	60.955918
41285		-0.661784	-9.770557	0.763728	-0.006719	-0.001913	0.001293	-85.430589	3.927667	60.955625
41286		-0.685738	-9.745492	0.805334	-0.005267	-0.001977	0.000236	-85.429285	3.926689	60.956008
41287		-0.676800	-9.767844	0.808902	-0.008581	-0.000834	0.001046	-85.429997	3.926262	60.955086
41288		-0.685990	-9.745590	0.803938	-0.006877	-0.005507	0.003618	-85.429463	3.927015	60.958109
41289		-0.669598	-9.769329	0.784441	-0.004225	-0.001025	-0.002126	-85.427681	3.924767	60.957151
41290		-0.669478	-9.769389	0.783798	-0.008991	0.000182	-0.000259	-85.428681	3.923555	60.956055
41291		-0.678574	-9.747150	0.778688	-0.009057	0.000790	0.002391	-85.429725	3.923970	60.954265
41292		-0.683773	-9.780730	0.752584	-0.008265	-0.006052	0.002026	-85.430197	3.923900	60.954711
41293		-0.669876	-9.769574	0.781148	-0.011421	-0.001316	0.000513	-85.432519	3.923146	60.954040
41294		-0.669932	-9.769643	0.780230	-0.007698	-0.003476	0.001008	-85.432558	3.922640	60.954303
41295		-0.670011	-9.769688	0.779596	-0.005836	-0.004556	0.001255	-85.431551	3.922162	60.955521
41296		-0.670019	-9.769728	0.779094	-0.004701	0.000599	-0.000781	-85.429944	3.920752	60.954740
41297		-0.679086	-9.747460	0.774350	-0.006311	-0.002932	0.002600	-85.429268	3.921116	60.955091
41298		-0.677664	-9.768417	0.801224	-0.005269	-0.001979	0.000237	-85.427998	3.920056	60.956096
41299		-0.691510	-9.779690	0.771087	-0.008043	-0.003067	-0.002946	-85.428326	3.917246	60.956270
41300		-0.648443	-9.760106	0.782905	-0.008109	-0.002461	-0.000296	-85.428725	3.915969	60.955946
41301		-0.655963	-9.758794	0.805241	-0.010036	-0.000774	0.002107	-85.430270	3.916151	60.955038
41302		-0.656098	-9.758855	0.804389	-0.007699	-0.003478	0.001009	-85.430442	3.915688	60.953815
41303		-0.677633	-9.768732	0.797408	-0.006722	-0.001917	0.001296	-85.430046	3.915354	60.953524
41304		-0.670333	-9.770156	0.773439	-0.009152	-0.003416	0.002067	-85.430771	3.915458	60.954877
41305		-0.656430	-9.759000	0.802355	-0.003408	-0.003060	0.000484	-85.428434	3.914609	60.955204
41306		-0.677903	-9.768860	0.795600	-0.006154	0.000661	0.000279	-85.427577	3.913695	60.956190
41307		-0.669027	-9.791214	0.799152	-0.007291	-0.004496	0.002314	-85.427402	3.913824	60.957423
41308		-0.696159	-9.724326	0.785947	-0.005745	-0.000357	0.001584	-85.426419	3.913736	60.956538
41309		-0.656871	-9.759161	0.800031	-0.006723	-0.001918	0.001297	-85.426023	3.913402	60.956248
41310		-0.662002	-9.792702	0.774069	-0.006723	-0.001918	0.001297	-85.425693	3.913074	60.955090
41311		-0.678540	-9.769072	0.792447	-0.006723	-0.001918	0.001297	-85.425297	3.912741	60.954801
41312		-0.671132	-9.770489	0.768524	-0.008111	-0.002462	-0.000294	-85.425779	3.911470	60.953727
41313		-0.692687	-9.780340	0.761730	-0.002589	-0.005095	0.003093	-85.422884	3.912017	60.955339
41314		-0.671256	-9.770551	0.767620	-0.006091	0.000054	-0.002370	-85.422087	3.909644	60.954957
41315		-0.657477	-9.759407	0.796534	-0.006537	-0.005927	0.007573	-85.421408	3.912711	60.957250
41316		-0.686651	-9.767895	0.812878	-0.005681	-0.000963	-0.001065	-85.420467	3.910901	60.957905
41317		-0.671839	-9.770648	0.765876	-0.006314	-0.002937	0.002602	-85.419793	3.911266	60.958259
41318		-0.679454	-9.769323	0.788565	-0.004862	-0.002999	0.001543	-85.418348	3.911014	60.958083
41319		-0.688637	-9.747035	0.783904	-0.005336	-0.001376	0.002889	-85.417174	3.911615	60.957557
41320		-0.672451	-9.770732	0.764269	-0.007293	-0.004499	0.002315	-85.416915	3.911800	60.958802
41321		-0.659989	-9.738632	0.766036	-0.000504	-0.003184	-0.001633	-85.412915	3.909735	60.959102
41322		-0.666017	-9.758269	0.816230	-0.008242	-0.001253	0.005008	-85.413445	3.911203	60.961284
41323		-0.680319	-9.769457	0.786154	-0.003315	0.001141	0.000814	-85.411217	3.910734	60.959221
41324		-0.673099	-9.770833	0.762402	-0.007768	-0.002877	0.003662	-85.411350	3.911769	60.958971
41325		-0.659251	-9.759713	0.791295	-0.005272	-0.001982	0.000240	-85.410123	3.910828	60.958670
41326		-0.673339	-9.770902	0.761303	-0.004863	-0.003000	0.001544	-85.408561	3.910730	60.958064
41327		-0.689891	-9.747272	0.779847	-0.005747	-0.000359	0.001586	-85.407666	3.910633	60.956896
41328		-0.650517	-9.782134	0.793964	-0.004704	0.000597	-0.000777	-85.406051	3.909117	60.957604
41329		-0.681042	-9.769667	0.782919	-0.007200	-0.000298	0.002646	-85.405987	3.909628	60.956450
41330		-0.667153	-9.758558	0.811834	-0.005273	-0.001982	0.000240	-85.404888	3.908894	60.953159
41331		-0.690323	-9.747406	0.777786	-0.002496	-0.000896	0.003422	-85.402104	3.909821	60.952382
41332		-0.652760	-9.761265	0.764654	-0.005338	-0.001378	0.002891	-85.400990	3.910612	60.949599
41333		-0.658890	-9.780936	0.814694	-0.006317	-0.002940	0.002603	-85.400317	3.910978	60.949955
41334		-0.660684	-9.759990	0.786669	-0.007201	-0.000299	0.002647	-85.400013	3.911516	60.950260
41335		-0.682425	-9.769839	0.779554	-0.009633	-0.001800	0.003419	-85.401282	3.912400	60.950001
41336		-0.659749	-9.781069	0.812392	-0.007770	-0.002880	0.003663	-85.401411	3.913291	60.951166
41337		-0.676317	-9.757466	0.830743	-0.007137	-0.000903	-0.000003	-85.401295	3.912261	60.950236
41338		-0.690329	-9.768663	0.800438	-0.009000	0.000176	-0.000247	-85.402129	3.911448	60.947237
41339		-0.652699	-9.782565	0.786830	-0.008245	-0.001259	0.005011	-85.402618	3.913266	60.946741
41340		-0.662051	-9.760271	0.782028	-0.005339	-0.001380	0.002892	-85.401414	3.913724	60.947677
41341		-0.646716	-9.770183	0.838265	-0.008181	-0.001862	0.002360	-85.401852	3.914000	60.947404
41342		-0.674931	-9.792480	0.778408	-0.008591	-0.000844	0.001057	-85.402544	3.913649	60.945801
41343		-0.670112	-9.759082	0.803046	-0.006793	-0.001320	0.003952	-85.402203	3.914859	60.945291
41344		-0.670329	-9.759124	0.802364	-0.007042	0.003298	0.000330	-85.402175	3.914227	60.941929
41345		-0.670577	-9.759172	0.801569	-0.009226	-0.002822	0.004724	-85.403166	3.915809	60.942315
41346		-0.684936	-9.770326	0.771208	-0.008182	-0.001863	0.002361	-85.403641	3.916095	60.941510
41347		-0.649531	-9.749485	0.806261	-0.008118	-0.002466	-0.000290	-85.404028	3.914831	60.941461
41348		-0.671144	-9.759332	0.799145	-0.008657	-0.000243	0.003709	-85.404674	3.915871	60.941790
41349		-0.656480	-9.761997	0.752030	-0.005276	-0.001984	0.000241	-85.403449	3.914932	60.941489
41350		-0.671388	-9.759417	0.797900	-0.006730	-0.001924	0.001301	-85.403047	3.914730	60.939957
41351		-0.662448	-9.781801	0.801315	-0.008119	-0.002467	-0.000289	-85.403434	3.913466	60.939909
41352		-0.671476	-9.759544	0.796272	-0.011026	-0.002348	0.001831	-85.405793	3.913325	60.938162
41353		-0.671684	-9.759601	0.795391	-0.007204	-0.000304	0.002650	-85.405731	3.913839	60.937011
41354		-0.671801	-9.759658	0.794600	-0.009003	0.000173	-0.000243	-85.406547	3.912771	60.936093
41355		-0.672032	-9.759690	0.794003	-0.003638	-0.006063	0.005453	-85.404208	3.914621	60.938368
41356		-0.684912	-9.791815	0.791345	-0.006224	0.001257	0.002939	-85.403578	3.915442	60.935977
41357		-0.672758	-9.759730	0.792903	-0.006795	-0.001324	0.003954	-85.403238	3.916653	60.935470
41358		-0.650097	-9.771024	0.825758	-0.009639	-0.001807	0.003424	-85.404426	3.917618	60.934886
41359		-0.673314	-9.759827	0.791231	-0.008595	-0.000847	0.001060	-85.405145	3.917199	60.933973
41360		-0.673459	-9.759870	0.790577	-0.004771	0.001197	0.001879	-85.403943	3.917429	60.929457
41361		-0.644894	-9.751418	0.772989	-0.009230	-0.002828	0.004727	-85.404937	3.919013	60.929846
41362		-0.666551	-9.761247	0.765847	-0.008122	-0.002468	-0.000288	-85.405692	3.917699	60.927442
41363		-0.688905	-9.757440	0.834685	-0.009069	0.000773	0.002410	-85.406742	3.918125	60.925663
41364		-0.674348	-9.760071	0.787328	-0.009640	-0.001809	0.003425	-85.407894	3.918696	60.929525
