// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07932		9.677145	-0.024219	-1.380045	-0.295401	-0.177237	0.124348	176.693553	-80.569628	-90.779057
07933		9.730339	-0.127560	-1.413893	-0.256165	-0.173151	0.115161	176.987430	-80.472755	-91.223999
07934		9.735910	-0.221664	-1.583314	-0.234531	-0.195626	0.113239	177.280254	-80.362231	-91.655523
07935		9.702855	-0.397919	-1.628745	-0.175222	-0.240287	0.114003	177.610202	-80.226133	-92.090306
07936		9.686399	-0.509611	-1.539244	-0.128006	-0.313080	0.114451	177.963602	-80.047587	-92.521719
07937		9.694366	-0.739345	-1.780654	-0.071380	-0.351660	0.107398	178.318942	-79.846707	-92.922325
07938		9.688735	-1.014778	-1.687240	0.018413	-0.338734	0.092389	178.660331	-79.652250	-93.256783
07939		9.779253	-1.402857	-1.920579	0.121730	-0.310701	0.080463	179.011884	-79.473686	-93.541517
07940		9.721002	-1.492500	-2.080180	0.225401	-0.257098	0.083698	179.418179	-79.325193	-93.821697
07941		9.698195	-1.581767	-2.049961	0.283034	-0.230199	0.107912	179.921812	-79.192111	-94.167439
07942		9.644834	-1.485468	-1.792327	0.313638	-0.168554	0.136808	-179.481190	-79.093330	-94.590510
07943		9.535654	-1.211192	-1.732334	0.309841	-0.092121	0.153328	-178.841790	-79.037685	-95.059110
07944		9.334695	-0.764675	-2.054009	0.330676	0.005102	0.156947	-178.176987	-79.036331	-95.541419
07945		9.101711	-0.242798	-2.214126	0.375627	0.069784	0.117552	-177.595120	-79.072180	-95.913046
