// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20176		0.724923	11.459789	0.949117	0.334131	-0.137809	3.408261	79.305140	-11.697349	-57.941860
20177		0.656387	11.511172	1.271920	0.335942	-0.043701	3.423086	79.422731	-13.628104	-57.596615
20178		0.781464	10.342111	1.188934	0.344516	-0.002500	3.442841	79.530808	-15.564435	-57.227323
20179		0.808212	8.260631	0.354866	0.298309	0.112015	3.308772	79.582257	-17.415730	-56.803676
20180		-11.960621	6.081107	0.475452	0.105793	0.274875	2.738788	79.502931	-18.926717	-56.342756
20181		-15.217114	2.842767	0.901813	0.123044	0.139719	1.783274	79.480948	-19.915265	-56.062268
20182		-15.419187	4.050930	1.204444	0.287332	-0.148689	0.464795	79.663036	-20.186698	-56.102682
20183		-12.147189	4.821350	2.233775	0.035253	-0.139988	-1.057105	79.751928	-19.603636	-56.302239
20184		-9.065763	5.368476	2.306124	-0.101378	-0.106822	-1.954080	79.787539	-18.504419	-56.579305
20185		-7.639515	6.728169	0.419825	-0.202919	-0.050062	-2.447313	79.761292	-17.128110	-56.870949
20186		-5.512546	8.209065	-0.253641	0.130445	-0.010733	-2.615085	79.919522	-15.644477	-57.155888
20187		-3.274962	10.668062	0.964565	0.449681	-0.015640	-2.430089	80.244535	-14.273023	-57.413765
20188		-1.683668	13.000468	2.560393	0.329356	0.096456	-2.077080	80.472526	-13.079560	-57.566085
20189		-1.151190	12.652168	3.316661	-0.016404	0.311395	-1.795040	80.462766	-12.034264	-57.560821
20190		-1.429069	10.607130	2.891779	-0.293757	0.561844	-1.687925	80.266578	-11.015346	-57.405417
20191		-1.763653	9.211446	2.203142	-0.395786	0.809136	-1.759357	79.988171	-9.941281	-57.117218
20192		-1.892555	9.321407	1.903572	-0.313807	1.001303	-1.871219	79.750112	-8.772925	-56.739310
20193		-1.455202	10.076083	2.148043	-0.279199	1.144766	-1.901535	79.526436	-7.581754	-56.285977
20194		-1.007083	10.432619	2.485815	-0.290018	1.229365	-1.850405	79.303047	-6.397793	-55.787995
20195		-0.906252	10.318513	2.794758	-0.307676	1.290961	-1.784279	79.073029	-5.253408	-55.250993
20196		-0.881116	9.985851	2.949070	-0.292591	1.294285	-1.746275	78.865252	-4.116859	-54.716132
20197		-0.903625	9.853353	3.013791	-0.260604	1.256823	-1.727800	78.684788	-3.004202	-54.202060
20198		-0.819644	10.134838	3.258248	-0.179822	1.161864	-1.693261	78.565778	-1.909087	-53.743685
20199		-0.364003	10.602229	3.432350	-0.072727	1.012663	-1.569822	78.515307	-0.910847	-53.354164
20200		-0.225172	11.328077	4.169906	-0.045626	0.851169	-1.459993	78.490460	0.018809	-53.046266
20201		0.094266	11.216429	4.380997	-0.122639	0.702861	-1.392487	78.422819	0.882545	-52.811896
20202		0.379927	11.014406	4.353495	-0.177139	0.555714	-1.357320	78.328301	1.721044	-52.659903
20203		0.620950	10.626237	3.726610	-0.250712	0.419772	-1.340432	78.188349	2.523377	-52.581210
20204		1.224014	10.526845	2.856412	-0.289537	0.297297	-1.293197	78.026321	3.295882	-52.570345
20205		1.764087	10.686946	2.113826	-0.254053	0.187840	-1.177941	77.879242	3.979837	-52.606587
20206		2.160155	10.588234	1.831475	-0.207307	0.101273	-1.022202	77.758534	4.576489	-52.676641
20207		2.265912	10.464076	1.819781	-0.152605	0.022445	-0.870667	77.663936	5.068094	-52.771149
20208		2.252201	10.179391	1.721194	-0.118558	-0.035947	-0.751664	77.588699	5.495679	-52.886861
20209		2.558028	9.827739	1.614027	-0.080546	-0.089743	-0.663108	77.530151	5.857055	-53.020141
20210		2.705253	9.451637	1.407907	-0.029474	-0.121546	-0.595342	77.501412	6.185746	-53.165302
20211		2.689812	9.332368	1.416219	0.028990	-0.148912	-0.557476	77.501826	6.480563	-53.319233
20212		2.711646	9.271574	1.475505	0.093788	-0.184690	-0.522496	77.539193	6.760024	-53.490813
20213		2.676027	9.359971	1.556070	0.145801	-0.242818	-0.482779	77.599867	7.001647	-53.688206
20214		2.728617	9.519165	1.801714	0.217020	-0.303952	-0.422221	77.699688	7.210074	-53.914029
20215		2.888886	9.560826	2.023291	0.247278	-0.359949	-0.362286	77.810665	7.370630	-54.162165
20216		2.783904	9.759637	2.407834	0.260294	-0.421980	-0.300643	77.927310	7.496892	-54.439101
