// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
39282		9.672805	-1.093545	-0.143956	0.005036	-0.001844	-0.022165	-96.600826	-84.269904	127.941866
39283		9.696089	-1.018229	-0.152447	0.022985	-0.002554	-0.022018	-96.643102	-84.281587	127.997712
39284		9.694145	-0.983252	-0.086987	0.024913	-0.003558	-0.026168	-96.693207	-84.295236	128.063190
39285		9.702301	-0.960090	-0.097054	0.020874	-0.000369	-0.023607	-96.725731	-84.307961	128.108017
39286		9.717593	-0.905552	-0.095356	0.017524	-0.001887	-0.019988	-96.767008	-84.318161	128.160473
39287		9.686787	-0.917562	-0.089442	0.007513	-0.001233	-0.021343	-96.810946	-84.329534	128.209075
39288		9.672521	-0.898951	-0.125673	-0.001876	-0.002119	-0.019681	-96.863988	-84.339595	128.261167
39289		9.679996	-0.945344	-0.101369	-0.007984	0.001679	-0.019682	-96.899288	-84.350215	128.292164
39290		9.688813	-0.933602	-0.133144	-0.008019	0.003263	-0.018703	-96.925497	-84.360070	128.315265
39291		9.665913	-0.924849	-0.137328	-0.010406	-0.002123	-0.022472	-96.986325	-84.372009	128.370519
39292		9.712299	-0.936256	-0.129111	-0.004020	0.001652	-0.020290	-97.021090	-84.382641	128.404697
39293		9.727701	-0.961851	-0.114812	0.002055	-0.000561	-0.019311	-97.063877	-84.392884	128.448994
39294		9.704779	-0.953362	-0.118907	0.012031	0.000375	-0.016977	-97.093635	-84.401633	128.486175
