// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
08218		9.536075	1.411672	0.897732	-0.052430	0.031616	0.014558	47.788347	-80.803438	-80.312271
08219		9.579653	1.523765	1.007351	-0.053196	0.031066	0.026487	47.608330	-80.805797	-80.159894
08220		9.586743	1.549312	0.966061	-0.066477	0.040254	0.036490	47.373642	-80.809119	-79.959972
08221		9.585974	1.511723	0.962282	-0.060871	0.037543	0.036959	47.146990	-80.813180	-79.764812
08222		9.569184	1.506316	1.042259	-0.066480	0.040068	0.045191	46.891540	-80.819932	-79.543683
08223		9.639159	1.396217	1.030216	-0.069554	0.044682	0.054374	46.598647	-80.828177	-79.286469
08224		9.613505	1.245885	1.043729	-0.053965	0.048909	0.065260	46.277746	-80.839420	-78.991715
08225		9.628768	1.219386	1.052217	-0.040298	0.049996	0.078571	45.927123	-80.855084	-78.659065
08226		9.665900	1.249357	1.113820	-0.022651	0.050467	0.078556	45.585407	-80.870591	-78.325154
08227		9.645534	1.217520	1.074766	-0.032749	0.058495	0.087192	45.193597	-80.885691	-77.946437
08228		9.620317	1.175837	1.003486	-0.047140	0.062728	0.090674	44.773812	-80.900406	-77.548039
08229		9.615944	1.157263	0.976951	-0.033619	0.060370	0.096241	44.351094	-80.917511	-77.138559
08230		9.661761	1.247922	1.002642	-0.027418	0.056595	0.100096	43.930907	-80.937584	-76.728109
08231		9.693136	1.232921	1.023716	-0.021211	0.063531	0.102888	43.486916	-80.955046	-76.289932
08232		9.666962	1.281138	0.945556	-0.009795	0.067539	0.107769	43.026208	-80.972551	-75.828146
08233		9.649133	1.360170	1.020606	-0.011896	0.071301	0.118743	42.523001	-80.991788	-75.324651
08234		9.680950	1.467845	1.044639	-0.024496	0.075081	0.120716	41.997145	-81.009828	-74.805581
08235		9.620182	1.341179	1.021195	-0.049759	0.087294	0.127406	41.406092	-81.024044	-74.235161
08236		9.547209	1.299894	1.012573	-0.057972	0.087796	0.134741	40.788422	-81.040214	-73.642526
08237		9.688948	1.175278	1.013501	-0.055165	0.081577	0.140938	40.166401	-81.060049	-73.043943
08238		9.648814	0.979145	1.041919	-0.049550	0.089556	0.140426	39.529152	-81.075486	-72.426729
08239		9.569182	0.895105	0.991143	-0.016217	0.089551	0.140004	38.908865	-81.089392	-71.807367
08240		9.527411	0.837389	1.108136	0.005030	0.088864	0.137070	38.310084	-81.101893	-71.197613
08241		9.654839	0.765714	1.114255	0.040011	0.084661	0.136044	37.740949	-81.114606	-70.597461
08242		9.776940	0.731612	1.183017	0.058465	0.085337	0.132897	37.189686	-81.125360	-70.004635
08243		9.831082	0.713330	1.275211	0.080439	0.081535	0.118906	36.698077	-81.131849	-69.459535
08244		9.825747	0.740513	1.344962	0.042516	0.070866	0.107208	36.242932	-81.138937	-68.973348
08245		9.804451	0.616941	1.313986	0.011201	0.076779	0.093565	35.796050	-81.137735	-68.513682
08246		9.740992	0.495223	1.288804	-0.004264	0.070524	0.076772	35.405044	-81.133694	-68.119418
08247		9.684853	0.359514	1.320383	-0.030486	0.065185	0.063278	35.050235	-81.126930	-67.777101
08248		9.687161	0.191326	1.262089	-0.054162	0.059483	0.053713	34.723963	-81.119770	-67.477296
08249		9.800109	0.088058	1.278895	-0.031971	0.056797	0.041770	34.451762	-81.109379	-67.219439
08250		9.902081	0.072361	1.309872	-0.007046	0.059795	0.029926	34.224703	-81.093959	-66.992703
08251		9.765474	0.111984	1.250827	0.024042	0.061360	0.019004	34.045486	-81.073769	-66.796459
08252		9.743304	0.271758	1.395809	0.044555	0.053096	0.019509	33.894458	-81.057990	-66.616721
08253		9.759309	0.375743	1.406518	0.047308	0.063654	0.013723	33.741422	-81.034856	-66.433466
08254		9.539427	0.658487	1.328440	0.045167	0.061779	0.011112	33.599841	-81.012130	-66.262916
08255		9.416202	0.876093	1.344402	-0.002579	0.045352	-0.000636	33.499705	-80.993056	-66.162137
08256		9.568212	0.801911	1.330641	-0.050185	0.042084	-0.016373	33.426752	-80.970961	-66.116361
08257		9.614928	0.764656	1.266944	-0.055688	0.040232	-0.019671	33.364371	-80.948290	-66.084612
08258		9.703573	0.715832	1.308639	-0.034754	0.032139	-0.020773	33.333580	-80.929552	-66.072586
08259		9.739703	0.605111	1.391809	-0.005121	0.035205	-0.012246	33.288168	-80.911618	-66.028677
08260		9.718772	0.583601	1.349900	0.031031	0.033584	-0.012259	33.266899	-80.894862	-65.988090
08261		9.719900	0.618850	1.361789	0.087725	0.039100	-0.009915	33.260357	-80.875789	-65.929667
08262		9.721666	0.745763	1.366561	0.128219	0.039032	-0.010386	33.278635	-80.857011	-65.872770
08263		9.702774	0.839376	1.436877	0.146939	0.036176	-0.014180	33.324569	-80.838003	-65.833129
08264		9.620133	0.888551	1.347730	0.141044	0.051990	-0.016979	33.344569	-80.810954	-65.770494
08265		9.641461	0.878792	1.189062	0.150270	0.038633	-0.016320	33.394020	-80.790103	-65.732477
08266		9.457669	0.961732	1.193604	0.143821	0.054098	-0.008791	33.387546	-80.764637	-65.641427
08267		9.465406	0.902163	1.159058	0.120980	0.041427	-0.012860	33.404765	-80.743543	-65.587751
08268		9.458922	0.862056	1.120506	0.110304	0.040109	-0.015344	33.425766	-80.722702	-65.543960
08269		9.468398	0.836023	1.094204	0.120964	0.043880	-0.015742	33.446825	-80.699532	-65.494178
08270		9.484334	0.944115	1.101114	0.120888	0.038000	-0.020563	33.493272	-80.678065	-65.470006
08271		9.582928	0.950196	1.216506	0.096586	0.030673	-0.022006	33.544028	-80.659233	-65.464468
08272		9.640270	0.966506	1.225346	0.064065	0.026328	-0.019252	33.576500	-80.643758	-65.459184
08273		9.641317	1.002924	1.235473	0.075820	0.026962	-0.023649	33.627103	-80.626177	-65.465550
08274		9.588395	1.117524	1.374481	0.047329	0.018208	-0.033352	33.706194	-80.610097	-65.517126
08275		9.336183	1.043343	1.304099	-0.002519	0.031417	-0.025067	33.707219	-80.589940	-65.518734
08276		9.834250	0.860613	1.458680	0.003149	-0.009307	-0.027761	33.797491	-80.588722	-65.607420
08277		9.625571	0.900134	1.493258	0.002475	0.027245	-0.024948	33.808842	-80.570589	-65.616595
