// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58977		9.463738	-0.879500	-2.351191	-0.064204	-0.056682	0.085066	-152.890857	-76.014830	78.299790
58978		9.508704	-1.015601	-2.174301	-0.096136	-0.069956	0.065735	-152.874494	-75.965121	78.223783
58979		9.598960	-1.188981	-2.116422	-0.086820	-0.085953	0.055420	-152.892652	-75.908453	78.188911
58980		9.712680	-1.290770	-2.180791	-0.059962	-0.091941	0.045636	-152.919641	-75.852782	78.178941
58981		9.758339	-1.368250	-2.106809	-0.018832	-0.097040	0.029813	-152.961970	-75.797143	78.209165
58982		9.889467	-1.403053	-2.080869	0.033635	-0.121022	0.018321	-153.019882	-75.733738	78.286418
58983		10.000077	-1.399562	-2.273129	0.053362	-0.100942	-0.000320	-153.084347	-75.683927	78.382193
58984		9.910790	-1.388740	-2.226135	0.109151	-0.064172	-0.017039	-153.111049	-75.658701	78.471924
58985		9.749770	-1.313072	-2.098540	0.211057	-0.073147	-0.039328	-153.134075	-75.633164	78.618227
58986		9.651220	-1.221026	-2.170730	0.268327	-0.080279	-0.058326	-153.167763	-75.610368	78.809339
58987		9.512749	-1.142118	-2.238051	0.273557	-0.066427	-0.063472	-153.195594	-75.594483	78.997609
58988		9.397684	-1.035839	-2.152101	0.265172	-0.051074	-0.067731	-153.219962	-75.589006	79.177258
58989		9.332634	-0.952732	-2.221791	0.210354	-0.041955	-0.066415	-153.265012	-75.586357	79.345932
58990		9.262978	-0.946572	-2.292662	0.159751	-0.043063	-0.053304	-153.312901	-75.581201	79.487507
58991		9.253023	-0.914244	-2.285396	0.158898	-0.075241	-0.046498	-153.380895	-75.556314	79.649438
58992		9.359912	-0.788260	-2.288261	0.144070	-0.078273	-0.043620	-153.453094	-75.530555	79.806867
58993		9.404513	-0.688779	-2.264357	0.060681	-0.055029	-0.042942	-153.549673	-75.515020	79.940226
58994		9.420501	-0.810275	-2.224989	-0.006866	-0.060210	-0.042676	-153.687930	-75.498154	80.076587
58995		9.518078	-0.903964	-2.302815	-0.011562	-0.073084	-0.042371	-153.842030	-75.473069	80.226617
58996		9.525148	-1.000454	-2.393786	0.001588	-0.065553	-0.040004	-153.974590	-75.452609	80.362123
58997		9.500376	-1.073258	-2.311884	-0.008043	-0.080717	-0.036285	-154.121106	-75.421882	80.506429
58998		9.516131	-1.194476	-2.275524	-0.006664	-0.089414	-0.037582	-154.275507	-75.388337	80.659653
58999		9.412494	-1.362933	-2.364218	0.048532	-0.084110	-0.044631	-154.408075	-75.357740	80.823090
59000		9.346433	-1.333935	-2.338400	0.102411	-0.086035	-0.045976	-154.512134	-75.327839	80.988922
59001		9.406477	-1.243184	-2.332180	0.125520	-0.075173	-0.038520	-154.578884	-75.300181	81.129974
59002		9.487526	-1.139553	-2.240960	0.152032	-0.070863	-0.028577	-154.605117	-75.273759	81.244778
59003		9.602072	-0.991975	-2.355485	0.137283	-0.044391	-0.019012	-154.597303	-75.257200	81.315739
59004		9.627316	-0.963255	-2.312559	0.105122	-0.025176	-0.021897	-154.594350	-75.252779	81.372587
59005		9.584531	-0.922653	-2.303713	0.079077	-0.030176	-0.016449	-154.601560	-75.242959	81.424597
