// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58977		9.514471	0.442520	-2.084433	0.187532	0.026636	-0.074213	170.980506	-77.586414	-169.927999
58978		9.510276	0.354955	-2.085724	0.154939	0.043037	-0.076199	170.863356	-77.603283	-169.715370
58979		9.423016	0.353554	-2.013377	0.161276	0.036697	-0.068625	170.775308	-77.616539	-169.528763
58980		9.397651	0.291869	-2.013926	0.168088	0.023824	-0.050968	170.738089	-77.624725	-169.390277
58981		9.496563	0.217628	-2.056542	0.179052	0.008960	-0.040984	170.742811	-77.624789	-169.288230
58982		9.606434	0.196223	-2.168217	0.198060	0.006283	-0.030706	170.782385	-77.624918	-169.210781
58983		9.684079	0.280095	-2.305200	0.220743	0.005258	-0.023275	170.858190	-77.624537	-169.157053
58984		9.788036	0.402391	-2.285573	0.227585	0.012157	-0.024170	170.929224	-77.628588	-169.094492
58985		9.896281	0.482949	-2.168283	0.212325	0.017108	-0.028426	170.982012	-77.634475	-169.022139
58986		9.834977	0.542277	-2.138292	0.209076	0.025995	-0.031401	171.018014	-77.645706	-168.934579
58987		9.745081	0.557467	-2.095220	0.214842	0.032889	-0.038876	171.038697	-77.659610	-168.827890
58988		9.617264	0.586912	-1.995935	0.214465	0.030921	-0.044619	171.041249	-77.672448	-168.702943
58989		9.495506	0.578449	-1.925693	0.207447	0.033141	-0.051501	171.024655	-77.685369	-168.562447
58990		9.316444	0.481403	-1.829661	0.178526	0.031728	-0.050012	170.991784	-77.698169	-168.422338
58991		9.219141	0.427538	-1.773760	0.135064	0.027406	-0.043101	170.957547	-77.708570	-168.306243
58992		9.184322	0.313543	-1.788450	0.100637	0.021098	-0.040655	170.908330	-77.716185	-168.195091
58993		9.305691	0.213071	-1.871788	0.102772	0.000213	-0.033743	170.891051	-77.712017	-168.115292
58994		9.614533	0.128571	-1.854175	0.140797	-0.006257	-0.038054	170.883053	-77.704395	-168.022772
58995		9.871913	0.157494	-1.835214	0.176729	0.015706	-0.045377	170.871548	-77.707929	-167.905511
58996		9.972401	0.193503	-1.858649	0.200043	0.045670	-0.041448	170.867073	-77.729410	-167.781851
58997		9.853222	0.296286	-1.855384	0.218297	0.055093	-0.030872	170.900345	-77.756544	-167.686056
58998		9.763455	0.331764	-1.965056	0.230773	0.050957	-0.020013	170.966882	-77.783024	-167.617059
58999		9.599050	0.394480	-2.048558	0.235912	0.046171	-0.006182	171.078427	-77.807367	-167.591039
59000		9.410721	0.483036	-2.006671	0.226082	0.038200	-0.004298	171.188841	-77.828064	-167.569691
59001		9.289641	0.582114	-1.922587	0.184595	0.025592	0.002929	171.303598	-77.841568	-167.577040
59002		9.214626	0.608057	-1.852167	0.136859	0.026803	0.006337	171.395562	-77.856733	-167.589119
59003		9.204619	0.684136	-1.922175	0.086228	0.010312	0.002476	171.459044	-77.861536	-167.601669
59004		9.466144	0.599199	-2.171279	0.077955	-0.018106	-0.014264	171.480620	-77.849494	-167.576279
59005		9.809446	0.631012	-2.138680	0.101070	-0.015220	-0.032142	171.471619	-77.836888	-167.505984
59006		9.959240	0.665995	-2.023507	0.087011	0.021056	-0.035032	171.428113	-77.845229	-167.408720
59007		9.942961	0.655623	-1.964707	0.072570	0.042704	-0.029687	171.386200	-77.865631	-167.321465
59008		9.793582	0.604532	-1.921351	0.068759	0.040159	-0.023535	171.354299	-77.885759	-167.246787
59009		9.623489	0.579576	-1.921444	0.058770	0.032953	-0.017778	171.339470	-77.901645	-167.195333
59010		9.385011	0.544338	-1.923573	0.037019	0.025346	-0.019282	171.306106	-77.913748	-167.137771
59011		9.282947	0.530079	-1.923622	0.011373	0.019332	-0.016914	171.271748	-77.921984	-167.094121
59012		9.207418	0.561375	-1.853674	-0.015476	0.009717	-0.015040	171.225583	-77.925587	-167.054235
59013		9.159729	0.526478	-1.811756	-0.048921	-0.007478	-0.015948	171.170145	-77.918712	-167.024356
59014		9.335327	0.404668	-1.808066	-0.051936	-0.023669	-0.022692	171.096461	-77.902730	-166.977695
59015		9.550292	0.378925	-1.890055	-0.025055	-0.025811	-0.026142	171.035547	-77.884558	-166.928227
59016		9.732748	0.328983	-1.901622	0.003918	-0.010930	-0.032688	170.962462	-77.874885	-166.849441
59017		9.816715	0.354231	-1.914441	0.023263	0.006367	-0.023939	170.921782	-77.875096	-166.792351
59018		9.794417	0.383022	-1.871785	0.027928	0.017298	-0.015896	170.894881	-77.882910	-166.746730
59019		9.759079	0.397611	-1.941367	0.007068	0.020613	-0.005981	170.886180	-77.892798	-166.731839
59020		9.624915	0.376582	-2.025875	-0.011758	0.035819	-0.005822	170.855133	-77.912020	-166.705236
59021		9.455872	0.350905	-2.068350	-0.025249	0.030521	-0.003250	170.830834	-77.927760	-166.693332
59022		9.455454	0.352661	-2.023515	-0.047272	0.020934	-0.010432	170.773468	-77.938122	-166.660625
