// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
02305		-0.652221	-9.798541	0.810794	-0.007622	0.024612	-0.000399	-84.457395	3.961426	55.920456
02306		-0.678012	-9.846883	0.835802	0.015376	0.019054	0.015909	-84.453104	3.966926	55.908835
02307		-0.714032	-9.881732	0.832382	0.040441	0.020966	0.037327	-84.426643	3.988370	55.897591
02308		-0.722187	-9.726306	0.942018	0.040395	0.014984	0.043276	-84.407790	4.009255	55.889822
02309		-0.742742	-9.709077	0.937661	0.035876	0.021997	0.044742	-84.383964	4.034994	55.878421
02310		-0.738927	-9.721585	0.971300	0.025362	0.021956	0.043897	-84.374014	4.056638	55.866709
02311		-0.791993	-9.705536	0.954519	0.021367	0.018842	0.039589	-84.358402	4.079268	55.856834
02312		-0.733511	-9.786062	0.885980	0.025984	0.020089	0.042854	-84.348030	4.100233	55.846132
02313		-0.831825	-9.680991	0.996322	0.014684	0.010070	0.037163	-84.335904	4.120988	55.841144
02314		-0.732442	-9.764122	0.915187	0.016712	0.015185	0.037533	-84.330675	4.138667	55.832944
02315		-0.764950	-9.647478	0.992398	-0.003104	0.007933	0.026611	-84.328698	4.153286	55.828582
02316		-0.793022	-9.685944	0.963121	-0.003030	0.015072	0.023030	-84.334841	4.162701	55.819618
02317		-0.771378	-9.705892	0.947456	-0.010289	0.012927	0.019260	-84.337221	4.173410	55.811982
02318		-0.774953	-9.764534	0.902395	-0.013627	0.009155	0.016262	-84.349217	4.178651	55.806010
02319		-0.800382	-9.744428	0.916444	-0.002465	0.009698	0.014877	-84.347000	4.186677	55.799970
02320		-0.783906	-9.702304	0.967738	-0.006454	0.006602	0.010561	-84.354816	4.188545	55.795129
02321		-0.817002	-9.703348	0.955684	-0.014374	0.006381	-0.004021	-84.359362	4.185608	55.789917
02322		-0.783608	-9.702602	0.964980	-0.018889	0.014654	-0.012057	-84.374721	4.175055	55.779196
02323		-0.813026	-9.645347	0.995008	-0.037348	0.010828	-0.022744	-84.392690	4.161689	55.770390
02324		-0.763613	-9.720179	0.966261	-0.039933	0.015898	-0.029195	-84.420204	4.141454	55.758004
02325		-0.801652	-9.708672	0.919870	-0.051118	0.015373	-0.033736	-84.446288	4.122065	55.746000
02326		-0.758373	-9.746033	0.907743	-0.052449	0.015536	-0.038729	-84.480980	4.096383	55.733315
02327		-0.802182	-9.706865	0.932236	-0.055042	0.020597	-0.045170	-84.509557	4.070747	55.717715
02328		-0.836523	-9.681195	0.986475	-0.075577	0.010476	-0.064522	-84.557373	4.030088	55.706546
02329		-0.844918	-9.631758	0.966691	-0.065493	0.038587	-0.087514	-84.592794	3.981252	55.678397
02330		-0.803736	-9.700705	0.979445	-0.091185	0.042108	-0.118552	-84.650941	3.911498	55.646306
02331		-0.809233	-9.744593	0.917013	-0.114849	0.050610	-0.137331	-84.715213	3.834828	55.608729
02332		-0.869178	-9.814244	0.915271	-0.120177	0.057150	-0.163166	-84.790568	3.740373	55.565872
02333		-0.681545	-9.745807	0.925967	-0.126857	0.054148	-0.165556	-84.861813	3.647686	55.525010
02334		-0.462593	-10.086603	0.613942	-0.135394	0.050440	-0.123339	-84.945340	3.575542	55.488293
02335		-0.467336	-9.910257	0.626823	-0.056460	0.041885	-0.072451	-84.975413	3.535282	55.459362
02336		-0.581583	-9.798824	0.801147	-0.007768	0.036666	-0.041675	-84.985078	3.508959	55.434727
02337		-0.676875	-9.847237	0.824635	-0.014432	0.012253	-0.015801	-84.989834	3.499535	55.425603
02338		-0.457153	-9.873283	0.773273	0.002060	0.014598	0.001615	-84.992953	3.496823	55.415764
02339		-0.535356	-10.002476	0.584868	0.052116	0.012744	0.044498	-84.959413	3.521842	55.409388
02340		-1.008684	-9.800135	0.765135	0.067024	-0.022597	0.046170	-84.923906	3.542660	55.423067
02341		-0.535208	-9.921904	0.670619	0.114131	-0.059553	0.055334	-84.852238	3.570181	55.458621
02342		-0.547369	-9.869258	0.804372	0.140404	-0.060043	0.065238	-84.773306	3.599975	55.494743
02343		-0.582547	-9.713586	1.049052	0.174496	-0.067335	0.075507	-84.666659	3.638491	55.535896
02344		-0.640434	-9.400558	1.288831	0.132043	-0.116468	0.087498	-84.590304	3.677845	55.605565
02345		-0.952489	-9.503409	1.025935	0.035334	-0.208485	0.093835	-84.558059	3.719064	55.728493
02346		-1.125474	-9.742383	0.799553	0.002970	-0.336331	0.040772	-84.547503	3.719817	55.921337
02347		-0.622370	-10.058382	0.707302	0.044227	-0.460930	-0.068846	-84.501480	3.654344	56.179666
02348		0.345597	-10.221633	0.614445	0.135644	-0.513222	-0.257664	-84.410237	3.474937	56.457020
02349		-0.666039	-8.788280	1.322865	0.123434	-0.412132	-0.276514	-84.322547	3.293087	56.675508
02350		-2.020053	-8.999860	1.408348	-0.045514	-0.218692	-0.109430	-84.345683	3.214201	56.792638
02351		-0.672661	-10.006848	0.991679	-0.111377	0.061897	-0.195548	-84.408054	3.105170	56.744961
02352		-0.492607	-10.346719	0.691458	-0.116441	0.023374	-0.200829	-84.479752	2.988087	56.718924
02353		0.076196	-9.584800	0.644883	-0.164254	-0.039435	-0.071197	-84.568897	2.944317	56.736216
02354		-0.448400	-9.638422	0.888927	0.019882	-0.002596	-0.030531	-84.561257	2.922813	56.734524
02355		-0.522442	-9.369466	1.317254	-0.050638	-0.011016	0.001388	-84.585943	2.921999	56.739559
02356		-0.410126	-9.565402	1.033639	-0.177298	-0.029970	0.020762	-84.690247	2.928299	56.756278
02357		-0.474573	-9.758309	0.893647	-0.182849	-0.036161	0.050494	-84.789813	2.954196	56.778264
02358		-0.538039	-9.799755	0.838309	-0.153184	-0.039877	0.060690	-84.879842	2.982825	56.802671
02359		-0.542246	-9.776701	0.872645	-0.151210	-0.046781	0.067021	-84.960900	3.017685	56.831485
02360		-0.597651	-9.796776	0.845506	-0.138793	-0.046313	0.064607	-85.042435	3.048329	56.859665
02361		-0.663610	-9.861327	0.744079	-0.134983	-0.047951	0.059452	-85.114153	3.078889	56.888681
02362		-0.668156	-9.896144	0.736718	-0.109543	-0.029471	0.038107	-85.179485	3.095345	56.905853
02363		-0.638093	-9.895381	0.737210	-0.092713	-0.034681	0.024648	-85.227469	3.106734	56.925545
02364		-0.601447	-9.921166	0.668046	-0.056604	-0.028040	0.015805	-85.262569	3.110609	56.940802
02365		-0.610078	-9.884102	0.683494	-0.013168	-0.028750	0.015335	-85.265182	3.116981	56.956650
02366		-0.607592	-9.802456	0.777229	0.005278	-0.026985	0.015100	-85.264873	3.120548	56.971264
02367		-0.614256	-9.775709	0.850078	0.003302	-0.026192	0.014748	-85.258128	3.126705	56.985621
