// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
15775		-0.614308	9.432771	5.440124	0.323369	-2.552110	2.221287	76.039897	21.609466	-56.097499
15776		-1.236442	10.235914	6.079906	0.195987	-2.598012	2.291417	75.730345	19.972584	-57.298472
15777		-1.780064	10.345315	6.027497	0.055014	-2.702349	2.381095	75.360704	18.266403	-58.525524
15778		-2.159525	10.077753	5.600420	-0.017939	-2.822921	2.432469	74.976900	16.504316	-59.789775
15779		-2.304864	9.657032	4.849635	0.069984	-2.931924	2.479999	74.668794	14.694507	-61.087432
15780		-2.217661	9.711282	4.360522	0.176271	-2.973036	2.450396	74.462569	12.887040	-62.393449
15781		-1.848422	9.563353	3.936423	0.290656	-2.915476	2.370225	74.365096	11.131476	-63.666031
15782		-1.635741	9.852648	3.555857	0.391039	-2.751625	2.241972	74.380144	9.469037	-64.857752
15783		-1.414956	9.689568	2.993261	0.498877	-2.501371	2.106345	74.505022	7.923416	-65.927657
15784		-0.671570	9.493956	2.518429	0.612200	-2.157669	1.942915	74.746202	6.521737	-66.832160
15785		-0.954027	10.359725	2.248599	0.791861	-1.731261	1.745151	75.128395	5.299844	-67.534523
15786		-0.551864	10.271381	2.415944	0.905131	-1.272368	1.552243	75.611001	4.254695	-68.017525
15787		-0.682619	10.745899	2.431104	0.952149	-0.800112	1.372211	76.140448	3.381831	-68.271410
15788		-0.996784	11.687152	3.004088	1.096356	-0.364036	1.231142	76.770880	2.646746	-68.309706
15789		-1.188814	15.038266	5.569076	1.178942	0.007796	1.191774	77.453483	1.983577	-68.153504
15790		-1.142983	17.200892	8.692677	0.616632	0.360872	1.300398	77.821255	1.299612	-67.792589
15791		-2.986001	13.733892	7.498822	0.017325	0.716140	1.321589	77.841501	0.647370	-67.232361
15792		-6.514463	8.224337	4.751529	-0.087948	1.104077	0.926099	77.800397	0.261851	-66.502813
15793		-7.601512	6.263357	4.161021	0.210264	1.397487	0.513431	77.924662	0.144078	-65.658715
15794		-6.881460	10.116955	5.705544	0.327385	1.501764	0.174051	78.118125	0.225670	-64.796937
15795		-5.610895	10.273019	5.704903	0.210046	1.504698	0.077416	78.243634	0.360317	-63.944543
15796		-4.898218	9.665823	4.769890	0.103299	1.380520	-0.006322	78.311440	0.525892	-63.171282
15797		-3.957714	9.998258	5.205028	0.073488	1.167146	-0.080434	78.361291	0.707700	-62.526194
15798		-2.865770	9.197726	4.140237	-0.071989	0.948797	-0.151351	78.329546	0.904310	-62.011673
15799		-1.875419	8.043807	2.379839	0.011458	0.713413	-0.233491	78.343494	1.119442	-61.638894
15800		-0.934475	8.463567	2.118077	0.176346	0.465837	-0.299050	78.451484	1.343114	-61.412230
15801		0.019716	9.169052	2.301018	0.273332	0.248422	-0.287162	78.611560	1.534141	-61.305960
15802		0.419215	9.837935	2.227320	0.231719	0.102272	-0.227116	78.747237	1.675423	-61.274397
15803		1.347320	9.968133	2.050626	0.094302	0.077485	-0.156993	78.802836	1.773778	-61.248886
15804		1.746496	9.521416	1.236887	-0.022906	0.153126	-0.087841	78.794118	1.842214	-61.172942
15805		1.660856	9.309436	0.665636	-0.033896	0.285918	-0.024519	78.780625	1.889332	-61.015435
15806		1.369171	9.269805	0.450500	-0.028248	0.444651	0.019740	78.774968	1.929559	-60.763609
15807		0.527233	9.271470	0.323359	-0.015124	0.631496	0.028988	78.779324	1.985171	-60.405803
15808		-1.118666	10.332082	1.193683	0.119444	0.767725	0.000530	78.865370	2.071694	-59.974360
15809		-1.820670	10.856608	2.264394	0.076536	0.787079	0.085320	78.926510	2.112060	-59.522658
15810		-2.716723	9.780995	2.071238	0.037884	0.658233	0.136580	78.964789	2.109246	-59.137637
15811		-2.922175	9.587523	2.214915	0.089821	0.391932	0.092154	79.025508	2.101768	-58.907504
15812		-2.314027	9.660129	2.298104	0.094048	0.080150	0.025329	79.083497	2.098250	-58.859971
15813		-0.028045	9.735988	1.700833	0.131120	-0.112277	-0.030377	79.156965	2.104685	-58.927004
15814		0.493898	9.932350	1.400544	0.076063	-0.035577	-0.054876	79.201921	2.133870	-58.953273
15815		-0.093428	9.614007	1.656742	0.020496	0.017467	-0.051112	79.214608	2.165998	-58.949449
15816		-0.226980	9.281225	1.733523	0.072482	-0.009973	-0.070653	79.258018	2.206748	-58.962964
15817		-0.060014	9.300497	1.672558	0.158880	-0.016135	-0.102565	79.349049	2.264264	-58.983495
15818		-0.060756	9.499040	1.638851	0.179952	-0.006876	-0.116262	79.453901	2.331038	-58.999960
15819		-0.168195	9.593063	1.603015	0.195439	-0.000085	-0.119971	79.566139	2.400108	-59.013052
15820		-0.188176	9.645375	1.615902	0.217518	-0.007555	-0.105468	79.692543	2.460756	-59.028525
15821		-0.195558	9.567304	1.571726	0.229958	-0.000805	-0.086161	79.824676	2.510745	-59.038278
15822		-0.159331	9.600535	1.497531	0.259596	-0.003257	-0.071201	79.975458	2.552537	-59.047593
15823		-0.164762	9.726957	1.451378	0.262145	-0.000333	-0.080605	80.126067	2.599487	-59.056274
15824		-0.172284	9.893826	1.416818	0.234124	0.003314	-0.088653	80.262378	2.651781	-59.063370
15825		-0.233940	9.966686	1.401433	0.206517	-0.003388	-0.084355	80.381011	2.700596	-59.073918
15826		-0.259395	10.076831	1.360424	0.143677	-0.005999	-0.067893	80.465388	2.740264	-59.084092
15827		-0.205326	10.040404	1.332671	0.077756	-0.004327	-0.061571	80.510316	2.776145	-59.092870
15828		-0.178047	9.956358	1.320356	0.011727	-0.012924	-0.070600	80.518931	2.816667	-59.107156
15829		-0.222146	9.795552	1.373293	-0.030172	-0.006964	-0.086772	80.501817	2.866544	-59.119796
15830		-0.253122	9.902699	1.408069	-0.052272	-0.012579	-0.079915	80.473752	2.912313	-59.134790
15831		-0.322706	9.743559	1.398552	-0.082954	-0.008333	-0.055153	80.426489	2.944181	-59.145248
15832		-0.265957	9.655340	1.465608	-0.060174	-0.010269	-0.033495	80.394212	2.963891	-59.154559
15833		-0.232318	9.488409	1.440913	-0.044963	-0.010057	-0.029219	80.368785	2.980932	-59.163545
15834		-0.198248	9.558265	1.457646	-0.007340	-0.012108	-0.047211	80.366677	3.008170	-59.175230
15835		-0.210052	9.525988	1.468106	0.004760	-0.003695	-0.052122	80.369804	3.038755	-59.182820
15836		-0.266327	9.514077	1.450648	0.040081	-0.006150	-0.060704	80.394992	3.074143	-59.192422
15837		-0.330700	9.633825	1.429258	0.074001	-0.008322	-0.060935	80.437597	3.109272	-59.203447
15838		-0.251697	9.725943	1.418621	0.068751	-0.006457	-0.056317	80.479245	3.142132	-59.212758
15839		-0.302045	9.787498	1.397459	0.060384	-0.006717	-0.051126	80.514139	3.171886	-59.221897
15840		-0.242702	9.742077	1.409238	0.037668	-0.009713	-0.058476	80.537894	3.205628	-59.233217
15841		-0.325220	9.805581	1.377744	0.022335	-0.012128	-0.060051	80.550759	3.239924	-59.246236
15842		-0.293378	9.753486	1.413510	-0.014632	-0.005753	-0.044828	80.544776	3.266288	-59.254015
15843		-0.310109	9.648135	1.423869	0.009519	-0.012677	-0.042341	80.550363	3.290523	-59.265675
15844		-0.299771	9.712387	1.402689	-0.002018	-0.003789	-0.036453	80.551743	3.312298	-59.271552
15845		-0.337908	9.674019	1.432362	0.009046	-0.011721	-0.035059	80.557121	3.332509	-59.281982
15846		-0.318483	9.729624	1.389742	0.003835	-0.009898	-0.030452	80.561715	3.350280	-59.290751
15847		-0.328232	9.697365	1.400181	-0.003505	-0.007315	-0.029019	80.560076	3.367493	-59.298116
15848		-0.342888	9.714521	1.388589	-0.004976	-0.010849	-0.021589	80.559671	3.380124	-59.306588
15849		-0.344337	9.714377	1.389237	-0.007630	-0.009752	-0.011195	80.555682	3.387033	-59.313655
15850		-0.310697	9.752503	1.360575	-0.019320	-0.007842	-0.013421	80.547241	3.395292	-59.319658
15851		-0.313474	9.670532	1.395448	-0.021542	-0.009270	-0.013906	80.535280	3.403777	-59.326710
15852		-0.296139	9.685023	1.399319	-0.024571	-0.011762	-0.029506	80.523646	3.420709	-59.336454
15853		-0.365655	9.648527	1.418484	-0.032701	-0.008653	-0.039584	80.505162	3.443760	-59.345591
15854		-0.318158	9.660518	1.436240	-0.018878	-0.011320	-0.034187	80.496806	3.463333	-59.355536
15855		-0.339198	9.726915	1.403737	-0.019592	-0.006031	-0.034895	80.485943	3.483979	-59.362753
15856		-0.349096	9.694346	1.415950	-0.017542	-0.008990	-0.029034	80.478490	3.500814	-59.370898
15857		-0.366658	9.670425	1.449458	-0.021795	-0.003321	-0.018284	80.466551	3.512329	-59.375009
15858		-0.332399	9.667694	1.410646	-0.018816	-0.006553	-0.023378	80.458515	3.526156	-59.381241
15859		-0.342912	9.675989	1.433675	-0.018396	-0.006511	-0.020765	80.448394	3.538768	-59.387399
15860		-0.344637	9.675628	1.435698	-0.023099	-0.002468	-0.016228	80.438121	3.548898	-59.390642
15861		-0.372094	9.628200	1.446041	-0.010074	-0.003639	-0.012463	80.432916	3.557090	-59.394386
15862		-0.359550	9.692447	1.426298	-0.009572	-0.001400	-0.012536	80.430483	3.565192	-59.396675
15863		-0.352089	9.683654	1.406040	-0.010047	-0.002058	-0.008860	80.425370	3.571500	-59.399181
15864		-0.342043	9.706997	1.430064	-0.014065	-0.004881	-0.007219	80.420309	3.576222	-59.402933
15865		-0.351429	9.715335	1.452885	-0.018747	-0.001800	-0.012569	80.410197	3.584649	-59.405650
15866		-0.390678	9.685105	1.451876	-0.027545	-0.002787	-0.003704	80.397540	3.587538	-59.407882
15867		-0.342135	9.665167	1.425554	-0.024478	-0.001281	0.002006	80.384250	3.587780	-59.408911
15868		-0.385162	9.634858	1.478897	-0.021390	-0.000729	-0.002174	80.375236	3.589958	-59.409833
15869		-0.335262	9.696808	1.419269	-0.015810	-0.003114	0.002112	80.366848	3.589963	-59.411890
15870		-0.337910	9.655652	1.464182	-0.013590	-0.001684	0.002598	80.362331	3.589309	-59.412895
15871		-0.350095	9.672772	1.453510	-0.012692	-0.000986	0.001535	80.355801	3.589844	-59.413803
15872		-0.358467	9.681206	1.475730	-0.007565	-0.004985	-0.000394	80.354632	3.590517	-59.416966
15873		-0.341647	9.663903	1.434219	-0.011824	-0.001864	-0.003130	80.348541	3.593603	-59.418820
15874		-0.358508	9.680912	1.477643	-0.007931	-0.001869	0.004200	80.347332	3.591932	-59.419777
15875		-0.364435	9.657436	1.401350	-0.012586	0.002793	0.002456	80.341002	3.592310	-59.418457
15876		-0.377433	9.665693	1.477971	-0.007883	-0.001241	-0.002087	80.339840	3.594205	-59.419664
15877		-0.337333	9.654622	1.471087	-0.007854	0.000334	0.001517	80.336129	3.594877	-59.419827
15878		-0.362012	9.689123	1.448088	-0.010077	-0.001094	0.001031	80.333763	3.594981	-59.420651
15879		-0.381042	9.674079	1.447266	-0.007034	-0.001171	0.003137	80.330478	3.594593	-59.421510
15880		-0.355834	9.639332	1.471981	-0.010552	-0.001756	0.004706	80.327873	3.592513	-59.422354
15881		-0.356958	9.680066	1.483555	-0.001876	-0.003597	0.004808	80.327467	3.590947	-59.424424
15882		-0.339409	9.662908	1.441434	-0.005286	-0.000405	0.007298	80.327971	3.587487	-59.424255
15883		-0.366389	9.656530	1.461307	-0.000840	0.002452	0.008270	80.328394	3.584548	-59.422568
15884		-0.350268	9.680221	1.429929	-0.001848	-0.002022	0.008412	80.330851	3.580256	-59.423206
15885		-0.341554	9.662690	1.496542	-0.003963	0.000327	0.008847	80.329413	3.576787	-59.422666
15886		-0.344647	9.671458	1.463523	0.000879	0.001643	0.008828	80.333594	3.572564	-59.421191
15887		-0.366961	9.665324	1.428764	-0.002244	-0.000481	0.009404	80.333116	3.568703	-59.421054
15888		-0.323373	9.686374	1.465643	-0.005843	-0.003267	0.013656	80.333336	3.561235	-59.421893
15889		-0.352288	9.647963	1.441484	-0.002245	-0.000480	0.009405	80.332857	3.557373	-59.421756
15890		-0.351481	9.647892	1.442154	-0.011741	0.002871	0.007683	80.329909	3.553819	-59.419696
15891		-0.326060	9.613148	1.466673	-0.002275	-0.002055	0.005801	80.329337	3.551842	-59.420798
15892		-0.339499	9.671278	1.465913	-0.001376	-0.001358	0.004738	80.332193	3.549496	-59.421416
15893		-0.333541	9.621668	1.488411	-0.005209	0.001802	0.004616	80.330067	3.548558	-59.420450
15894		-0.350941	9.688580	1.454436	0.002567	-0.000741	0.005781	80.335238	3.545633	-59.420618
15895		-0.338144	9.671280	1.466213	0.000424	0.000034	0.002612	80.336266	3.545658	-59.420845
15896		-0.337929	9.671296	1.466156	0.000819	-0.001506	0.001620	80.340414	3.544962	-59.421848
15897		-0.349733	9.688722	1.453780	0.008653	-0.000899	0.009993	80.346168	3.540727	-59.421892
15898		-0.359732	9.665361	1.430356	0.002172	0.000800	0.006773	80.351233	3.537293	-59.421093
15899		-0.335703	9.671582	1.464782	0.006033	-0.000785	0.010499	80.355492	3.532784	-59.421025
15900		-0.354152	9.656822	1.462392	0.009127	-0.000237	0.006318	80.364536	3.529460	-59.420856
15901		-0.346556	9.689222	1.451205	0.009945	-0.001742	0.007939	80.370989	3.526306	-59.421577
15902		-0.344228	9.648602	1.439157	0.012563	-0.001856	0.007433	80.381981	3.522150	-59.422219
15903		-0.313655	9.687147	1.462643	0.009492	-0.003353	0.001723	80.388081	3.522353	-59.424448
15904		-0.322883	9.622918	1.428408	-0.001324	-0.000731	-0.001549	80.391134	3.523330	-59.425314
15905		-0.352220	9.657487	1.458463	0.011402	0.001817	0.000517	80.398501	3.524708	-59.424733
15906		-0.331507	9.631840	1.447337	0.026494	-0.004880	-0.003367	80.417367	3.526267	-59.428119
15907		-0.347317	9.608612	1.476043	0.032314	-0.000666	-0.007133	80.436584	3.531731	-59.429673
15908		-0.325943	9.664977	1.430629	0.041960	0.000390	-0.010776	80.464477	3.537932	-59.430779
