// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
41280		9.434386	1.056342	-2.254021	-0.001127	-0.000285	0.008313	154.890873	-75.208697	-80.958803
41281		9.444830	1.064081	-2.233389	0.004321	0.004598	0.006147	154.911955	-75.212020	-80.976247
41282		9.472013	1.042469	-2.237877	0.001140	0.006020	0.006689	154.931456	-75.216284	-80.991596
41283		9.472121	1.041736	-2.237763	0.002236	-0.003253	0.007988	154.962200	-75.215975	-81.020267
41284		9.429287	1.076128	-2.260043	0.005545	0.000514	0.009733	154.994919	-75.218070	-81.048171
41285		9.434175	1.067346	-2.201106	0.002574	-0.002977	0.009456	155.028493	-75.218251	-81.079570
41286		9.460411	1.099587	-2.198955	0.002026	0.001660	0.008806	155.055795	-75.220784	-81.106972
41287		9.424053	1.057088	-2.221566	-0.000790	-0.000008	0.009781	155.085372	-75.222578	-81.136229
41288		9.455888	1.066416	-2.212744	-0.004767	-0.001461	0.012602	155.118868	-75.224510	-81.175767
41289		9.445641	1.056937	-2.233352	-0.007921	-0.003405	0.012109	155.152064	-75.225091	-81.212992
41290		9.461630	1.041541	-2.206369	-0.006448	0.000023	0.012764	155.183410	-75.227722	-81.251594
41291		9.478348	1.011011	-2.232007	-0.005719	-0.006160	0.013630	155.223387	-75.227224	-81.294528
41292		9.478323	1.048779	-2.277771	-0.006542	-0.005668	0.016944	155.268762	-75.227675	-81.343422
41293		9.457045	1.006247	-2.221284	-0.009046	-0.003692	0.020421	155.317999	-75.230070	-81.397902
41294		9.451608	1.027266	-2.228218	-0.008526	-0.004963	0.022105	155.371062	-75.232048	-81.459626
41295		9.435891	1.039651	-2.255482	-0.009711	-0.001381	0.024986	155.426886	-75.236711	-81.521311
41296		9.451992	1.023173	-2.228472	-0.008550	-0.001597	0.023139	155.479084	-75.240803	-81.581800
41297		9.446610	1.044158	-2.235263	-0.001549	-0.003393	0.018525	155.528673	-75.242853	-81.632200
41298		9.441148	1.065334	-2.242339	-0.000026	-0.006701	0.017110	155.579017	-75.243041	-81.683882
41299		9.441207	1.063569	-2.242928	-0.005345	-0.006390	0.021562	155.635161	-75.244222	-81.743309
41300		9.451615	1.070132	-2.223124	-0.002504	-0.008093	0.019551	155.689679	-75.244148	-81.803140
41301		9.451638	1.068408	-2.223852	-0.008839	-0.008608	0.019601	155.741926	-75.243680	-81.860608
41302		9.441350	1.058133	-2.244895	-0.012499	-0.006416	0.024925	155.799715	-75.245317	-81.929916
41303		9.452509	1.010439	-2.232088	-0.020513	-0.005443	0.025138	155.853451	-75.247774	-81.995840
41304		9.457479	1.039669	-2.218665	-0.022810	-0.008381	0.027795	155.912234	-75.249266	-82.075748
41305		9.463769	0.999829	-2.265015	-0.017513	-0.005328	0.024378	155.966112	-75.251573	-82.140040
41306		9.457717	1.035720	-2.219501	-0.017332	-0.006875	0.024593	156.020699	-75.253277	-82.209938
41307		9.458447	1.018892	-2.272553	-0.018990	-0.008756	0.023720	156.075480	-75.253605	-82.276038
41308		9.415725	1.052881	-2.295088	-0.014371	-0.006250	0.017369	156.116622	-75.253743	-82.333172
41309		9.421238	1.028784	-2.288967	-0.014711	-0.006524	0.015901	156.156326	-75.253402	-82.381147
41310		9.399805	1.026114	-2.277871	-0.016069	-0.007619	0.010031	156.183065	-75.251195	-82.423627
41311		9.415585	1.011014	-2.251483	-0.015889	-0.009166	0.010245	156.213137	-75.248149	-82.462342
41312		9.442334	0.989399	-2.257330	-0.013052	-0.010868	0.008233	156.241572	-75.243829	-82.501041
41313		9.436757	1.011837	-2.264490	-0.012270	-0.004623	0.006996	156.263240	-75.242406	-82.528921
41314		9.479425	0.975817	-2.243070	-0.014729	-0.009381	0.008398	156.289540	-75.238801	-82.565696
41315		9.457918	1.012821	-2.277462	-0.010394	-0.011025	0.006005	156.315886	-75.233785	-82.597304
41316		9.441826	0.987669	-2.260214	-0.011212	-0.010538	0.009320	156.348138	-75.230013	-82.630509
41317		9.457596	0.972455	-2.233950	-0.009732	-0.007114	0.009979	156.379332	-75.227954	-82.666739
41318		9.425692	0.961490	-2.243579	-0.007356	-0.011423	0.011708	156.419111	-75.223878	-82.709500
41319		9.457371	0.970688	-2.235674	-0.009033	-0.009935	0.011875	156.456902	-75.220760	-82.752139
41320		9.441419	0.984098	-2.263469	-0.011008	-0.009236	0.017037	156.502193	-75.219223	-82.807422
41321		9.457331	1.007353	-2.282320	-0.004852	-0.007183	0.016770	156.549721	-75.218652	-82.857655
41322		9.435930	1.004075	-2.271381	-0.010666	-0.008964	0.018504	156.598600	-75.217884	-82.913295
41323		9.483655	1.037259	-2.281524	-0.005652	-0.010065	0.019044	156.652673	-75.216292	-82.970773
41324		9.467679	1.011227	-2.264139	-0.014863	-0.008351	0.014649	156.690508	-75.214498	-83.021064
41325		9.414428	0.998306	-2.261967	-0.016361	-0.008409	0.015029	156.728997	-75.212845	-83.068771
41326		9.462619	0.977928	-2.279334	-0.019357	-0.008527	0.015790	156.766733	-75.211096	-83.120147
41327		9.430321	1.020891	-2.281255	-0.022531	-0.007097	0.016337	156.803155	-75.210414	-83.169373
41328		9.436265	0.982155	-2.327812	-0.020854	-0.008587	0.016169	156.841186	-75.209175	-83.217514
41329		9.435762	0.995945	-2.275655	-0.019889	-0.003888	0.015151	156.874010	-75.209901	-83.261452
41330		9.451671	1.019642	-2.294404	-0.020661	-0.013502	0.015338	156.914274	-75.205464	-83.316300
41331		9.441563	0.956363	-2.323084	-0.030359	-0.007662	0.016772	156.947533	-75.204550	-83.366895
41332		9.451954	0.963819	-2.303192	-0.014045	-0.008842	0.011329	156.979815	-75.201680	-83.407575
41333		9.462278	0.971465	-2.283512	-0.020542	-0.011163	0.010129	157.008383	-75.197418	-83.447500
41334		9.451304	1.016591	-2.297265	-0.001720	-0.008109	0.009750	157.043699	-75.194788	-83.485533
41335		9.456677	0.992980	-2.291312	-0.011922	-0.004355	0.008465	157.068098	-75.193736	-83.516040
41336		9.435295	0.990691	-2.279881	-0.013597	-0.002865	0.008634	157.090321	-75.193485	-83.546852
41337		9.414353	0.973494	-2.321201	-0.015199	-0.008632	0.013177	157.125849	-75.191218	-83.590813
41338		9.430136	0.958243	-2.294914	-0.016745	-0.008164	0.007095	157.147489	-75.187649	-83.621358
41339		9.435473	0.934752	-2.289022	-0.015376	-0.007086	0.012965	157.181169	-75.186140	-83.663512
41340		9.435024	0.987999	-2.282170	-0.009373	-0.010220	0.010396	157.215697	-75.182531	-83.702685
41341		9.456310	0.989023	-2.294537	-0.012722	-0.007241	0.010736	157.246552	-75.180433	-83.740346
41342		9.456194	0.949105	-2.249872	-0.018430	-0.003309	0.008311	157.265547	-75.179860	-83.771498
41343		9.456657	0.933905	-2.302550	-0.023735	-0.003004	0.012770	157.290602	-75.180444	-83.809686
41344		9.440669	0.908437	-2.284827	-0.015197	-0.008638	0.013174	157.326220	-75.178123	-83.850799
41345		9.445936	0.884654	-2.279300	-0.016506	-0.013609	0.012719	157.364149	-75.173076	-83.898021
41346		9.465947	0.968956	-2.179428	-0.004350	-0.014695	0.009879	157.404383	-75.166694	-83.938697
41347		9.455355	0.999159	-2.246161	-0.015643	-0.014621	0.015865	157.449866	-75.161786	-83.993225
41348		9.470964	0.983442	-2.220896	-0.018783	-0.023283	0.013275	157.494989	-75.151786	-84.051924
41349		9.449288	0.926939	-2.219711	-0.025700	-0.041676	0.011622	157.548468	-75.131603	-84.120691
41350		9.469711	0.928165	-2.235622	-0.024806	-0.052786	0.011621	157.611126	-75.105506	-84.199101
41351		9.484515	0.912919	-2.213697	-0.024794	-0.056155	0.010571	157.674489	-75.077384	-84.277576
41352		9.472876	0.904238	-2.239084	-0.026296	-0.052853	0.012001	157.737062	-75.051262	-84.355576
41353		9.461502	0.881266	-2.316813	-0.025032	-0.050713	0.004946	157.784212	-75.024764	-84.417429
41354		9.455463	0.874827	-2.432968	-0.009834	-0.048861	0.008831	157.845228	-75.000099	-84.487885
41355		9.459755	0.850739	-2.431317	0.009578	-0.051006	0.015505	157.932913	-74.975687	-84.571189
41356		9.415728	0.860119	-2.360454	0.021914	-0.057013	0.011798	158.024748	-74.947085	-84.651415
41357		9.440895	0.905894	-2.310972	0.027895	-0.053422	0.011308	158.115970	-74.920423	-84.727535
41358		9.418607	0.887709	-2.356933	0.029734	-0.049736	0.013438	158.208552	-74.896139	-84.808159
41359		9.422814	0.916581	-2.347763	0.039927	-0.046779	0.016782	158.311659	-74.874109	-84.889467
41360		9.437881	0.899143	-2.325872	0.040979	-0.049347	0.020132	158.423788	-74.851330	-84.978770
41361		9.447557	0.889650	-2.363230	0.046521	-0.051747	0.022323	158.544859	-74.827733	-85.074793
41362		9.403752	0.907520	-2.442677	0.044760	-0.055979	0.026655	158.676522	-74.802630	-85.181323
41363		9.397188	0.926825	-2.454924	0.051103	-0.058863	0.025524	158.811226	-74.775785	-85.288775
41364		9.385220	0.929831	-2.429268	0.049801	-0.070582	0.022981	158.948245	-74.742456	-85.403376
41365		9.373047	0.987326	-2.396557	0.052892	-0.068134	0.016996	159.073325	-74.708770	-85.499823
41366		9.435109	1.029145	-2.484139	0.065752	-0.065844	0.005358	159.181028	-74.673509	-85.568554
41367		9.406759	1.102894	-2.478060	0.073243	-0.062712	-0.008260	159.263548	-74.637500	-85.608808
41368		9.421073	1.142028	-2.450665	0.056274	-0.065916	-0.019406	159.315860	-74.597665	-85.633772
41369		9.451548	1.114001	-2.403654	0.036918	-0.061425	-0.031215	159.331581	-74.557684	-85.626337
41370		9.423243	1.029736	-2.418905	0.018616	-0.059495	-0.039664	159.318516	-74.516997	-85.602707
41371		9.400935	1.007291	-2.314802	0.020194	-0.053734	-0.044226	159.293979	-74.478503	-85.563435
41372		9.366927	0.986146	-2.380878	0.013863	-0.054232	-0.044127	159.266069	-74.440093	-85.526352
41373		9.397075	0.930481	-2.437521	0.030761	-0.050505	-0.039475	159.254672	-74.404286	-85.494422
41374		9.400977	0.910245	-2.436109	0.035348	-0.050861	-0.034192	159.255723	-74.369532	-85.477191
41375		9.441810	0.915643	-2.465367	0.035811	-0.054483	-0.027306	159.273515	-74.334062	-85.472557
41376		9.419046	0.915343	-2.458860	0.035916	-0.055002	-0.020846	159.303247	-74.299811	-85.484263
41377		9.407495	0.937960	-2.379966	0.028206	-0.062819	-0.015956	159.344182	-74.262169	-85.508197
41378		9.416189	0.931790	-2.418573	0.030172	-0.066382	-0.009464	159.401338	-74.224042	-85.546013
41379		9.444919	0.950356	-2.566854	0.040304	-0.058993	0.001094	159.478441	-74.191871	-85.600339
41380		9.433019	0.955776	-2.540895	0.038581	-0.066590	0.004413	159.564778	-74.156433	-85.670011
41381		9.426749	0.938058	-2.508277	0.011841	-0.059007	0.014857	159.651039	-74.126959	-85.750829
41382		9.410023	0.857653	-2.502310	-0.006098	-0.056292	0.020646	159.734368	-74.100178	-85.845987
41383		9.382955	0.837810	-2.456619	-0.012496	-0.055747	0.027017	159.826761	-74.074799	-85.947704
41384		9.392202	0.828428	-2.493581	-0.012391	-0.046128	0.036587	159.930983	-74.056639	-86.057386
41385		9.370402	0.823611	-2.485028	-0.005831	-0.031347	0.035606	160.026087	-74.045984	-86.157968
41386		9.364363	0.843349	-2.494557	-0.010308	-0.034890	0.035761	160.120205	-74.033550	-86.265789
41387		9.389614	0.858162	-2.548596	-0.009351	-0.033562	0.033687	160.210906	-74.021237	-86.363902
41388		9.351355	0.922451	-2.559202	0.003382	-0.037006	0.026141	160.296372	-74.005616	-86.452214
41389		9.377275	0.898910	-2.568212	-0.008513	-0.035101	0.024115	160.370271	-73.990549	-86.532362
41390		9.397798	0.898555	-2.583209	-0.009413	-0.027342	0.023051	160.436959	-73.979780	-86.602393
