// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20639		9.724680	-0.267356	-0.211340	0.045059	0.003989	0.007419	-123.466648	-87.214459	-27.625532
20640		9.773191	-0.277573	-0.233795	0.023376	0.010899	0.012318	-123.308353	-87.210374	-27.770480
20641		9.731644	-0.337439	-0.219056	-0.003587	0.015153	0.008996	-123.137016	-87.208732	-27.944034
20642		9.735599	-0.416496	-0.280878	-0.018034	0.017945	0.011354	-122.939972	-87.207269	-28.151532
20643		9.767070	-0.512248	-0.329745	-0.010831	0.021088	0.012438	-122.692887	-87.205766	-28.405230
20644		9.763930	-0.508609	-0.361744	-0.008753	0.022369	0.008104	-122.467662	-87.207155	-28.635619
20645		9.760794	-0.504880	-0.394122	-0.005829	0.013089	0.010535	-122.309238	-87.204015	-28.797328
20646		9.739434	-0.483719	-0.317855	0.018067	0.013688	0.006828	-122.162835	-87.203303	-28.933417
20647		9.762975	-0.422782	-0.240382	0.031226	0.011791	0.003801	-122.038592	-87.202988	-29.039518
20648		9.735666	-0.421463	-0.270960	0.021408	0.019522	0.005886	-121.838116	-87.204468	-29.227827
20649		9.804947	-0.394857	-0.289196	0.018202	0.018122	0.011441	-121.611249	-87.202306	-29.444446
20650		9.725634	-0.350905	-0.291084	0.020249	0.026665	0.010726	-121.310161	-87.203479	-29.734152
20651		9.694727	-0.301538	-0.296202	0.000992	0.029187	0.013251	-120.971672	-87.203608	-30.072418
