// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46052		9.684403	-0.914872	-0.383058	-0.040325	0.006872	0.011710	-109.973075	-84.776800	64.033854
46053		9.690750	-1.042166	-0.372579	-0.028134	0.009872	0.011456	-109.935174	-84.771076	63.979608
46054		9.696433	-1.052714	-0.318321	-0.004488	0.010867	0.008277	-109.876439	-84.766284	63.917739
46055		9.713804	-1.011873	-0.278102	0.018244	0.010037	0.009502	-109.815365	-84.761635	63.866907
46056		9.711509	-0.920204	-0.237599	0.019932	0.011371	0.009791	-109.736694	-84.756111	63.799472
46057		9.700334	-0.866947	-0.258759	0.017212	0.012539	0.010494	-109.659655	-84.751400	63.732013
46058		9.696489	-0.799117	-0.222518	0.009775	0.008857	0.006034	-109.609818	-84.747408	63.687657
46059		9.699630	-0.751659	-0.213275	-0.015683	0.010864	0.005511	-109.572064	-84.745053	63.640720
46060		9.698026	-0.776190	-0.216514	-0.030017	0.011701	0.006350	-109.528007	-84.741447	63.579057
46061		9.660295	-0.873182	-0.217928	-0.041625	0.011366	0.006481	-109.500245	-84.738658	63.527228
46062		9.717905	-0.980064	-0.342979	-0.047972	0.011873	0.012281	-109.453197	-84.731887	63.452249
46063		9.740649	-0.983954	-0.333893	-0.036970	0.015032	0.010241	-109.393673	-84.727757	63.371201
46064		9.709227	-0.985245	-0.318454	-0.018806	0.011691	0.009103	-109.337753	-84.722665	63.304595
46065		9.690468	-1.016746	-0.276092	-0.018272	0.019860	0.006985	-109.246150	-84.721193	63.202088
46066		9.743032	-1.043938	-0.284800	-0.014360	0.018525	0.008076	-109.149858	-84.717900	63.097062
46067		9.695834	-1.062489	-0.303737	-0.013520	0.019183	0.002281	-109.069163	-84.718818	63.008242
46068		9.723463	-0.993478	-0.281220	-0.004865	0.017177	-0.001326	-108.994694	-84.720345	62.931147
46069		9.659161	-1.018249	-0.255004	-0.007583	0.018344	-0.000626	-108.921298	-84.722660	62.853075
46070		9.685185	-0.973162	-0.236845	-0.007045	0.014341	-0.000120	-108.861987	-84.722944	62.788942
46071		9.712586	-0.938972	-0.299082	-0.014167	0.015340	0.000985	-108.806687	-84.723814	62.725256
46072		9.691431	-0.911933	-0.301710	-0.013745	0.015670	-0.001912	-108.747334	-84.725331	62.657893
46073		9.722889	-0.911280	-0.314640	-0.006544	0.015837	-0.001624	-108.689885	-84.727697	62.596435
46074		9.693142	-0.887616	-0.294489	-0.002062	0.017173	-0.000635	-108.612232	-84.728770	62.516989
46075		9.693186	-0.887722	-0.292716	0.000890	0.019510	0.002850	-108.519957	-84.729360	62.424834
46076		9.695622	-0.945571	-0.246055	0.006173	0.014838	-0.001338	-108.452782	-84.730367	62.360422
46077		9.698831	-0.897612	-0.236024	0.011842	0.016009	0.001448	-108.377577	-84.731064	62.291712
46078		9.711429	-0.928250	-0.207679	0.004799	0.018176	0.003943	-108.281180	-84.729803	62.197682
46079		9.714605	-0.880603	-0.197509	0.000318	0.016839	0.002951	-108.204745	-84.729812	62.121106
46080		9.677676	-0.871467	-0.235169	-0.003130	0.013002	0.000966	-108.149022	-84.729256	62.064175
46081		9.707514	-0.895306	-0.252178	-0.012238	0.020171	0.005444	-108.055316	-84.728483	61.963028
