// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
41280		-0.311134	9.635850	1.608332	0.001665	0.002057	0.003874	80.326433	1.627944	17.326814
41281		-0.281803	9.658281	1.655643	-0.000775	-0.005104	0.005661	80.326630	1.625501	17.327375
41282		-0.287769	9.643762	1.603608	-0.003692	0.000708	0.000122	80.325309	1.626841	17.327275
41283		-0.303783	9.650329	1.660852	0.001926	0.003432	0.006224	80.327637	1.625397	17.328896
41284		-0.309509	9.635853	1.608622	-0.002619	0.000587	0.005956	80.326945	1.623430	17.329289
41285		-0.301240	9.634616	1.642444	-0.001475	-0.000108	0.005133	80.326672	1.621957	17.326619
41286		-0.300709	9.634599	1.642641	-0.002619	0.000586	0.005957	80.325979	1.619990	17.327012
41287		-0.309430	9.651530	1.627739	0.000667	0.000627	0.004092	80.327103	1.619192	17.327125
41288		-0.295365	9.676377	1.607949	-0.002950	-0.000217	0.010266	80.326220	1.614714	17.327479
41289		-0.300347	9.650290	1.661707	-0.001881	0.000640	0.003391	80.325836	1.613886	17.334693
41290		-0.298452	9.634559	1.643289	-0.002619	0.000586	0.005957	80.325143	1.611919	17.335087
41291		-0.308361	9.667226	1.646920	0.002739	0.001933	0.009711	80.327757	1.608221	17.337384
41292		-0.295567	9.618907	1.624583	-0.001475	-0.000109	0.005133	80.327707	1.606652	17.337305
41293		-0.295003	9.618912	1.624657	-0.000070	0.000572	0.006659	80.328386	1.604468	17.336252
41294		-0.282503	9.659464	1.623466	-0.001475	-0.000109	0.005134	80.328336	1.602899	17.336173
41295		-0.294000	9.618924	1.624768	0.000667	0.000626	0.004093	80.329394	1.602086	17.336909
41296		-0.304331	9.651580	1.628408	-0.000592	-0.002178	0.001960	80.329808	1.602111	17.335355
41297		-0.294841	9.634651	1.643399	0.000667	0.000626	0.004093	80.330793	1.601215	17.334397
41298		-0.311254	9.652841	1.594750	-0.000071	0.000571	0.006660	80.331562	1.598849	17.334850
41299		-0.289525	9.676444	1.608607	-0.002619	0.000586	0.005958	80.331217	1.596872	17.341707
41300		-0.291656	9.618979	1.624868	0.002478	0.000556	0.007362	80.333448	1.594108	17.342219
41301		-0.293790	9.650441	1.661999	0.000335	-0.000179	0.008404	80.334354	1.590712	17.344665
41302		-0.269012	9.642641	1.638502	-0.001215	0.001265	0.007485	80.334480	1.587947	17.345589
41303		-0.268323	9.642641	1.638611	-0.001070	-0.000859	0.006878	80.334857	1.585464	17.348525
41304		-0.300988	9.667415	1.647177	0.000667	0.000625	0.004094	80.336042	1.584553	17.348762
41305		-0.275289	9.643919	1.604853	0.002403	0.002108	0.001309	80.337531	1.585142	17.347715
41306		-0.288543	9.619085	1.624794	-0.003431	0.002085	0.002473	80.336386	1.585287	17.348620
41307		-0.280639	9.617840	1.658514	0.001405	0.000679	0.001526	80.337809	1.585938	17.348619
41308		-0.276060	9.659644	1.623504	0.001073	-0.000125	0.005837	80.339219	1.583970	17.348599
41309		-0.322024	9.659630	1.651772	0.002477	0.000554	0.007364	80.341092	1.581029	17.351056
41310		-0.288323	9.634883	1.643199	-0.001882	0.000640	0.003392	80.340815	1.580515	17.351234
41311		-0.319476	9.643971	1.633059	0.002883	-0.000196	0.009107	80.343290	1.576453	17.358673
41312		-0.264501	9.642800	1.638298	-0.003880	-0.002217	0.003826	80.341825	1.575419	17.357278
41313		-0.297078	9.667533	1.647193	-0.003358	0.000531	0.008528	80.340884	1.572068	17.364604
41314		-0.294806	9.651787	1.628932	-0.004357	-0.000898	0.008745	80.339179	1.568383	17.364428
41315		-0.262389	9.642695	1.639258	-0.000621	0.003443	0.005527	80.339707	1.566936	17.364719
41316		-0.293424	9.651769	1.629286	-0.001953	0.001209	0.010055	80.339415	1.562713	17.365860
