// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
25273		9.853473	-0.875186	-1.130606	0.338143	-0.291624	-0.304957	-163.893620	-79.405325	176.238449
25274		9.733133	-0.774421	-1.087157	0.370183	-0.247796	-0.306591	-164.776276	-79.315410	177.353981
25275		9.418329	-0.644052	-1.279361	0.449177	-0.226577	-0.326185	-165.639693	-79.235816	178.496329
25276		9.338109	-0.206278	-1.425653	0.643593	-0.203072	-0.379478	-166.514840	-79.174659	179.764259
25277		9.411987	0.484162	-1.401435	0.795616	-0.158674	-0.436388	-167.429356	-79.140699	-178.838816
25278		9.369622	1.051990	-1.316475	0.797114	-0.147586	-0.494575	-168.498148	-79.116654	-177.283833
25279		9.372420	1.306483	-1.455818	0.632684	-0.186881	-0.531510	-169.783467	-79.067167	-175.604047
25280		9.313098	1.434384	-1.705386	0.360647	-0.231989	-0.531668	-171.231058	-78.986001	-173.917457
25281		9.212163	1.300854	-1.821798	0.030717	-0.260656	-0.523368	-172.828391	-78.878043	-172.270272
25282		9.202579	0.823650	-1.928298	-0.255575	-0.285341	-0.507576	-174.520129	-78.747377	-170.693533
25283		9.600607	0.312974	-1.969505	-0.363417	-0.313141	-0.481594	-176.164079	-78.589412	-169.227615
25284		10.113863	-0.041157	-1.921146	-0.412046	-0.329218	-0.417801	-177.618713	-78.413887	-167.982634
25285		10.340481	-0.363265	-1.995512	-0.500488	-0.338233	-0.362004	-178.926998	-78.224972	-166.937855
25286		10.357798	-0.768587	-2.367759	-0.468018	-0.357360	-0.306994	179.966449	-78.021740	-166.079649
25287		10.309009	-1.011641	-2.392509	-0.346750	-0.395433	-0.239864	179.144075	-77.792720	-165.440140
25288		10.170152	-1.000924	-2.272791	-0.280604	-0.379310	-0.166123	178.574422	-77.573474	-165.020144
25289		9.945196	-0.798970	-1.961794	-0.198931	-0.333757	-0.100814	178.233852	-77.379353	-164.786371
25290		9.850853	-0.360085	-1.767895	-0.129013	-0.283973	-0.055685	178.049391	-77.215666	-164.671551
25291		9.672244	0.051224	-1.731495	-0.088798	-0.214907	-0.025298	177.962994	-77.090759	-164.633458
25292		9.485804	0.261923	-1.772796	-0.092390	-0.176680	-0.016442	177.892583	-76.989281	-164.614020
25293		9.476231	0.500215	-1.689974	-0.136345	-0.164354	-0.011753	177.809777	-76.893586	-164.607547
25294		9.460070	0.602881	-1.637567	-0.251260	-0.153001	-0.006213	177.672664	-76.805934	-164.613083
25295		9.498503	0.683354	-1.717146	-0.361096	-0.143984	0.008848	177.511069	-76.722390	-164.657953
25296		9.584131	0.763958	-2.033087	-0.444635	-0.135371	0.025571	177.339817	-76.645717	-164.742286
25297		9.538834	0.662107	-2.263374	-0.496160	-0.129094	0.032065	177.156503	-76.571397	-164.844408
25298		9.471102	0.489567	-2.376118	-0.479827	-0.122231	0.030234	176.975440	-76.502515	-164.939454
25299		9.542998	0.439595	-2.444056	-0.457041	-0.121529	0.012767	176.768635	-76.432076	-164.994421
