// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07932		-2.654380	9.102459	2.214965	0.036375	-0.027003	-0.066096	76.035916	15.287680	24.066824
07933		-2.782339	8.853556	2.280085	0.065425	-0.019826	-0.086037	76.069561	15.335857	24.042913
07934		-2.919490	9.125896	2.194566	0.146520	-0.073909	-0.101080	76.138968	15.382824	23.985325
07935		-2.885479	9.311724	2.118837	0.077379	-0.114507	-0.106753	76.164128	15.429614	23.903898
07936		-3.362057	9.009879	2.256030	0.029484	-0.155239	-0.115562	76.153339	15.473542	23.797329
07937		-4.345046	9.273038	2.125933	0.097435	-0.392768	-0.157265	76.145023	15.510328	23.548034
07938		-4.191479	9.386614	2.032333	-0.100757	-0.655692	-0.291442	75.975232	15.582808	23.127277
07939		-6.205117	7.677117	2.635238	-0.268237	-0.762772	-0.398375	75.689638	15.700560	22.629013
07940		-6.495225	7.079901	2.638455	0.343628	-1.453848	-0.530783	75.638314	15.789865	21.711715
07941		-4.861896	8.583624	2.031531	0.589301	-1.957107	-0.650829	75.643808	15.877063	20.486074
07942		-2.968472	9.279385	1.749957	0.664299	-2.274147	-0.692299	75.637185	15.939097	19.070690
07943		-1.705810	9.981067	1.489042	0.577408	-2.222939	-0.665010	75.589960	15.995992	17.688588
07944		-1.204867	9.856511	1.630730	0.407991	-2.020169	-0.570846	75.479240	16.024477	16.437039
07945		-0.719545	9.731370	1.828601	0.325019	-1.675070	-0.435579	75.382639	16.028705	15.404909
07946		-0.101067	9.903126	2.099406	0.191548	-1.200938	-0.281188	75.290106	16.011292	14.669357
07947		0.679041	9.935791	2.308756	0.070090	-0.650745	-0.104244	75.224584	15.977937	14.278139
07948		0.825216	9.884489	2.465683	-0.077616	-0.024895	0.056767	75.179105	15.943757	14.271884
07949		-3.603736	7.362377	2.668332	-0.232881	0.377717	0.078811	75.110825	15.958818	14.501249
07950		-2.037179	9.266901	2.481451	0.646963	-0.019753	0.078513	75.482202	15.913344	14.501189
07951		-3.176904	9.295653	2.161122	-0.075841	0.334071	0.101851	75.497735	15.908059	14.708818
07952		-2.595990	8.545075	2.467560	0.425230	0.068936	0.097446	75.756769	15.864692	14.762464
07953		-2.817079	9.820696	2.004512	0.240120	0.243227	0.092193	75.938396	15.850816	14.916106
07954		-3.305784	9.237175	2.117741	0.134108	0.121644	0.067336	76.037637	15.831175	14.995570
07955		-2.868982	9.903509	1.894492	0.101220	0.032154	0.064377	76.105254	15.803103	15.023142
07956		-2.939699	9.067363	2.188987	-0.174111	0.057033	0.080093	76.018152	15.767353	15.067050
07957		-2.790447	9.038202	2.226199	0.029353	-0.015342	0.089280	76.038127	15.718887	15.070791
07958		-2.697591	9.106337	2.191226	-0.091478	0.031996	0.080683	75.994420	15.679375	15.100336
07959		-2.728556	8.897012	2.292222	0.025905	0.003076	0.066055	76.014385	15.646373	15.111387
07960		-2.709475	9.160327	2.213366	0.002266	0.022066	0.050021	76.021622	15.622534	15.130781
07961		-2.720127	8.979097	2.268731	0.037713	0.014891	0.035268	76.048974	15.608276	15.144205
07962		-2.711786	9.194710	2.179604	0.038923	0.020847	0.026779	76.076112	15.597179	15.159543
07963		-2.759095	9.150384	2.203677	0.034995	0.018577	0.034141	76.102420	15.584040	15.174916
07964		-2.767681	9.238173	2.149317	0.027527	0.014853	0.052881	76.123088	15.557587	15.190506
07965		-2.758308	9.185460	2.170874	0.009998	0.006763	0.069760	76.134595	15.523003	15.204122
07966		-2.694751	9.123643	2.189378	0.002026	0.001410	0.062491	76.138922	15.489353	15.213305
07967		-2.685994	9.148598	2.193595	-0.008539	-0.004597	0.034640	76.136708	15.472740	15.215351
07968		-2.744833	9.189085	2.172613	-0.033823	-0.003764	0.028509	76.118402	15.457284	15.216707
07969		-2.648934	9.067133	2.204485	-0.017577	-0.012311	0.031431	76.109704	15.441394	15.213853
07970		-2.700163	9.076503	2.210431	-0.010735	-0.004433	0.018042	76.104126	15.431667	15.213335
07971		-2.703493	9.098879	2.236633	0.014943	-0.005197	0.022245	76.114799	15.421861	15.213274
07972		-2.726941	9.160188	2.202967	0.011836	-0.000857	0.028980	76.123116	15.406543	15.216378
07973		-2.687774	9.057528	2.181289	0.027448	-0.005984	0.031322	76.141170	15.391579	15.217149
07974		-2.707676	9.110306	2.198862	0.053052	0.001076	0.034513	76.173602	15.373445	15.222143
07975		-2.688065	9.249484	2.106589	0.037520	-0.000137	0.044988	76.198825	15.351677	15.228208
