// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58977		9.714625	-1.462184	-0.022907	-0.285298	-0.030709	-0.076731	-86.991343	-79.085482	-45.675489
58978		9.729239	-1.627090	0.029596	-0.298925	-0.034305	-0.068921	-87.269147	-79.125691	-45.567419
58979		9.705983	-1.746583	0.082453	-0.241996	-0.049010	-0.069257	-87.553778	-79.163894	-45.419086
58980		9.791418	-1.784696	0.327476	-0.195890	-0.045599	-0.070393	-87.809027	-79.205009	-45.273906
58981		9.816777	-1.852444	0.399156	-0.188767	-0.053509	-0.080828	-88.078427	-79.249706	-45.110070
58982		9.932981	-1.878919	0.383853	-0.122586	-0.063475	-0.091367	-88.347010	-79.302899	-44.908616
58983		10.023016	-1.847905	0.340652	-0.113505	-0.061788	-0.073999	-88.602401	-79.343544	-44.715196
58984		9.910195	-1.911858	0.340270	-0.099957	-0.042692	-0.042707	-88.801962	-79.368271	-44.570833
58985		9.762337	-1.794067	0.240040	-0.075698	-0.047235	-0.026009	-88.996382	-79.381018	-44.417433
58986		9.639963	-1.631308	0.168274	-0.057195	-0.047772	-0.017603	-89.189497	-79.391227	-44.254714
58987		9.593911	-1.560967	0.092327	-0.062427	-0.040327	-0.010959	-89.356370	-79.395158	-44.121608
58988		9.543062	-1.589206	0.075788	-0.059723	-0.040959	-0.004904	-89.530951	-79.397870	-43.979225
58989		9.480821	-1.572066	-0.006447	-0.063475	-0.044314	0.007674	-89.711150	-79.391053	-43.833168
58990		9.487910	-1.664851	-0.123499	-0.064316	-0.051682	0.019055	-89.921324	-79.379887	-43.657246
58991		9.418677	-1.765301	-0.096426	-0.047152	-0.061477	0.028585	-90.144095	-79.360942	-43.458348
58992		9.469558	-1.842455	-0.092055	-0.030739	-0.065970	0.024511	-90.377508	-79.346361	-43.239186
58993		9.534614	-1.884765	-0.028997	-0.010394	-0.058042	0.014757	-90.567940	-79.335089	-43.051746
58994		9.605745	-1.868334	0.020352	-0.023588	-0.042712	0.000766	-90.726393	-79.333990	-42.904678
