// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
00532		9.689977	-1.272017	-0.118672	0.027635	-0.005156	0.020282	-93.623958	-83.024582	-49.399847
00533		9.652166	-1.158252	-0.092957	0.029468	-0.002654	0.022515	-93.637112	-83.011222	-49.369577
00534		9.633906	-1.059715	-0.109148	0.026557	0.000289	0.021260	-93.638038	-82.998404	-49.353256
00535		9.630867	-1.007811	-0.101435	0.011395	0.000235	0.021880	-93.648251	-82.985504	-49.336377
00536		9.627192	-1.032929	-0.094528	-0.012687	0.002515	0.018074	-93.662180	-82.974589	-49.329609
00537		9.660761	-1.105119	-0.053231	-0.016003	0.006227	0.024115	-93.659535	-82.960642	-49.341473
00538		9.659829	-1.184297	-0.053738	-0.024863	0.003119	0.017112	-93.677891	-82.950298	-49.337274
00539		9.681874	-1.255283	-0.103452	-0.033570	0.002220	0.019946	-93.705000	-82.938591	-49.329278
00540		9.633883	-1.279955	-0.117670	-0.014759	-0.001770	0.024053	-93.737935	-82.924097	-49.304555
00541		9.672437	-1.243731	-0.141958	-0.005672	0.003100	0.022827	-93.744060	-82.910767	-49.301619
00542		9.651935	-1.307623	-0.100678	-0.010355	-0.001892	0.016766	-93.777063	-82.900432	-49.274282
00543		9.687071	-1.293990	-0.118346	0.000367	-0.001029	0.017100	-93.800340	-82.890213	-49.250600
00544		9.690349	-1.272551	-0.125080	0.012096	-0.000183	0.019018	-93.811817	-82.878653	-49.231992
00545		9.709521	-1.220716	-0.106616	0.009398	0.009276	0.018445	-93.782306	-82.868050	-49.256281
00546		9.680203	-1.268166	-0.102666	0.014873	0.003702	0.010177	-93.777107	-82.861692	-49.252875
00547		9.680995	-1.260737	-0.160972	0.014337	0.011299	0.007375	-93.738926	-82.857487	-49.282940
00548		9.642027	-1.299830	-0.135536	0.012055	0.010256	0.006098	-93.706701	-82.853706	-49.308397
00549		9.665874	-1.362862	-0.072286	0.018480	0.010103	0.001985	-93.673345	-82.852529	-49.331385
