// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
60827		9.641697	0.501332	-1.349511	0.511195	0.043511	-0.116644	173.307617	-81.290828	2.310524
60828		9.580843	0.775718	-1.298800	0.431196	0.029266	-0.120411	173.116235	-81.299098	2.756176
60829		9.551724	0.832567	-1.417782	0.341135	0.015630	-0.122784	172.863703	-81.298093	3.211209
60830		9.512882	0.742118	-1.562642	0.271419	0.001883	-0.132938	172.546176	-81.289304	3.691845
60831		9.496918	0.579261	-1.638095	0.226005	-0.008009	-0.140270	172.175690	-81.272787	4.199497
60832		9.537689	0.423485	-1.674274	0.189948	-0.018362	-0.144146	171.782668	-81.250666	4.709310
60833		9.603957	0.278814	-1.656971	0.157074	-0.020145	-0.151399	171.342430	-81.225265	5.247635
60834		9.599287	0.124755	-1.626250	0.137049	-0.025335	-0.143595	170.930041	-81.198076	5.746436
60835		9.641662	0.049665	-1.553725	0.135753	-0.015705	-0.140753	170.519374	-81.174972	6.242549
60836		9.675971	0.036356	-1.387980	0.144787	-0.016842	-0.129089	170.164223	-81.152910	6.687975
60837		9.729916	0.101715	-1.325042	0.146420	-0.010072	-0.119824	169.836194	-81.134108	7.106697
60838		9.815164	0.162647	-1.275668	0.147033	-0.001841	-0.103580	169.568179	-81.122385	7.465281
60839		9.782725	0.304935	-1.253985	0.155751	0.003293	-0.090033	169.346278	-81.113624	7.782027
60840		9.767274	0.400658	-1.310344	0.159577	-0.005846	-0.080281	169.173414	-81.101754	8.051600
60841		9.699998	0.471149	-1.349599	0.165208	-0.011033	-0.073971	169.025715	-81.086368	8.298744
60842		9.666376	0.488936	-1.428500	0.161249	-0.017352	-0.071657	168.893838	-81.068784	8.527814
60843		9.624700	0.530560	-1.531142	0.164203	-0.012325	-0.079538	168.728017	-81.051861	8.792743
60844		9.669613	0.493715	-1.590983	0.164677	-0.015997	-0.078851	168.572737	-81.034034	9.047507
60845		9.664046	0.515243	-1.650583	0.169157	-0.014407	-0.082438	168.402617	-81.015378	9.319687
60846		9.675517	0.571671	-1.680806	0.172323	-0.012768	-0.079557	168.248290	-80.999032	9.577937
60847		9.637280	0.594476	-1.602069	0.174125	-0.017665	-0.070567	168.127103	-80.979719	9.803481
60848		9.579255	0.630338	-1.528972	0.161244	-0.028190	-0.062946	168.037770	-80.956492	9.989511
60849		9.638299	0.675998	-1.536991	0.138774	-0.036970	-0.063466	167.937345	-80.927083	10.173551
60850		9.645471	0.656637	-1.517332	0.135966	-0.031625	-0.067411	167.821720	-80.901277	10.371555
60851		9.724508	0.730601	-1.529919	0.145610	-0.031489	-0.065368	167.716215	-80.874597	10.564735
60852		9.689535	0.787045	-1.495318	0.136310	-0.019888	-0.062041	167.611793	-80.855888	10.751606
60853		9.654691	0.843293	-1.459819	0.120404	-0.012277	-0.056252	167.510229	-80.840971	10.926186
60854		9.642545	0.836837	-1.442656	0.075445	-0.009824	-0.046225	167.418463	-80.829745	11.064912
