// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
25273		9.756050	1.624266	1.646715	1.097019	0.014029	0.331336	52.024686	-81.540711	-75.431129
25274		9.013654	2.005565	1.869175	1.124826	0.067137	0.253926	51.861041	-81.634217	-74.613238
25275		8.723826	2.968127	1.455789	1.295858	0.003505	0.188705	52.133343	-81.721205	-74.137328
25276		8.699314	3.692046	1.387167	1.288590	-0.074532	0.170500	52.697171	-81.827121	-73.960009
25277		9.191827	2.983687	1.074340	1.114602	-0.147729	0.214989	53.285664	-81.979474	-73.908641
25278		9.621701	1.815642	0.877479	0.927443	-0.108252	0.284102	53.482825	-82.149307	-73.570088
25279		9.559469	1.858762	0.416233	0.734861	-0.047238	0.328168	53.236165	-82.319379	-72.895468
25280		9.485199	2.396903	-0.051660	0.501673	-0.073301	0.305865	52.992725	-82.486894	-72.358776
25281		9.535437	2.374804	0.026887	0.318870	-0.108543	0.254347	52.878122	-82.643703	-72.058218
25282		9.483163	1.713602	0.450444	0.145064	-0.110235	0.218989	52.769520	-82.783906	-71.863789
25283		10.575495	0.528885	0.180364	-0.029109	-0.154058	0.151621	52.890312	-82.909499	-72.001603
25284		10.422901	0.193117	-0.529313	-0.019106	-0.093551	0.159229	52.787340	-83.016676	-71.907736
25285		10.895858	-0.957441	-0.682962	0.048480	-0.224303	0.223011	53.020648	-83.199148	-72.114028
25286		10.920387	-1.157088	1.283423	0.051458	-0.178616	0.264058	52.979962	-83.383937	-72.042291
25287		10.527851	-1.023809	1.749010	-0.228401	-0.097516	0.229270	52.538615	-83.525364	-71.729038
25288		9.903864	-0.946779	1.262302	-0.038217	-0.083758	0.183411	52.291721	-83.640457	-71.501616
25289		9.615814	-0.617750	2.008068	0.276637	-0.118130	0.152707	52.446132	-83.754108	-71.496767
25290		9.672304	-0.680315	1.952031	0.362481	-0.092369	0.144196	52.582175	-83.854525	-71.423754
25291		9.551872	-0.429916	1.211763	0.401562	-0.054255	0.155777	52.529531	-83.947323	-71.138690
25292		9.392449	0.009990	0.763676	0.476684	-0.059337	0.167341	52.506987	-84.046827	-70.840494
25293		9.430239	0.355705	0.645452	0.511433	-0.067284	0.165403	52.532045	-84.148525	-70.570361
25294		9.563638	0.878485	0.282138	0.451255	-0.069844	0.168271	52.527874	-84.252188	-70.305410
25295		9.645100	1.327285	-0.038053	0.321597	-0.089418	0.154405	52.574272	-84.356610	-70.166130
25296		9.821195	1.469611	-0.125626	0.194558	-0.122440	0.128377	52.803257	-84.460442	-70.283319
25297		9.772431	1.703742	0.320150	0.065789	-0.137233	0.098891	53.132531	-84.556069	-70.575510
25298		9.721161	1.679223	0.556663	-0.078109	-0.140149	0.077636	53.492494	-84.642468	-70.981127
25299		9.728734	1.447859	0.755887	-0.191885	-0.145177	0.080741	53.801873	-84.732081	-71.401525
25300		9.761738	1.141999	0.767927	-0.243347	-0.134310	0.097122	53.989729	-84.825026	-71.729247
25301		9.779439	0.828753	0.668934	-0.205722	-0.123700	0.112215	54.084184	-84.921740	-71.941694
25302		9.616679	0.763085	0.635495	-0.143731	-0.107482	0.129685	54.079198	-85.020629	-72.018431
25303		9.492608	0.757610	0.524329	-0.073807	-0.107520	0.144856	54.043937	-85.127036	-72.024753
25304		9.738619	0.836461	0.266243	-0.026331	-0.112087	0.156718	54.025949	-85.239999	-72.020916
25305		9.878147	0.834107	0.143311	0.019025	-0.126334	0.172633	54.035906	-85.365619	-72.019238
25306		9.901034	1.093519	0.211466	0.029370	-0.128288	0.195567	53.979764	-85.502050	-71.945113
25307		9.832481	1.134349	-0.024881	-0.018045	-0.112060	0.196778	53.773564	-85.634023	-71.747934
25308		9.697767	1.229121	0.074576	-0.032830	-0.134553	0.193620	53.717213	-85.771625	-71.709360
25309		9.537726	1.307428	0.512631	-0.138614	-0.137226	0.185246	53.636233	-85.906760	-71.707065
25310		9.493599	1.313727	0.718091	-0.285040	-0.141734	0.168254	53.598880	-86.035023	-71.832400
25311		9.889110	1.222488	0.337226	-0.444110	-0.124454	0.145651	53.448699	-86.147565	-71.936189
25312		10.048209	0.517326	-0.078494	-0.499397	-0.116592	0.133435	53.293505	-86.251154	-72.066464
25313		10.040532	0.002188	-0.174525	-0.504713	-0.119049	0.142658	53.081927	-86.360507	-72.143496
25314		9.854714	-0.438868	-0.089125	-0.453386	-0.120539	0.163166	52.814138	-86.479182	-72.134527
25315		9.834659	-0.405381	0.012589	-0.404694	-0.113630	0.172423	52.435286	-86.600246	-71.986549
25316		9.708875	-0.458091	-0.324024	-0.317332	-0.087463	0.150677	52.037762	-86.701777	-71.769573
25317		9.643849	-0.253131	-0.004124	-0.197984	-0.109215	0.134591	51.944183	-86.804099	-71.788732
25318		9.847562	-0.038363	0.118093	-0.209876	-0.104961	0.119025	51.931158	-86.897600	-71.895247
25319		9.945105	-0.023047	-0.386700	-0.170649	-0.083416	0.119799	51.729601	-86.984126	-71.790587
25320		9.912358	0.206933	-0.424212	-0.085658	-0.089471	0.121794	51.633099	-87.073488	-71.742248
25321		9.669629	0.590201	-0.116468	-0.083120	-0.094362	0.125970	51.521568	-87.166656	-71.677530
25322		9.643717	1.104114	0.345729	-0.180764	-0.112023	0.113376	51.634953	-87.260315	-71.893900
25323		9.829109	1.024539	0.282555	-0.383882	-0.092275	0.092646	51.579324	-87.337778	-72.057671
25324		9.849201	0.452484	0.095131	-0.431563	-0.085061	0.084413	51.523664	-87.408747	-72.248625
25325		9.953287	-0.022103	0.332796	-0.450451	-0.085989	0.085872	51.426275	-87.480947	-72.408756
25326		9.952620	-0.364282	-0.088897	-0.431719	-0.062784	0.084411	51.144098	-87.543982	-72.373056
25327		9.842420	-0.573773	-0.308193	-0.332537	-0.054815	0.077145	50.855353	-87.601113	-72.274023
25328		9.731953	-0.563339	-0.303014	-0.236378	-0.070158	0.070370	50.873385	-87.660692	-72.426802
25329		9.734517	-0.322409	-0.192779	-0.154056	-0.069232	0.072083	50.883116	-87.720775	-72.524150
25330		9.812854	-0.171598	-0.198754	-0.104943	-0.071836	0.070030	51.008422	-87.780932	-72.708932
25331		9.879649	-0.144281	-0.189017	-0.062330	-0.066300	0.078337	50.986185	-87.842734	-72.721688
25332		9.805158	-0.303536	-0.299418	-0.009984	-0.048178	0.085965	50.736036	-87.901521	-72.476314
25333		9.650599	-0.259414	-0.077529	0.072442	-0.058131	0.090718	50.556288	-87.965843	-72.254187
25334		9.588037	-0.149010	0.319309	0.064151	-0.059347	0.095030	50.367600	-88.032751	-72.027849
25335		9.697173	-0.135412	0.113008	0.038869	-0.039756	0.085083	49.960506	-88.087780	-71.597508
25336		9.769662	-0.102195	-0.236922	0.076599	-0.034602	0.080532	49.573521	-88.139134	-71.165657
25337		9.819182	0.008476	-0.035514	0.084772	-0.039680	0.066854	49.358459	-88.186015	-70.901159
25338		9.836877	0.145186	-0.082159	0.038947	-0.030690	0.062373	49.074682	-88.227957	-70.594184
25339		9.915270	0.160755	-0.270237	0.017840	-0.014578	0.059947	48.522904	-88.262285	-70.031192
25340		9.859231	-0.104999	-0.559676	0.041855	-0.017837	0.069371	47.932029	-88.302187	-69.415332
25341		9.794327	-0.369622	-0.307774	0.087817	-0.034406	0.087682	47.288235	-88.355547	-68.720198
25342		9.707424	-0.464433	-0.324410	0.113231	-0.028088	0.105243	46.317633	-88.414101	-67.683600
25343		9.590465	-0.544259	0.011106	0.107034	-0.023738	0.096231	45.287540	-88.466046	-66.591048
25344		9.671535	-0.738599	0.171008	0.072760	-0.011637	0.069110	44.453181	-88.502408	-65.714006
25345		9.847399	-0.690469	-0.014554	0.113475	0.006279	0.047327	43.628170	-88.521571	-64.822949
25346		9.938826	-0.445261	-0.180380	0.156493	0.028490	0.035366	42.709325	-88.527338	-63.813441
25347		9.881329	-0.351152	-0.290185	0.163700	0.024063	0.030269	41.894686	-88.531675	-62.903980
25348		9.805980	0.011683	-0.296683	0.233377	0.025970	0.031855	41.102121	-88.536539	-61.976746
25349		9.688431	0.429188	-0.016239	0.303926	0.022422	0.032977	40.335340	-88.541954	-61.034794
25350		9.781191	0.692886	0.148615	0.246501	0.009748	0.025452	39.885835	-88.551023	-60.443217
25351		9.880915	0.846936	0.256561	0.181667	0.016309	0.017179	39.401024	-88.552909	-59.853401
25352		9.881403	0.953270	0.291047	0.062276	0.039974	0.002272	38.818032	-88.539836	-59.233867
25353		9.863796	0.660621	-0.021639	-0.024459	0.048311	-0.008411	38.225032	-88.517953	-58.653961
25354		9.915766	0.434473	-0.166798	-0.067703	0.046454	-0.013708	37.785945	-88.495956	-58.252852
25355		9.834477	0.370858	-0.203040	-0.103499	0.035441	-0.015900	37.475867	-88.477064	-58.001258
25356		9.885193	0.241173	-0.132444	-0.103750	0.042880	-0.029835	37.358296	-88.450992	-57.942429
25357		9.891744	0.351247	0.141643	-0.121770	0.040162	-0.047705	37.517755	-88.418852	-58.171013
25358		9.871823	0.055359	0.270803	-0.171308	0.032695	-0.062268	38.014142	-88.386027	-58.765099
25359		9.863264	-0.093470	0.377378	-0.179684	0.047943	-0.070489	38.378323	-88.342231	-59.231692
25360		9.585856	-0.431927	0.273471	-0.153439	0.061670	-0.080925	38.769552	-88.289529	-59.710358
25361		9.554887	-0.545325	0.184414	-0.092859	0.043389	-0.090777	39.485257	-88.240210	-60.478891
25362		9.717671	-0.581908	0.015723	-0.061188	0.058911	-0.097205	40.124147	-88.182520	-61.152494
25363		9.833281	-0.547934	-0.282297	0.006823	0.082397	-0.099826	40.491895	-88.112336	-61.515794
25364		9.822825	-0.183065	-0.493743	0.101491	0.094972	-0.107167	40.875883	-88.035062	-61.841158
25365		9.791615	0.184092	-0.556935	0.112206	0.075783	-0.096054	41.275270	-87.969003	-62.175730
25366		9.842152	0.585084	-0.235749	0.099763	0.069965	-0.079889	41.548866	-87.912794	-62.391654
25367		9.801733	0.795062	-0.198540	0.085283	0.090313	-0.076363	41.521955	-87.847894	-62.315098
25368		9.733409	0.889943	-0.098227	0.046823	0.079560	-0.072607	41.574500	-87.790327	-62.340171
25369		9.894388	0.952650	0.109944	0.006853	0.066495	-0.068884	41.654414	-87.738479	-62.415487
