// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
11250		9.418352	0.726148	-2.314380	0.056360	-0.017142	-0.016973	160.167034	-75.321914	-165.056579
11251		9.425613	0.656466	-2.337327	0.056046	-0.036840	-0.017463	160.198509	-75.298031	-165.054301
11252		9.411916	0.672557	-2.313359	0.057967	-0.034270	-0.008888	160.248209	-75.277111	-165.069666
11253		9.443847	0.672611	-2.366818	0.065969	-0.029143	-0.002426	160.310506	-75.260294	-165.093374
11254		9.417683	0.703126	-2.314553	0.076333	-0.026261	0.007455	160.398154	-75.246835	-165.137101
11255		9.430635	0.675094	-2.404638	0.092947	-0.030246	0.016414	160.515162	-75.233019	-165.201400
11256		9.449121	0.696816	-2.371750	0.112973	-0.036294	0.018728	160.653854	-75.216241	-165.276210
11257		9.435666	0.708509	-2.348354	0.113716	-0.036944	0.022024	160.798750	-75.199785	-165.357051
11258		9.461298	0.762985	-2.311115	0.120225	-0.041903	0.022101	160.951986	-75.180507	-165.442620
11259		9.457484	0.881996	-2.304221	0.114325	-0.034612	0.024438	161.100060	-75.165662	-165.526397
11260		9.434696	0.880596	-2.298705	0.089040	-0.026819	0.027652	161.235716	-75.155479	-165.612275
11261		9.471810	0.836281	-2.325055	0.047921	-0.017164	0.025649	161.335719	-75.150231	-165.685691
11262		9.425196	0.756783	-2.346024	0.016725	-0.018663	0.024876	161.418411	-75.143889	-165.759644
11263		9.412335	0.770562	-2.320109	0.007197	-0.014981	0.025861	161.493909	-75.139813	-165.831851
11264		9.395233	0.721664	-2.345032	0.016003	-0.018039	0.021580	161.568893	-75.133160	-165.898261
11265		9.427444	0.719793	-2.397234	0.031055	-0.021560	0.016051	161.642377	-75.123689	-165.954242
11266		9.399952	0.761611	-2.416730	0.042312	-0.021935	0.015293	161.722060	-75.113741	-166.009924
11267		9.419441	0.776139	-2.441656	0.040351	-0.020761	0.013736	161.795463	-75.104248	-166.060314
11268		9.453318	0.763051	-2.422067	0.051204	-0.026502	0.011455	161.875274	-75.091089	-166.110861
11269		9.501204	0.826094	-2.333597	0.045959	-0.022102	0.009634	161.944250	-75.080096	-166.153348
11270		9.448496	0.807404	-2.262652	0.014511	-0.012657	0.007203	161.984948	-75.073696	-166.185180
11271		9.412445	0.724800	-2.382513	0.012142	-0.010420	0.003775	162.014688	-75.068023	-166.207116
11272		9.407337	0.670262	-2.375238	0.033014	-0.009567	0.002116	162.053492	-75.062399	-166.226016
11273		9.395085	0.676178	-2.407779	0.065636	-0.005230	0.001654	162.106120	-75.059176	-166.239918
11274		9.419160	0.754010	-2.381182	0.100901	-0.011426	-0.001040	162.178543	-75.051974	-166.253358
11275		9.391816	0.889945	-2.435881	0.118670	-0.016781	-0.001716	162.262232	-75.041850	-166.267958
11276		9.438071	0.963618	-2.419633	0.117296	-0.006825	-0.001234	162.340563	-75.037116	-166.277790
11277		9.454918	1.007850	-2.398192	0.095458	-0.002574	-0.004209	162.396466	-75.034296	-166.277399
11278		9.488721	1.005342	-2.317954	0.057895	-0.002060	-0.004138	162.431705	-75.031657	-166.277857
11279		9.447005	0.982099	-2.345278	0.034068	0.003375	-0.008677	162.439339	-75.031310	-166.263914
11280		9.437419	0.969460	-2.362761	0.011804	0.015116	-0.013904	162.417098	-75.036364	-166.232209
11281		9.440609	0.941053	-2.406632	-0.014829	0.021228	-0.016397	162.369256	-75.044423	-166.189848
11282		9.438408	0.869579	-2.382590	-0.035938	0.014633	-0.022696	162.301947	-75.047671	-166.139809
11283		9.438985	0.769299	-2.404558	-0.049064	0.010875	-0.030033	162.213251	-75.047669	-166.075472
11284		9.422071	0.727044	-2.426068	-0.050434	0.010605	-0.036180	162.112706	-75.046315	-165.999629
11285		9.412285	0.718625	-2.443284	-0.049430	0.001685	-0.038525	162.012588	-75.039746	-165.923684
11286		9.389706	0.726780	-2.433686	-0.041042	-0.002950	-0.037318	161.924178	-75.030739	-165.854827
11287		9.429138	0.670331	-2.443990	-0.028882	-0.006934	-0.033886	161.851227	-75.020239	-165.794809
11288		9.428747	0.673887	-2.444521	-0.005706	-0.006800	-0.032559	161.795490	-75.009941	-165.738811
11289		9.451279	0.663416	-2.513382	0.028620	-0.001725	-0.025452	161.769360	-75.003756	-165.693144
11290		9.490282	0.707754	-2.499891	0.038534	0.003767	-0.017934	161.761693	-75.001816	-165.660666
11291		9.467471	0.721206	-2.431268	0.027321	0.006452	-0.009735	161.761366	-75.002887	-165.642483
11292		9.464688	0.751202	-2.384645	0.007555	0.016753	-0.003640	161.756288	-75.010576	-165.631061
11293		9.467510	0.731172	-2.369751	-0.002065	0.015510	-0.002744	161.747286	-75.017831	-165.621328
11294		9.430348	0.772130	-2.345089	-0.012809	0.009514	-0.006652	161.729254	-75.021039	-165.608575
11295		9.470153	0.806898	-2.389612	-0.016820	0.006927	-0.009855	161.703106	-75.022350	-165.589838
11296		9.455640	0.835891	-2.433842	-0.007248	0.005853	-0.018186	161.667259	-75.021487	-165.555346
11297		9.488103	0.838481	-2.483417	-0.006218	0.005969	-0.028256	161.610430	-75.018947	-165.498561
11298		9.465746	0.844876	-2.473299	0.004075	0.010704	-0.033655	161.546379	-75.017904	-165.428156
11299		9.421128	0.854916	-2.453601	-0.001018	0.012102	-0.034593	161.475534	-75.017501	-165.353782
11300		9.401971	0.831918	-2.488586	-0.001264	0.016586	-0.035936	161.399796	-75.019192	-165.274446
11301		9.384160	0.807586	-2.391772	-0.013128	0.018379	-0.030593	161.325823	-75.022869	-165.204010
11302		9.419466	0.790815	-2.426430	-0.022435	0.023987	-0.028642	161.247608	-75.029863	-165.134669
11303		9.424803	0.753508	-2.397257	-0.020869	0.023872	-0.028954	161.168655	-75.036769	-165.063679
11304		9.412326	0.773350	-2.367674	-0.022737	0.017121	-0.029704	161.092749	-75.039795	-164.996910
11305		9.425169	0.760188	-2.393708	-0.021477	0.010144	-0.031076	161.018634	-75.038820	-164.931290
11306		9.404902	0.840834	-2.405215	-0.002156	0.011166	-0.032403	160.953178	-75.038073	-164.863132
11307		9.467603	0.967134	-2.362031	-0.001378	0.021898	-0.029384	160.885792	-75.043737	-164.792552
11308		9.445543	0.973528	-2.350415	-0.019383	0.025240	-0.029712	160.805979	-75.051070	-164.719754
11309		9.414780	0.957978	-2.415425	-0.044446	0.031133	-0.032545	160.700786	-75.061077	-164.635596
11310		9.403669	0.875108	-2.408588	-0.045312	0.028312	-0.036375	160.590243	-75.068740	-164.546375
11311		9.406468	0.859385	-2.392499	-0.047169	0.021557	-0.037132	160.480806	-75.072607	-164.459442
11312		9.444320	0.823957	-2.413697	-0.042622	0.017791	-0.038596	160.374724	-75.074076	-164.373246
11313		9.390219	0.822111	-2.411432	-0.028947	0.017850	-0.043255	160.265956	-75.074674	-164.276208
