// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
39282		9.751230	0.832338	0.326685	0.020455	0.015079	0.005017	55.181013	-85.273021	95.565210
39283		9.734979	0.819929	0.394224	-0.017054	0.015100	0.009456	55.044882	-85.275442	95.693816
39284		9.718721	0.807367	0.461717	-0.031213	0.009916	0.005823	54.941878	-85.278116	95.780109
39285		9.741293	0.790812	0.484056	-0.053225	0.014797	0.005734	54.801449	-85.278822	95.892391
39286		9.747475	0.736566	0.496146	-0.056059	0.017850	0.008353	54.628929	-85.280020	96.034152
39287		9.731080	0.697874	0.487585	-0.049662	0.019027	0.011198	54.444081	-85.281864	96.193472
39288		9.714679	0.659158	0.479092	-0.042610	0.021128	0.009771	54.254865	-85.282552	96.359718
39289		9.722824	0.663812	0.448279	-0.037244	0.018834	0.012675	54.072778	-85.284991	96.522401
39290		9.746046	0.666348	0.456733	-0.029090	0.017854	0.012252	53.899373	-85.287845	96.680554
39291		9.761730	0.657176	0.407085	-0.033716	0.019889	0.011971	53.715639	-85.289596	96.846781
39292		9.745324	0.618698	0.398433	-0.025982	0.020731	0.006626	53.550795	-85.288797	96.998130
39293		9.698853	0.635603	0.464330	-0.023804	0.016759	0.008287	53.405468	-85.289809	97.131587
39294		9.683791	0.662468	0.503318	-0.029831	0.012793	0.003862	53.294209	-85.290394	97.226958
39295		9.721985	0.638332	0.474154	-0.036632	0.018806	0.001929	53.156510	-85.287687	97.345937
39296		9.723289	0.677555	0.447559	-0.033082	0.017673	0.001572	53.025870	-85.285508	97.458886
39297		9.747124	0.700887	0.441819	-0.030974	0.020244	0.002167	52.882678	-85.282420	97.586232
39298		9.716226	0.735992	0.533107	-0.029236	0.020281	-0.001446	52.752760	-85.277916	97.700668
